時間,最高氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),時間,價格
108.1.1,13.4,94,33,1.5,108.1.1,36.6
108.1.2,14.6,94,24,0,108.1.2,37.8
108.1.3,16.6,94,29,0,108.1.3,37.3
108.1.4,23.8,93,1,4.6,108.1.4,31.9
108.1.5,18.7,98,4,0.2,108.1.5,28.1
108.1.6,15.8,95,11.5,0.3,108.1.6,32.3
108.1.7,20.3,90,0.5,1.7,108.1.7,28
108.1.8,17.3,93,11,3.7,108.1.8,29
108.1.9,16.8,93,5,2,108.1.9,23.9
108.1.10,23.9,89,0,7.6,108.1.10,22.4
108.1.11,22.3,91,0,0.7,108.1.11,22.7
108.1.12,18.6,95,0,0,108.1.12,25.5
108.1.13,15.6,94,1.5,1.7,108.1.13,25.3
108.1.14,17,88,1,5.8,108.1.14,23.9
108.1.15,19.1,91,9.4,0.3,108.1.15,23.3
108.1.16,13.1,94,55.7,0,108.1.16,22.9
108.1.17,11.6,93,19.1,0,108.1.17,22.8
108.1.18,17,76,0,8.3,108.1.18,24.8
108.1.19,18.4,77,0,4.4,108.1.19,32.8
108.1.20,17.1,87,12.5,0.5,108.1.20,37
108.1.21,11.8,94,17,0.2,108.1.21,36
108.1.22,10.3,88,1.3,0,108.1.22,32.8
108.1.23,14.5,78,0,7.1,108.1.23,35.6
108.1.24,15.1,82,0,7.8,108.1.24,35.7
108.1.25,19.2,84,0,7.2,108.1.25,36.3
108.1.26,11.6,84,0.7,0.1,108.1.26,36.3
108.1.27,13.2,83,0.6,8.1,108.1.27,34
108.1.28,19.3,81,0,6.6,108.1.28,34.4
108.1.29,18.1,83,0,8.7,108.1.29,39
108.1.30,21,76,0,5.7,108.1.30,57.5
108.1.31,22.6,75,0.6,4.8,108.1.31,60
108.2.1,12.2,92,3.4,0,108.2.1,47.3
108.2.2,22.9,80,0,5.3,108.2.2,48.3
108.2.3,24.6,83,0,6.3,108.2.3,42.8
108.2.4,19.6,92,3.5,0.7,108.2.4,30.8
108.2.5,18.7,97,0,1.2,108.2.5,26.8
108.2.6,23.5,84,0,9.1,108.2.6,23
108.2.7,25.2,78,0,7.8,108.2.7,24
108.2.8,16.9,90,0,1.2,108.2.8,21.8
108.2.9,13.8,98,1.2,0,108.2.9,22
108.2.10,18.5,89,0,1.1,108.2.10,18.1
108.2.11,14.9,93,0,4.5,108.2.11,19.1
108.2.12,22.4,88,0,6.1,108.2.12,22.7
108.2.13,18.6,94,0,0.4,108.2.13,25.1
108.2.14,17.6,96,0,0,108.2.14,22.6
108.2.15,23.2,89,0,5.3,108.2.15,26.7
108.2.16,15.9,95,0.1,0,108.2.16,27.1
108.2.17,14.1,91,0.4,0.9,108.2.17,33.9
108.2.18,19.1,93,3.5,0.3,108.2.18,33.5
108.2.19,21.9,84,0,1.7,108.2.19,30.8
108.2.20,24.6,88,0,5.7,108.2.20,25
108.2.21,21.6,93,0.1,2.1,108.2.21,27.3
108.2.22,16.2,95,1.7,0,108.2.22,35.9
108.2.23,11.3,93,7.8,1,108.2.23,40.6
108.2.24,13.3,95,50.7,0,108.2.24,35.8
108.2.25,16,95,0,0.2,108.2.25,35.2
108.2.26,19.1,90,0,3.9,108.2.26,31.5
108.2.27,20.1,90,0,2.5,108.2.27,32.1
108.2.28,17.3,95,0,0.8,108.2.28,36.4
108.3.1,21.1,88,0,4.3,108.3.1,41.5
108.3.2,23.4,86,0,5.2,108.3.2,48.1
108.3.3,18.1,90,12,0,108.3.3,46
108.3.4,16.7,84,0,9.6,108.3.4,43.3
108.3.5,21.3,87,0.5,2.6,108.3.5,32.5
108.3.6,19.7,92,13.5,1.4,108.3.6,36.8
108.3.7,10.7,93,30.2,0,108.3.7,45.6
108.3.8,15.3,94,21.9,0.1,108.3.8,51
108.3.9,17,96,37.4,0,108.3.9,53.8
108.3.10,17.5,96,27.4,0.8,108.3.10,48.7
108.3.11,15,77,0,0.6,108.3.11,45.4
108.3.12,21.4,67,0,10.3,108.3.12,45.3
108.3.13,20.4,75,0,6.5,108.3.13,41
108.3.14,19.8,83,T,2.9,108.3.14,40.1
108.3.15,15.9,80,10.2,2.4,108.3.15,44.5
108.3.16,15,69,1.9,0,108.3.16,37.7
108.3.17,18.6,89,1.5,0,108.3.17,48.1
108.3.18,20.7,90,1.8,4,108.3.18,40
108.3.19,22.5,87,0,5.8,108.3.19,43.5
108.3.20,24.7,85,0,5.9,108.3.20,28.4
108.3.21,27.1,76,0,9.7,108.3.21,34.3
108.3.22,20,89,1.9,0.5,108.3.22,33.5
108.3.23,12.3,93,14.9,0,108.3.23,34.5
108.3.24,15.4,90,6,0,108.3.24,29
108.3.25,17,94,11.5,0,108.3.25,31.3
108.3.26,19.9,88,0,9.8,108.3.26,41.7
108.3.27,23,86,0,2.2,108.3.27,18
108.3.28,26.8,86,0,7.6,108.3.28,40
108.3.29,24,88,14.2,2.9,108.3.29,43.9
108.3.30,19.7,90,4.2,0.3,108.3.30,19
108.3.31,16.1,88,2.8,3.9,108.3.31,43.8
108.4.1,13,91,8.9,0,108.4.1,33
