,data,name,price,volumn
0,108.01.01,茼蒿,36.6,13599
1,108.01.02,茼蒿,37.8,13149
2,108.01.03,茼蒿,37.3,10480
3,108.01.04,茼蒿,31.9,9672
4,108.01.05,茼蒿,28.1,11705
5,108.01.06,茼蒿,32.3,10712
6,108.01.08,茼蒿,28,11758
7,108.01.09,茼蒿,29,9044
8,108.01.10,茼蒿,23.9,7366
9,108.01.11,茼蒿,22.4,8428
10,108.01.12,茼蒿,22.7,9097
11,108.01.13,茼蒿,25.5,10973
12,108.01.15,茼蒿,25.3,10789
13,108.01.16,茼蒿,23.9,11075
14,108.01.17,茼蒿,23.3,6773
15,108.01.18,茼蒿,22.9,10717
16,108.01.19,茼蒿,22.8,10470
17,108.01.20,茼蒿,24.8,9374
18,108.01.22,茼蒿,32.8,7295
19,108.01.23,茼蒿,37,8613
20,108.01.24,茼蒿,36,8137
21,108.01.25,茼蒿,32.8,7077
22,108.01.26,茼蒿,35.6,8284
23,108.01.27,茼蒿,35.7,11021
24,108.01.29,茼蒿,36.3,8671
25,108.01.30,茼蒿,36.3,7113
26,108.01.31,茼蒿,34,7113
27,108.02.01,茼蒿,34.4,8823
28,108.02.02,茼蒿,39,9172
29,108.02.03,茼蒿,57.5,8332
30,108.02.04,茼蒿,60,10983
31,108.02.04,茼蒿,60,10983
32,108.02.04,茼蒿,60,10983
33,108.02.04,茼蒿,60,10983
34,108.02.04,茼蒿,60,10983
35,108.02.10,茼蒿,47.3,7909
36,108.02.11,茼蒿,48.3,6923
37,108.02.12,茼蒿,42.8,6273
38,108.02.14,茼蒿,30.8,9568
39,108.02.15,茼蒿,26.8,9682
40,108.02.16,茼蒿,23,10128
41,108.02.17,茼蒿,24,10890
42,108.02.18,茼蒿,21.8,11390
43,108.02.19,茼蒿,22,12597
44,108.02.19,茼蒿,22,12597
45,108.02.22,茼蒿,18.1,15972
46,108.02.23,茼蒿,19.1,12252
47,108.02.24,茼蒿,22.7,10901
48,108.02.26,茼蒿,25.1,6662
49,108.02.27,茼蒿,22.6,6768
50,108.02.28,茼蒿,26.7,4791
51,108.02.28,茼蒿,26.7,4791
52,108.02.28,茼蒿,26.7,4791
53,108.02.28,茼蒿,26.7,4791
54,108.03.01,茼蒿,27.1,3970
55,108.03.02,茼蒿,33.9,4201
56,108.03.03,茼蒿,33.5,6189
57,108.03.05,茼蒿,30.8,7114
58,108.03.06,茼蒿,25,7314
59,108.03.07,茼蒿,27.3,5337
60,108.03.08,茼蒿,35.9,2341
61,108.03.09,茼蒿,40.6,3576
62,108.03.10,茼蒿,35.8,5057
63,108.03.12,茼蒿,35.2,6349
64,108.03.13,茼蒿,31.5,3386
65,108.03.14,茼蒿,32.1,3447
66,108.03.15,茼蒿,36.4,3046
67,108.03.16,茼蒿,41.5,3290
68,108.03.17,茼蒿,48.1,2870
69,108.03.19,茼蒿,46,3709
70,108.03.20,茼蒿,43.3,3171
71,108.03.21,茼蒿,32.5,2978
72,108.03.22,茼蒿,36.8,1518
73,108.03.23,茼蒿,45.6,1704
74,108.03.24,茼蒿,51,2787
75,108.03.26,茼蒿,53.8,2130
76,108.03.27,茼蒿,48.7,1732
77,108.03.28,茼蒿,45.4,745
78,108.03.29,茼蒿,45.3,823
79,108.03.30,茼蒿,41,1710
80,108.03.31,茼蒿,40.1,1658
81,108.04.02,茼蒿,44.5,1167
82,108.04.03,茼蒿,37.7,1660
83,108.04.04,茼蒿,48.1,569
84,108.04.07,茼蒿,40,1144
85,108.04.09,茼蒿,43.5,784
86,108.04.10,茼蒿,28.4,1092
87,108.04.11,茼蒿,34.3,995
88,108.04.12,茼蒿,33.5,1004
89,108.04.13,茼蒿,34.5,645
90,108.04.14,茼蒿,29,904
91,108.04.16,茼蒿,31.3,1486
92,108.04.17,茼蒿,41.7,195
93,108.04.18,茼蒿,18,580
94,108.04.19,茼蒿,40,30
95,108.04.20,茼蒿,43.9,267
96,108.04.21,茼蒿,19,260
97,108.04.23,茼蒿,43.8,80
98,108.04.24,茼蒿,33,70
99,108.04.26,茼蒿,12.8,160
100,108.04.27,茼蒿,21.6,50
101,108.05.04,茼蒿,2,30
102,108.05.08,茼蒿,2,20
103,108.10.03,茼蒿,19.7,90
104,108.10.04,茼蒿,80,20
105,108.10.05,茼蒿,87.8,69
106,108.10.06,茼蒿,76.4,140
107,108.10.06,茼蒿,76.4,140
108,108.10.08,茼蒿,53.1,658
109,108.10.09,茼蒿,30.7,1420
110,108.10.10,茼蒿,41,1434
111,108.10.11,茼蒿,35.5,1639
112,108.10.12,茼蒿,33.8,1650
113,108.10.13,茼蒿,31.4,1772
114,108.10.15,茼蒿,37.1,1826
115,108.10.16,茼蒿,43.5,1941
116,108.10.18,茼蒿,45.4,2194
117,108.10.19,茼蒿,45.5,2759
118,108.10.20,茼蒿,54.7,2704
119,108.10.22,茼蒿,55.5,3222
120,108.10.23,茼蒿,50.7,2970
121,108.10.24,茼蒿,41.9,3238
122,108.10.25,茼蒿,41.2,3336
123,108.10.26,茼蒿,41.7,3791
124,108.10.27,茼蒿,41.1,5194
125,108.10.27,茼蒿,41.1,5194
126,108.10.29,茼蒿,35.7,6147
127,108.10.30,茼蒿,35,6238
128,108.10.31,茼蒿,32.7,5732
129,108.11.01,茼蒿,31.4,6131
130,108.11.02,茼蒿,31.7,6845
131,108.11.03,茼蒿,42.5,4650
132,108.11.05,茼蒿,42,6902
133,108.11.06,茼蒿,40.7,5795
134,108.11.07,茼蒿,48.9,3976
135,108.11.08,茼蒿,57.8,3669
136,108.11.09,茼蒿,67.6,4161
137,108.11.10,茼蒿,71.2,5803
138,108.11.10,茼蒿,71.2,5803
139,108.11.12,茼蒿,69.5,5830
140,108.11.13,茼蒿,60.2,5817
141,108.11.15,茼蒿,57.4,5971
142,108.11.16,茼蒿,50.6,7038
143,108.11.17,茼蒿,48.2,6881
144,108.11.19,茼蒿,43.9,9420
145,108.11.20,茼蒿,41.8,8149
146,108.11.21,茼蒿,36.6,7378
147,108.11.22,茼蒿,38.1,6734
148,108.11.23,茼蒿,34.7,9321
149,108.11.24,茼蒿,34.7,8018
150,108.11.26,茼蒿,36.4,9895
151,108.11.27,茼蒿,30.2,10032
152,108.11.28,茼蒿,27.8,9575
153,108.11.29,茼蒿,27.7,10110
154,108.11.30,茼蒿,31.2,8896
155,108.11.30,茼蒿,31.2,8896
