時間,月份,縣市,地區,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2019/1/1,1,新北市,三重區,17.3,16.4,78,2.9,0.5,241
2019/2/1,2,新北市,三重區,15.6,14.5,69,1.9,0,241
2019/3/1,3,新北市,三重區,19.9,17.3,78,1.7,0,241
2019/4/1,4,新北市,三重區,17.1,15.7,75,2.9,4,241
2019/5/1,5,新北市,三重區,21.6,19.8,84,1.6,44.5,241
2019/6/1,6,新北市,三重區,27.8,25.6,77,1.5,1,241
2019/7/1,7,新北市,三重區,31.4,29.3,67,1.7,0,241
2019/8/1,8,新北市,三重區,32.1,29.6,56,2.6,0,241
2019/9/1,9,新北市,三重區,31.6,29.9,57,2.8,0,241
2019/10/1,10,新北市,三重區,27.8,23.9,68,3.2,7.5,241
2019/11/1,11,新北市,三重區,24.8,23.7,69,3,0,241
2019/12/1,12,新北市,三重區,21.3,19.1,74,1,0,241
