時間,月份,縣市,地區,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2019/1/1,1,南投縣,南投市,18.1,13.8,77,1.6,0,540
2019/2/1,2,南投縣,南投市,17.2,14.7,70,2.4,0,540
2019/3/1,3,南投縣,南投市,21.7,18,76,1.8,0,540
2019/4/1,4,南投縣,南投市,18,17.1,89,1.7,4.5,540
2019/5/1,5,南投縣,南投市,23.3,21.1,86,2.2,46.5,540
2019/6/1,6,南投縣,南投市,28,24.5,81,2.1,6,540
2019/7/1,7,南投縣,南投市,29.5,25.2,77,2.3,0.5,540
2019/8/1,8,南投縣,南投市,27.8,24.3,82,1.8,8.5,540
2019/9/1,9,南投縣,南投市,27.8,24.4,82,1.7,15.5,540
2019/10/1,10,南投縣,南投市,26.8,23.7,77,1.8,11.5,540
2019/11/1,11,南投縣,南投市,26,23,77,1.2,0,540
2019/12/1,12,南投縣,南投市,22.1,18.7,73,1.9,0,540
