時間,月份,縣市,地區,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2019/1/1,1,臺東縣,台東市,20.8,19.2,73,2.1,3.5,930
2019/2/1,2,臺東縣,台東市,19.2,17.5,75,1.7,0.6,930
2019/3/1,3,臺東縣,台東市,23.2,20.7,79,1.3,0,930
2019/4/1,4,臺東縣,台東市,21,19.4,71,1.7,0,930
2019/5/1,5,臺東縣,台東市,25.6,22.3,82,2.4,3,930
2019/6/1,6,臺東縣,台東市,29.2,26.5,78,1.2,0.6,930
2019/7/1,7,臺東縣,台東市,29.6,26.9,81,1.8,19.7,930
2019/8/1,8,臺東縣,台東市,28.5,25.1,81,1.4,12,930
2019/9/1,9,臺東縣,台東市,26.8,25.8,88,1,24.5,930
2019/10/1,10,臺東縣,台東市,27.5,24.4,79,1.2,0,930
2019/11/1,11,臺東縣,台東市,25.4,23.6,82,2.6,1.9,930
2019/12/1,12,臺東縣,台東市,22.1,19.9,76,1.4,1.1,930
