時間,月份,縣市,地區,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2019/1/1,1,臺中市,東勢鎮,16.5,12.1,83,0.6,0,423
2019/2/1,2,臺中市,東勢鎮,15.2,12.7,78,0.7,0,423
2019/3/1,3,臺中市,東勢鎮,20.9,16.9,79,0.8,0,423
2019/4/1,4,臺中市,東勢鎮,16.5,15.1,96,0.6,6.5,423
2019/5/1,5,臺中市,東勢鎮,20.9,18.6,92,0.7,29,423
2019/6/1,6,臺中市,東勢鎮,25.9,22.9,82,1.4,6,423
2019/7/1,7,臺中市,東勢鎮,26.6,22.5,83,0.8,0,423
2019/8/1,8,臺中市,東勢鎮,25.7,21.3,83,0.9,33,423
2019/9/1,9,臺中市,東勢鎮,25.9,22.4,81,1,15,423
2019/10/1,10,臺中市,東勢鎮,23.7,20.9,83,1.1,17.5,423
2019/11/1,11,臺中市,東勢鎮,23.8,20.7,80,0.6,0,423
2019/12/1,12,臺中市,東勢鎮,20,14.9,73,0.9,0,423
