時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,宜蘭縣,三星,15.2,14.9,99.0,1.1,74.5
2019-01-2,宜蘭縣,三星,15.9,14.9,99.0,1.1,55.5
2019-01-3,宜蘭縣,三星,17.3,16.4,99.0,1.1,56.5
2019-01-4,宜蘭縣,三星,20.8,17.5,94.0,1.4,1.5
2019-01-5,宜蘭縣,三星,20.3,17.7,94.0,1.5,0.0
2019-01-6,宜蘭縣,三星,17.9,16.6,98.0,1.3,6.0
2019-01-7,宜蘭縣,三星,18.5,16.7,97.0,0.9,1.0
2019-01-8,宜蘭縣,三星,18.2,17.2,98.0,1.9,18.0
2019-01-9,宜蘭縣,三星,17.3,15.7,98.0,1.1,13.0
2019-01-10,宜蘭縣,三星,21.2,17.4,88.0,1.5,0.0
2019-01-11,宜蘭縣,三星,22.1,18.5,88.0,1.7,0.0
2019-01-12,宜蘭縣,三星,19.7,17.3,89.0,2.2,0.5
2019-01-13,宜蘭縣,三星,17.5,16.5,96.0,1.1,7.5
2019-01-14,宜蘭縣,三星,17.3,15.4,91.0,1.2,16.0
2019-01-15,宜蘭縣,三星,19.8,17.2,84.0,2.0,2.5
2019-01-16,宜蘭縣,三星,15.8,15.0,99.0,1.4,23.0
2019-01-17,宜蘭縣,三星,15.3,14.7,91.0,1.3,2.0
2019-01-18,宜蘭縣,三星,15.8,13.7,79.0,1.6,0.0
2019-01-19,宜蘭縣,三星,18.4,13.3,71.0,2.3,0.0
2019-01-20,宜蘭縣,三星,17.8,15.1,86.0,2.3,14.0
2019-01-21,宜蘭縣,三星,14.5,13.8,95.0,1.0,5.5
2019-01-22,宜蘭縣,三星,14.0,12.7,86.0,1.3,0.0
2019-01-23,宜蘭縣,三星,14.2,12.5,79.0,1.8,0.0
2019-01-24,宜蘭縣,三星,15.3,14.4,84.0,1.5,0.0
2019-01-25,宜蘭縣,三星,17.2,14.6,77.0,2.1,0.0
2019-01-26,宜蘭縣,三星,13.6,11.5,77.0,1.5,0.0
2019-01-27,宜蘭縣,三星,13.0,11.6,80.0,2.4,0.0
2019-01-28,宜蘭縣,三星,16.2,12.1,78.0,1.9,0.5
2019-01-29,宜蘭縣,三星,16.4,14.5,92.0,1.2,9.5
2019-01-30,宜蘭縣,三星,18.7,14.3,77.0,1.9,0.0
2019-01-31,宜蘭縣,三星,19.2,13.5,75.0,2.8,4.0
2019-02-1,宜蘭縣,三星,14.0,13.0,88.0,1.2,0.0
2019-02-2,宜蘭縣,三星,18.2,13.6,79.0,1.6,0.0
2019-02-3,宜蘭縣,三星,20.4,15.6,79.0,1.9,0.0
2019-02-4,宜蘭縣,三星,18.2,17.0,93.0,1.3,5.0
2019-02-5,宜蘭縣,三星,19.3,17.0,88.0,1.5,0.0
2019-02-6,宜蘭縣,三星,19.3,16.4,89.0,2.1,0.0
2019-02-7,宜蘭縣,三星,21.3,17.7,77.0,2.6,0.0
2019-02-8,宜蘭縣,三星,17.0,16.2,91.0,1.2,0.0
2019-02-9,宜蘭縣,三星,17.1,15.0,90.0,1.8,0.5
2019-02-10,宜蘭縣,三星,17.8,15.0,88.0,1.1,0.0
2019-02-11,宜蘭縣,三星,16.9,15.5,94.0,1.5,2.0
2019-02-12,宜蘭縣,三星,20.0,15.8,87.0,1.0,0.5
2019-02-13,宜蘭縣,三星,18.2,17.0,94.0,1.8,0.0
2019-02-14,宜蘭縣,三星,19.5,17.2,86.0,1.9,0.0
2019-02-15,宜蘭縣,三星,20.8,17.7,89.0,1.8,0.0
2019-02-16,宜蘭縣,三星,17.3,15.8,97.0,1.8,0.5
2019-02-17,宜蘭縣,三星,16.1,15.4,96.0,1.4,1.5
2019-02-18,宜蘭縣,三星,19.5,16.4,95.0,1.5,0.5
2019-02-19,宜蘭縣,三星,21.0,18.9,88.0,1.6,0.0
2019-02-20,宜蘭縣,三星,22.4,19.0,89.0,1.7,0.0
2019-02-21,宜蘭縣,三星,20.8,18.7,94.0,1.5,0.0
2019-02-22,宜蘭縣,三星,18.9,14.3,91.0,2.6,0.5
2019-02-23,宜蘭縣,三星,13.6,12.6,94.0,1.6,0.5
2019-02-24,宜蘭縣,三星,15.2,13.6,99.0,1.2,23.0
2019-02-25,宜蘭縣,三星,16.9,15.6,93.0,1.3,1.0
2019-02-26,宜蘭縣,三星,16.9,15.5,94.0,1.1,0.0
2019-02-27,宜蘭縣,三星,20.0,17.1,86.0,1.8,0.0
2019-02-28,宜蘭縣,三星,17.7,16.5,98.0,1.6,0.5
2019-03-1,宜蘭縣,三星,18.7,16.5,92.0,0.7,0.0
2019-03-2,宜蘭縣,三星,21.1,17.0,88.0,1.6,0.0
2019-03-3,宜蘭縣,三星,20.3,18.4,90.0,1.7,0.0
2019-03-4,宜蘭縣,三星,17.4,15.8,84.0,1.6,0.0
2019-03-5,宜蘭縣,三星,18.8,15.6,86.0,1.4,0.0
2019-03-6,宜蘭縣,三星,19.3,14.7,81.0,2.9,5.0
2019-03-7,宜蘭縣,三星,13.1,11.9,98.0,1.4,45.5
2019-03-8,宜蘭縣,三星,14.6,11.7,97.0,1.2,16.0
2019-03-9,宜蘭縣,三星,17.7,15.6,98.0,1.4,18.0
2019-03-10,宜蘭縣,三星,18.6,15.2,79.0,3.3,5.0
2019-03-11,宜蘭縣,三星,16.0,14.5,77.0,1.7,0.0
2019-03-12,宜蘭縣,三星,18.3,13.4,66.0,2.1,0.0
2019-03-13,宜蘭縣,三星,17.8,15.3,83.0,1.7,3.0
2019-03-14,宜蘭縣,三星,19.8,15.3,78.0,1.8,0.0
2019-03-15,宜蘭縣,三星,16.7,15.0,72.0,2.1,2.0
2019-03-16,宜蘭縣,三星,17.5,14.6,59.0,2.2,0.0
2019-03-17,宜蘭縣,三星,18.6,16.0,79.0,1.3,0.0
2019-03-18,宜蘭縣,三星,21.1,18.0,84.0,1.5,0.0
2019-03-19,宜蘭縣,三星,19.3,18.3,95.0,1.4,0.0
