時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,屏東縣,三地門,20.8,17.1,76.0,0.6,0.0
2019-01-2,屏東縣,三地門,20.1,17.8,90.0,0.4,0.5
2019-01-3,屏東縣,三地門,21.5,17.0,81.0,0.9,0.0
2019-01-4,屏東縣,三地門,22.3,18.5,77.0,1.1,0.0
2019-01-5,屏東縣,三地門,25.1,20.7,70.0,1.1,0.0
2019-01-6,屏東縣,三地門,23.3,19.1,92.0,0.8,0.0
2019-01-7,屏東縣,三地門,23.0,18.5,77.0,0.9,0.0
2019-01-8,屏東縣,三地門,23.2,17.7,70.0,0.9,0.0
2019-01-9,屏東縣,三地門,23.0,17.7,92.0,0.7,0.0
2019-01-10,屏東縣,三地門,23.2,20.0,77.0,0.9,1.0
2019-01-11,屏東縣,三地門,24.8,20.3,70.0,1.2,0.0
2019-01-12,屏東縣,三地門,24.9,20.5,92.0,1.2,0.0
2019-01-13,屏東縣,三地門,23.3,19.1,77.0,0.9,0.0
2019-01-14,屏東縣,三地門,22.8,18.5,70.0,0.9,0.0
2019-01-15,屏東縣,三地門,22.4,19.0,92.0,0.7,1.0
2019-01-16,屏東縣,三地門,19.9,18.0,81.0,0.8,0.0
2019-01-17,屏東縣,三地門,18.8,15.0,85.0,0.7,0.0
2019-01-18,屏東縣,三地門,19.4,13.8,80.0,0.6,0.0
2019-01-19,屏東縣,三地門,20.6,17.8,82.0,0.9,0.5
2019-01-20,屏東縣,三地門,21.3,18.2,90.0,0.8,1.5
2019-01-21,屏東縣,三地門,18.4,15.5,93.0,0.7,0.0
2019-01-22,屏東縣,三地門,17.4,14.0,87.0,0.8,0.0
2019-01-23,屏東縣,三地門,18.2,11.7,74.0,0.8,0.0
2019-01-24,屏東縣,三地門,20.7,14.1,67.0,1.3,0.0
2019-01-25,屏東縣,三地門,21.1,16.6,51.0,1.8,0.0
2019-01-26,屏東縣,三地門,19.4,15.7,61.0,1.3,0.0
2019-01-27,屏東縣,三地門,18.2,14.2,77.0,0.8,0.0
2019-01-28,屏東縣,三地門,20.1,15.6,67.0,1.4,0.0
2019-01-29,屏東縣,三地門,20.8,16.1,59.0,1.5,0.0
2019-01-30,屏東縣,三地門,21.9,16.6,56.0,1.6,0.0
2019-01-31,屏東縣,三地門,23.9,18.8,52.0,1.7,0.0
2019-02-1,屏東縣,三地門,21.4,17.0,79.0,0.9,0.0
2019-02-2,屏東縣,三地門,22.3,17.7,78.0,1.1,0.0
2019-02-3,屏東縣,三地門,24.5,18.0,66.0,1.5,0.0
2019-02-4,屏東縣,三地門,23.2,20.7,76.0,1.2,1.0
2019-02-5,屏東縣,三地門,21.7,18.1,89.0,0.6,8.0
2019-02-6,屏東縣,三地門,23.3,18.5,76.0,1.3,0.0
2019-02-7,屏東縣,三地門,24.3,19.7,50.0,1.9,0.0
2019-02-8,屏東縣,三地門,23.3,17.5,58.0,1.4,0.0
2019-02-9,屏東縣,三地門,23.5,18.5,65.0,1.4,0.0
2019-02-10,屏東縣,三地門,22.8,16.8,79.0,0.8,0.0
2019-02-11,屏東縣,三地門,23.3,18.5,82.0,1.0,0.0
2019-02-12,屏東縣,三地門,22.8,16.7,82.0,0.9,0.0
2019-02-13,屏東縣,三地門,25.4,20.5,70.0,1.3,0.0
2019-02-14,屏東縣,三地門,24.7,20.5,80.0,0.9,0.0
2019-02-15,屏東縣,三地門,23.9,18.6,66.0,1.3,0.0
2019-02-16,屏東縣,三地門,23.8,19.3,67.0,1.4,0.0
2019-02-17,屏東縣,三地門,23.0,17.3,78.0,1.1,0.0
2019-02-18,屏東縣,三地門,24.7,18.7,70.0,1.2,0.0
2019-02-19,屏東縣,三地門,26.6,21.8,64.0,1.3,0.0
2019-02-20,屏東縣,三地門,25.8,21.0,75.0,1.6,0.0
2019-02-21,屏東縣,三地門,25.0,21.2,71.0,1.4,0.0
2019-02-22,屏東縣,三地門,24.0,20.1,67.0,1.6,0.0
2019-02-23,屏東縣,三地門,21.6,17.1,79.0,0.8,0.0
2019-02-24,屏東縣,三地門,21.2,18.6,90.0,0.9,0.0
2019-02-25,屏東縣,三地門,20.8,17.7,91.0,0.8,2.5
2019-02-26,屏東縣,三地門,22.9,17.0,79.0,0.8,0.0
2019-02-27,屏東縣,三地門,24.1,18.3,74.0,1.1,0.0
2019-02-28,屏東縣,三地門,25.6,20.5,74.0,0.8,0.0
2019-03-1,屏東縣,三地門,23.7,19.1,82.0,0.8,0.0
