時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,彰化縣,二林,17.6,16.1,86.0,5.4,0.0
2019-01-2,彰化縣,二林,18.1,16.6,88.0,3.8,0.0
2019-01-3,彰化縣,二林,18.9,17.4,93.0,4.7,0.5
2019-01-4,彰化縣,二林,18.8,15.9,94.0,2.0,0.0
2019-01-5,彰化縣,二林,20.1,17.9,92.0,3.6,0.0
2019-01-6,彰化縣,二林,18.6,16.8,90.0,5.7,0.0
2019-01-7,彰化縣,二林,19.2,17.0,92.0,4.0,0.0
2019-01-8,彰化縣,二林,19.4,18.2,93.0,5.2,0.0
2019-01-9,彰化縣,二林,19.2,17.6,89.0,4.6,0.0
2019-01-10,彰化縣,二林,18.8,18.1,96.0,3.9,0.0
2019-01-11,彰化縣,二林,18.9,17.2,96.0,3.4,0.0
2019-01-12,彰化縣,二林,19.0,17.0,93.0,2.9,0.0
2019-01-13,彰化縣,二林,18.6,17.1,90.0,4.5,0.0
2019-01-14,彰化縣,二林,18.7,17.2,86.0,3.9,0.0
2019-01-15,彰化縣,二林,18.2,17.0,94.0,4.2,0.0
2019-01-16,彰化縣,二林,16.4,15.7,95.0,4.5,2.0
2019-01-17,彰化縣,二林,15.3,13.9,89.0,5.5,1.0
2019-01-18,彰化縣,二林,16.3,13.4,83.0,3.0,0.0
2019-01-19,彰化縣,二林,16.9,13.8,90.0,2.5,0.0
2019-01-20,彰化縣,二林,17.7,16.2,90.0,4.0,0.0
2019-01-21,彰化縣,二林,15.3,13.8,87.0,5.4,0.0
2019-01-22,彰化縣,二林,14.5,12.7,73.0,4.4,0.0
2019-01-23,彰化縣,二林,15.1,11.8,70.0,2.8,0.0
2019-01-24,彰化縣,二林,16.0,12.8,80.0,3.4,0.0
2019-01-25,彰化縣,二林,16.1,13.2,89.0,3.2,0.0
2019-01-26,彰化縣,二林,15.3,13.7,67.0,5.2,0.0
2019-01-27,彰化縣,二林,15.2,13.0,69.0,2.5,0.0
2019-01-28,彰化縣,二林,15.5,11.7,82.0,3.1,0.0
2019-01-29,彰化縣,二林,16.2,12.8,90.0,1.1,0.0
2019-01-30,彰化縣,二林,17.5,14.4,90.0,2.1,0.0
2019-01-31,彰化縣,二林,20.8,16.0,69.0,1.6,0.0
2019-02-1,彰化縣,二林,15.5,14.1,78.0,3.1,0.0
2019-02-2,彰化縣,二林,17.1,14.0,89.0,2.8,0.0
2019-02-3,彰化縣,二林,20.7,15.0,86.0,1.4,0.0
2019-02-4,彰化縣,二林,19.5,17.2,89.0,2.0,1.0
2019-02-5,彰化縣,二林,19.0,16.7,88.0,2.7,0.0
2019-02-6,彰化縣,二林,20.3,16.6,88.0,2.3,0.0
2019-02-7,彰化縣,二林,22.3,17.1,79.0,1.5,0.0
2019-02-8,彰化縣,二林,18.5,15.9,82.0,2.5,0.0
2019-02-9,彰化縣,二林,18.5,16.3,84.0,2.3,0.0
2019-02-10,彰化縣,二林,18.2,15.2,83.0,1.5,0.0
2019-02-11,彰化縣,二林,17.9,16.2,83.0,3.3,0.0
2019-02-12,彰化縣,二林,19.5,15.6,87.0,2.4,0.0
2019-02-13,彰化縣,二林,20.5,18.3,86.0,2.4,0.0
2019-02-14,彰化縣,二林,20.4,18.0,84.0,2.2,0.0
2019-02-15,彰化縣,二林,20.7,18.1,88.0,3.5,0.0
2019-02-16,彰化縣,二林,20.0,16.7,88.0,3.3,0.0
2019-02-17,彰化縣,二林,18.3,15.5,82.0,2.7,0.0
2019-02-18,彰化縣,二林,19.3,16.7,89.0,2.3,0.0
2019-02-19,彰化縣,二林,20.9,16.0,91.0,1.0,5.5
2019-02-20,彰化縣,二林,21.1,19.2,96.0,2.2,0.0
2019-02-21,彰化縣,二林,20.2,16.9,95.0,2.5,0.0
2019-02-22,彰化縣,二林,18.3,16.2,94.0,2.5,0.0
