時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,澎湖縣,東吉島,19.2,18.7,76.0,15.9,0.0
2019-01-2,澎湖縣,東吉島,19.5,18.8,80.0,14.5,0.0
2019-01-3,澎湖縣,東吉島,19.9,19.2,85.0,12.6,0.0
2019-01-4,澎湖縣,東吉島,19.4,18.1,82.0,7.9,0.0
2019-01-5,澎湖縣,東吉島,21.2,20.1,79.0,7.3,0.5
2019-01-6,澎湖縣,東吉島,20.4,19.6,76.0,12.1,0.0
2019-01-7,澎湖縣,東吉島,20.2,19.1,77.0,9.9,0.0
2019-01-8,澎湖縣,東吉島,20.3,19.5,77.0,11.6,0.0
2019-01-9,澎湖縣,東吉島,20.0,19.3,75.0,13.3,0.0
2019-01-10,澎湖縣,東吉島,19.8,19.0,79.0,8.8,0.0
2019-01-11,澎湖縣,東吉島,21.2,19.4,78.0,6.9,0.0
2019-01-12,澎湖縣,東吉島,21.6,20.4,77.0,7.7,0.0
2019-01-13,澎湖縣,東吉島,20.3,19.7,74.0,12.7,0.0
2019-01-14,澎湖縣,東吉島,20.2,19.4,73.0,12.2,0.0
2019-01-15,澎湖縣,東吉島,20.4,19.4,75.0,10.6,0.0
2019-01-16,澎湖縣,東吉島,18.4,17.1,75.0,15.0,4.4
2019-01-17,澎湖縣,東吉島,17.2,16.4,73.0,15.3,1.5
2019-01-18,澎湖縣,東吉島,18.4,17.0,69.0,10.9,0.0
2019-01-19,澎湖縣,東吉島,20.0,17.9,70.0,5.8,0.0
2019-01-20,澎湖縣,東吉島,21.1,18.9,70.0,8.9,0.0
2019-01-21,澎湖縣,東吉島,17.5,16.6,71.0,15.2,0.0
2019-01-22,澎湖縣,東吉島,16.8,15.9,66.0,12.8,0.0
2019-01-23,澎湖縣,東吉島,18.0,16.6,65.0,11.0,0.0
2019-01-24,澎湖縣,東吉島,19.1,18.0,68.0,9.9,0.0
2019-01-25,澎湖縣,東吉島,19.7,18.5,69.0,9.2,0.0
2019-01-26,澎湖縣,東吉島,17.6,16.1,67.0,16.4,0.0
2019-01-27,澎湖縣,東吉島,17.2,15.9,68.0,13.1,0.0
2019-01-28,澎湖縣,東吉島,19.1,17.6,68.0,7.2,0.0
2019-01-29,澎湖縣,東吉島,19.9,18.9,69.0,8.2,0.0
2019-01-30,澎湖縣,東吉島,21.4,19.0,69.0,5.2,0.0
2019-01-31,澎湖縣,東吉島,23.5,20.2,64.0,4.8,0.0
2019-02-1,澎湖縣,東吉島,18.9,18.3,69.0,13.7,0.0
2019-02-2,澎湖縣,東吉島,21.1,19.3,70.0,5.8,0.0
2019-02-3,澎湖縣,東吉島,24.2,20.8,72.0,4.5,2.4
2019-02-4,澎湖縣,東吉島,22.2,20.9,73.0,8.6,16.1
2019-02-5,澎湖縣,東吉島,21.7,20.1,68.0,6.4,0.0
2019-02-6,澎湖縣,東吉島,22.9,20.3,68.0,3.1,0.0
2019-02-7,澎湖縣,東吉島,24.2,22.0,68.0,3.4,0.0
2019-02-8,澎湖縣,東吉島,22.1,20.8,68.0,9.5,0.0
2019-02-9,澎湖縣,東吉島,22.1,20.3,68.0,9.0,0.0
2019-02-10,澎湖縣,東吉島,21.5,20.4,69.0,10.6,0.0
2019-02-11,澎湖縣,東吉島,21.1,20.4,68.0,11.8,0.0
2019-02-12,澎湖縣,東吉島,20.5,19.6,71.0,9.5,0.0
2019-02-13,澎湖縣,東吉島,22.2,20.6,71.0,8.8,0.0
2019-02-14,澎湖縣,東吉島,21.5,20.2,72.0,9.0,0.0
2019-02-15,澎湖縣,東吉島,21.9,20.1,72.0,5.7,0.0
2019-02-16,澎湖縣,東吉島,22.3,20.4,70.0,7.6,0.0
2019-02-17,澎湖縣,東吉島,20.3,18.9,69.0,11.5,0.0
