時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,高雄市,三民,20.5,18.0,71.0,1.4,0.0
2019-01-2,高雄市,三民,20.6,18.6,78.0,1.3,0.0
2019-01-3,高雄市,三民,21.8,18.5,77.0,1.4,0.0
2019-01-4,高雄市,三民,22.4,19.8,78.0,1.2,0.0
2019-01-5,高雄市,三民,24.7,21.4,74.0,0.9,0.0
2019-01-6,高雄市,三民,23.0,20.6,76.0,1.7,0.0
2019-01-7,高雄市,三民,22.6,19.4,76.0,1.4,0.0
2019-01-8,高雄市,三民,22.9,20.0,78.0,1.7,0.0
2019-01-9,高雄市,三民,22.9,19.7,74.0,1.3,0.0
2019-01-10,高雄市,三民,23.4,20.1,76.0,1.2,0.0
2019-01-11,高雄市,三民,24.5,21.2,73.0,1.2,0.0
2019-01-12,高雄市,三民,25.0,22.0,70.0,1.2,0.0
2019-01-13,高雄市,三民,22.7,20.4,74.0,1.5,0.0
2019-01-14,高雄市,三民,22.6,19.1,71.0,1.2,0.0
2019-01-15,高雄市,三民,22.4,19.5,75.0,1.3,0.5
2019-01-16,高雄市,三民,20.0,18.4,82.0,2.3,0.5
2019-01-17,高雄市,三民,19.0,16.4,77.0,2.5,0.0
2019-01-18,高雄市,三民,19.4,15.8,72.0,1.7,0.0
2019-01-19,高雄市,三民,21.3,18.6,68.0,1.4,0.0
2019-01-20,高雄市,三民,22.0,19.0,73.0,1.7,0.5
2019-01-21,高雄市,三民,18.3,16.6,76.0,2.2,0.0
2019-01-22,高雄市,三民,17.6,14.5,69.0,2.7,0.0
2019-01-23,高雄市,三民,17.9,13.7,66.0,1.7,0.0
2019-01-24,高雄市,三民,20.0,16.2,64.0,1.3,0.0
2019-01-25,高雄市,三民,20.4,17.1,65.0,1.6,0.0
2019-01-26,高雄市,三民,18.4,15.6,67.0,1.6,0.0
2019-01-27,高雄市,三民,18.5,15.2,60.0,1.5,0.0
2019-01-28,高雄市,三民,20.3,16.3,65.0,0.9,0.0
2019-01-29,高雄市,三民,21.5,18.1,61.0,1.2,0.0
2019-01-30,高雄市,三民,22.6,18.3,61.0,1.2,0.0
2019-01-31,高雄市,三民,24.1,20.7,56.0,1.6,0.0
2019-02-1,高雄市,三民,21.3,17.5,63.0,1.5,0.0
2019-02-2,高雄市,三民,22.5,19.2,66.0,1.1,0.0
2019-02-3,高雄市,三民,24.8,20.7,72.0,1.9,0.0
2019-02-4,高雄市,三民,24.3,21.1,75.0,1.3,0.0
2019-02-5,高雄市,三民,22.0,18.6,76.0,1.8,1.0
2019-02-6,高雄市,三民,23.2,20.0,73.0,1.4,0.0
2019-02-7,高雄市,三民,25.1,21.6,64.0,1.7,0.0
2019-02-8,高雄市,三民,22.8,19.6,71.0,2.0,0.0
2019-02-9,高雄市,三民,23.1,19.7,65.0,1.6,0.0
2019-02-10,高雄市,三民,22.4,18.1,69.0,1.5,0.0
2019-02-11,高雄市,三民,22.4,19.3,67.0,1.8,0.0
2019-02-12,高雄市,三民,22.4,18.4,70.0,1.4,0.0
2019-02-13,高雄市,三民,24.6,20.8,72.0,1.6,0.0
2019-02-14,高雄市,三民,24.0,20.9,72.0,1.5,0.0
2019-02-15,高雄市,三民,23.8,20.0,73.0,1.8,0.0
2019-02-16,高雄市,三民,24.1,21.5,69.0,1.8,0.0
2019-02-17,高雄市,三民,22.2,19.1,71.0,2.0,0.0
