時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,嘉義縣,中埔,17.2,14.0,84,0.8,0.0
2019-01-2,嘉義縣,中埔,17.9,15.3,88,0.8,0.0
2019-01-3,嘉義縣,中埔,18.6,16.5,92,0.7,0.0
2019-01-4,嘉義縣,中埔,20.3,16.3,87,1.0,0.0
2019-01-5,嘉義縣,中埔,22.0,18.0,81,1.1,0.0
2019-01-6,嘉義縣,中埔,19.9,17.1,87,1.1,0.0
2019-01-7,嘉義縣,中埔,20.2,16.2,85,1.0,0.0
2019-01-8,嘉義縣,中埔,20.6,18.2,85,1.2,0.0
2019-01-9,嘉義縣,中埔,19.9,17.1,85,1.0,0.0
2019-01-10,嘉義縣,中埔,20.3,17.3,87,1.0,0.0
2019-01-11,嘉義縣,中埔,21.1,17.3,85,0.7,0.0
2019-01-12,嘉義縣,中埔,22.1,18.6,77,1.3,0.0
2019-01-13,嘉義縣,中埔,19.7,16.8,83,1.3,0.0
2019-01-14,嘉義縣,中埔,19.5,16.0,81,1.0,0.0
2019-01-15,嘉義縣,中埔,19.5,16.8,85,1.4,0.0
2019-01-16,嘉義縣,中埔,16.6,15.4,98,1.5,1.0
2019-01-17,嘉義縣,中埔,15.3,13.8,93,1.7,1.0
2019-01-18,嘉義縣,中埔,16.7,13.5,85,0.9,0.0
2019-01-19,嘉義縣,中埔,18.2,14.3,82,1.0,0.0
2019-01-20,嘉義縣,中埔,19.5,16.6,81,1.2,0.0
2019-01-21,嘉義縣,中埔,15.2,13.6,89,1.6,0.5
2019-01-22,嘉義縣,中埔,14.0,11.1,84,1.5,0.0
2019-01-23,嘉義縣,中埔,15.1,10.4,78,1.0,0.0
2019-01-24,嘉義縣,中埔,16.9,11.7,74,0.9,0.0
2019-01-25,嘉義縣,中埔,17.4,12.9,75,0.9,0.0
2019-01-26,嘉義縣,中埔,15.1,11.9,74,1.1,0.0
2019-01-27,嘉義縣,中埔,15.4,12.4,69,0.8,0.0
2019-01-28,嘉義縣,中埔,17.3,12.4,71,0.8,0.0
2019-01-29,嘉義縣,中埔,18.2,13.1,70,0.8,0.0
2019-01-30,嘉義縣,中埔,19.6,13.1,63,1.1,0.0
2019-01-31,嘉義縣,中埔,22.7,17.9,55,1.3,0.0
2019-02-1,嘉義縣,中埔,16.9,14.1,75,1.4,0.0
2019-02-2,嘉義縣,中埔,18.7,14.0,77,1.0,0.0
2019-02-3,嘉義縣,中埔,23.4,16.7,68,1.9,0.0
2019-02-4,嘉義縣,中埔,21.3,17.6,81,1.0,0.0
2019-02-5,嘉義縣,中埔,19.4,16.7,83,0.9,0.0
2019-02-6,嘉義縣,中埔,21.3,16.2,74,1.0,0.0
2019-02-7,嘉義縣,中埔,23.2,18.6,62,0.8,0.0
2019-02-8,嘉義縣,中埔,19.6,16.1,76,1.3,0.0
2019-02-9,嘉義縣,中埔,20.0,15.8,72,1.8,0.0
2019-02-10,嘉義縣,中埔,19.5,15.0,77,1.3,0.0
2019-02-11,嘉義縣,中埔,18.5,15.6,80,1.4,0.0
2019-02-12,嘉義縣,中埔,19.8,13.9,78,1.2,0.0
2019-02-13,嘉義縣,中埔,21.6,17.1,76,1.3,0.0
2019-02-14,嘉義縣,中埔,21.3,17.1,78,1.3,0.0
2019-02-15,嘉義縣,中埔,21.4,16.7,78,0.9,0.0
2019-02-16,嘉義縣,中埔,21.0,17.2,77,1.0,0.0
2019-02-17,嘉義縣,中埔,19.0,16.0,81,1.2,0.0
2019-02-18,嘉義縣,中埔,20.6,16.5,80,1.0,0.0
2019-02-19,嘉義縣,中埔,24.2,18.9,74,1.2,0.5
2019-02-20,嘉義縣,中埔,23.1,19.6,84,1.3,0.0
2019-02-21,嘉義縣,中埔,21.5,18.9,89,0.8,0.0
2019-02-22,嘉義縣,中埔,20.0,17.0,84,1.7,0.0
2019-02-23,嘉義縣,中埔,17.7,14.7,78,1.4,0.0
2019-02-24,嘉義縣,中埔,16.8,15.3,91,1.0,1.0
2019-02-25,嘉義縣,中埔,18.7,15.4,86,1.2,0.0
2019-02-26,嘉義縣,中埔,20.3,16.1,82,1.3,0.0
2019-02-27,嘉義縣,中埔,20.9,17.1,80,1.2,0.0
2019-02-28,嘉義縣,中埔,21.7,18.3,79,1.2,0.0
2019-03-1,嘉義縣,中埔,20.2,17.0,86,1.2,0.0
2019-03-2,嘉義縣,中埔,21.8,18.2,83,1.0,0.0
2019-03-3,嘉義縣,中埔,21.8,17.6,73,1.8,1.5
2019-03-4,嘉義縣,中埔,20.2,16.2,80,1.1,0.0
2019-03-5,嘉義縣,中埔,20.8,16.8,81,1.3,0.5
2019-03-6,嘉義縣,中埔,20.9,17.0,83,1.4,4.0
2019-03-7,嘉義縣,中埔,15.2,12.9,99,1.2,29.5
2019-03-8,嘉義縣,中埔,15.6,12.4,96,1.0,15.5
2019-03-9,嘉義縣,中埔,19.8,16.6,92,1.0,4.0
2019-03-10,嘉義縣,中埔,20.1,17.3,87,1.7,11.5
2019-03-11,嘉義縣,中埔,17.7,16.1,96,1.0,1.0
