時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,基隆市,七堵,15.7,14.8,97,4.5,26.0
2019-01-2,基隆市,七堵,16.6,15.2,97,3.6,35.5
2019-01-3,基隆市,七堵,18.0,16.5,98,3.6,25.5
2019-01-4,基隆市,七堵,22.0,19.3,87,3.3,1.5
2019-01-5,基隆市,七堵,19.1,18.2,97,1.9,8.0
2019-01-6,基隆市,七堵,17.4,16.5,98,2.4,26.5
2019-01-7,基隆市,七堵,19.3,16.9,94,1.8,3.5
2019-01-8,基隆市,七堵,18.4,17.0,99,2.9,20.0
2019-01-9,基隆市,七堵,17.4,15.6,97,2.9,6.0
2019-01-10,基隆市,七堵,22.0,18.1,88,1.6,0.0
2019-01-11,基隆市,七堵,20.9,18.9,95,1.5,0.0
2019-01-12,基隆市,七堵,18.0,16.8,99,2.0,7.0
2019-01-13,基隆市,七堵,17.1,16.5,98,2.0,8.5
2019-01-14,基隆市,七堵,18.3,16.1,86,2.1,0.5
2019-01-15,基隆市,七堵,19.6,16.5,92,2.3,9.5
2019-01-16,基隆市,七堵,15.9,14.7,96,3.8,55.0
2019-01-17,基隆市,七堵,15.1,13.8,88,2.8,19.5
2019-01-18,基隆市,七堵,17.3,14.6,61,2.6,0.0
2019-01-19,基隆市,七堵,18.1,13.8,76,1.9,0.0
2019-01-20,基隆市,七堵,17.3,14.7,90,3.0,15.0
2019-01-21,基隆市,七堵,14.4,13.5,95,2.7,28.0
2019-01-22,基隆市,七堵,13.6,10.9,82,1.9,6.0
2019-01-23,基隆市,七堵,14.5,10.0,75,2.0,0.0
2019-01-24,基隆市,七堵,16.6,15.2,72,2.6,0.0
2019-01-25,基隆市,七堵,17.6,14.7,80,2.2,0.0
2019-01-26,基隆市,七堵,15.0,13.4,61,4.4,0.0
2019-01-27,基隆市,七堵,14.3,12.7,74,2.0,0.0
2019-01-28,基隆市,七堵,15.5,10.2,83,1.9,0.0
2019-01-29,基隆市,七堵,18.4,15.3,79,2.1,0.0
2019-01-30,基隆市,七堵,19.1,14.4,80,1.2,0.0
2019-01-31,基隆市,七堵,18.4,13.4,79,3.5,2.0
2019-02-1,基隆市,七堵,13.8,12.4,90,2.4,3.0
2019-02-2,基隆市,七堵,19.6,15.1,77,2.1,0.0
2019-02-3,基隆市,七堵,19.9,15.2,82,1.5,0.0
2019-02-4,基隆市,七堵,16.5,15.3,99,2.8,17.5
2019-02-5,基隆市,七堵,16.8,15.8,96,1.7,5.5
2019-02-6,基隆市,七堵,19.1,15.5,89,2.3,0.0
2019-02-7,基隆市,七堵,19.4,15.6,87,2.8,0.0
2019-02-8,基隆市,七堵,15.1,14.4,99,1.9,6.5
2019-02-9,基隆市,七堵,15.0,13.8,100,2.6,11.5
2019-02-10,基隆市,七堵,15.4,14.2,100,2.3,10.0
2019-02-11,基隆市,七堵,14.8,13.4,99,3.4,11.5
2019-02-12,基隆市,七堵,18.7,15.7,99,2.9,6.5
2019-02-13,基隆市,七堵,17.3,16.2,98,2.2,2.5
2019-02-14,基隆市,七堵,17.5,16.9,100,1.7,2.0
2019-02-15,基隆市,七堵,19.1,17.3,96,1.9,1.0
2019-02-16,基隆市,七堵,16.2,14.9,100,3.1,9.5
2019-02-17,基隆市,七堵,15.4,13.8,100,3.6,14.0
2019-02-18,基隆市,七堵,19.5,16.8,97,1.9,12.5
2019-02-19,基隆市,七堵,19.6,16.6,92,2.4,0.0
2019-02-20,基隆市,七堵,20.9,18.8,96,1.7,0.0
2019-02-21,基隆市,七堵,19.3,18.0,99,2.0,1.5
2019-02-22,基隆市,七堵,16.6,14.4,97,2.2,7.5
2019-02-23,基隆市,七堵,13.5,12.1,91,2.9,7.0
2019-02-24,基隆市,七堵,15.1,14.1,99,2.5,64.0
2019-02-25,基隆市,七堵,16.4,15.1,96,1.5,4.5
2019-02-26,基隆市,七堵,17.0,15.4,89,2.4,0.0
2019-02-27,基隆市,七堵,18.7,15.4,93,1.1,0.0
2019-02-28,基隆市,七堵,17.3,15.8,97,2.1,0.5
2019-03-1,基隆市,七堵,18.0,16.4,96,2.3,0.5
2019-03-2,基隆市,七堵,19.9,18.0,95,1.8,0.0
2019-03-3,基隆市,七堵,18.0,16.4,97,1.6,7.0
2019-03-4,基隆市,七堵,17.0,16.2,82,2.5,0.0
2019-03-5,基隆市,七堵,19.4,16.5,78,3.2,0.0
2019-03-6,基隆市,七堵,17.2,14.5,89,3.1,6.5
2019-03-7,基隆市,七堵,13.3,11.3,91,3.1,29.5
2019-03-8,基隆市,七堵,14.9,11.7,98,2.4,34.0
2019-03-9,基隆市,七堵,17.7,16.4,99,1.4,30.0
2019-03-10,基隆市,七堵,16.1,14.3,95,2.6,11.5
2019-03-11,基隆市,七堵,15.8,13.4,82,1.7,0.0
2019-03-12,基隆市,七堵,18.2,11.2,68,1.9,0.0
2019-03-13,基隆市,七堵,20.5,16.9,64,2.5,0.0
2019-03-14,基隆市,七堵,20.6,16.9,70,3.5,1.0
2019-03-15,基隆市,七堵,16.2,14.4,79,2.0,7.0
2019-03-16,基隆市,七堵,18.0,14.6,63,2.4,0.0
2019-03-17,基隆市,七堵,18.4,16.4,96,1.5,6.0
2019-03-18,基隆市,七堵,20.5,18.4,90,2.1,3.5
2019-03-19,基隆市,七堵,20.1,18.6,86,2.1,0.0
