時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,新竹市,新竹市東區,16.9,15.6,76,4.3,0.0
2019-01-2,新竹市,新竹市東區,17.5,15.9,79,2.9,0.0
2019-01-3,新竹市,新竹市東區,18.4,16.4,83,2.6,2.5
2019-01-4,新竹市,新竹市東區,17.9,16.1,91,1.0,0.5
2019-01-5,新竹市,新竹市東區,18.3,17.1,91,1.6,8.5
2019-01-6,新竹市,新竹市東區,16.9,15.0,87,2.8,5.0
2019-01-7,新竹市,新竹市東區,19.8,16.7,82,0.9,0.0
2019-01-8,新竹市,新竹市東區,18.6,17.6,86,3.1,0.0
2019-01-9,新竹市,新竹市東區,19.4,16.9,73,2.5,0.0
2019-01-10,新竹市,新竹市東區,19.0,17.3,90,1.1,0.0
2019-01-11,新竹市,新竹市東區,19.5,18.1,93,0.8,0.0
2019-01-12,新竹市,新竹市東區,18.1,17.1,88,2.1,0.0
2019-01-13,新竹市,新竹市東區,17.4,16.9,82,2.9,0.0
2019-01-14,新竹市,新竹市東區,19.4,17.0,69,2.3,0.0
2019-01-15,新竹市,新竹市東區,18.5,16.9,85,2.5,0.0
2019-01-16,新竹市,新竹市東區,15.4,14.4,89,3.6,9.0
2019-01-17,新竹市,新竹市東區,13.9,12.9,83,4.0,5.0
2019-01-18,新竹市,新竹市東區,17.3,13.9,60,2.1,0.0
2019-01-19,新竹市,新竹市東區,17.3,14.0,80,1.5,0.0
2019-01-20,新竹市,新竹市東區,17.0,13.8,84,2.8,0.0
2019-01-21,新竹市,新竹市東區,14.2,12.9,81,3.7,0.0
2019-01-22,新竹市,新竹市東區,13.3,12.4,69,2.8,0.0
2019-01-23,新竹市,新竹市東區,15.2,12.0,61,2.3,0.0
2019-01-24,新竹市,新竹市東區,16.8,14.1,65,2.3,0.0
2019-01-25,新竹市,新竹市東區,16.3,12.6,77,1.9,0.0
2019-01-26,新竹市,新竹市東區,14.1,12.9,62,4.3,0.0
2019-01-27,新竹市,新竹市東區,14.6,13.1,62,2.6,0.0
2019-01-28,新竹市,新竹市東區,15.9,11.2,72,1.5,0.0
2019-01-29,新竹市,新竹市東區,18.1,13.0,72,1.2,0.0
2019-01-30,新竹市,新竹市東區,17.4,15.1,81,1.0,0.0
2019-01-31,新竹市,新竹市東區,18.5,14.2,69,2.1,0.0
2019-02-1,新竹市,新竹市東區,13.8,13.0,74,3.1,0.0
2019-02-2,新竹市,新竹市東區,15.8,12.5,82,0.9,0.0
2019-02-3,新竹市,新竹市東區,19.7,14.6,80,1.2,1.0
2019-02-4,新竹市,新竹市東區,16.7,15.7,86,3.2,0.0
2019-02-5,新竹市,新竹市東區,16.3,14.9,88,1.7,0.0
2019-02-6,新竹市,新竹市東區,19.0,15.5,82,1.3,0.0
2019-02-7,新竹市,新竹市東區,21.1,15.9,74,2.1,0.0
2019-02-8,新竹市,新竹市東區,15.5,15.0,83,2.6,0.0
2019-02-9,新竹市,新竹市東區,15.4,14.2,86,2.5,0.0
2019-02-10,新竹市,新竹市東區,15.7,14.3,86,2.6,0.0
2019-02-11,新竹市,新竹市東區,15.1,14.1,86,3.0,0.0
2019-02-12,新竹市,新竹市東區,17.8,15.4,88,1.2,0.0
2019-02-13,新竹市,新竹市東區,17.7,16.7,87,2.2,0.0
2019-02-14,新竹市,新竹市東區,17.6,16.8,89,1.9,0.0
2019-02-15,新竹市,新竹市東區,20.2,17.4,82,0.9,0.0
2019-02-16,新竹市,新竹市東區,17.0,15.3,87,2.4,0.0
2019-02-17,新竹市,新竹市東區,16.0,14.3,81,2.9,0.0
2019-02-18,新竹市,新竹市東區,17.8,16.9,91,1.1,0.0
2019-02-19,新竹市,新竹市東區,20.0,14.7,82,1.2,1.5
2019-02-20,新竹市,新竹市東區,20.9,18.5,88,0.9,0.0
2019-02-21,新竹市,新竹市東區,20.0,16.3,87,1.6,0.5
2019-02-22,新竹市,新竹市東區,16.5,15.0,90,2.3,0.5
2019-02-23,新竹市,新竹市東區,13.9,12.9,78,3.1,5.0
2019-02-24,新竹市,新竹市東區,14.4,13.2,93,1.8,56.0
2019-02-25,新竹市,新竹市東區,16.8,15.1,83,1.8,0.0
2019-02-26,新竹市,新竹市東區,17.7,15.9,77,2.1,0.0
2019-02-27,新竹市,新竹市東區,18.9,16.3,82,0.9,0.5
2019-02-28,新竹市,新竹市東區,17.8,16.7,86,2.1,0.0
2019-03-1,新竹市,新竹市東區,18.5,...,83,1.9,0.0
2019-03-2,新竹市,新竹市東區,18.9,16.7,87,0.9,0.0
2019-03-3,新竹市,新竹市東區,17.1,15.2,92,1.3,21.0
2019-03-4,新竹市,新竹市東區,17.8,15.6,74,2.4,0.0
2019-03-5,新竹市,新竹市東區,17.9,14.1,79,2.2,9.0
2019-03-6,新竹市,新竹市東區,16.8,14.1,90,1.9,21.0
2019-03-7,新竹市,新竹市東區,12.8,11.3,86,3.3,26.0
2019-03-8,新竹市,新竹市東區,14.2,11.5,89,1.9,15.5
2019-03-9,新竹市,新竹市東區,16.5,15.2,96,1.0,93.5
2019-03-10,新竹市,新竹市東區,16.2,14.9,89,2.0,29.5
2019-03-11,新竹市,新竹市東區,16.1,14.9,70,2.0,0.0
2019-03-12,新竹市,新竹市東區,18.6,17.3,58,1.9,0.0
2019-03-13,新竹市,新竹市東區,20.6,16.0,65,1.3,0.0
2019-03-14,新竹市,新竹市東區,18.8,17.0,79,1.7,0.0
2019-03-15,新竹市,新竹市東區,17.2,14.8,60,2.7,6.0
2019-03-16,新竹市,新竹市東區,18.8,17.7,51,2.1,0.0
2019-03-17,新竹市,新竹市東區,19.5,17.0,78,1.1,0.0
2019-03-18,新竹市,新竹市東區,19.5,18.4,87,1.0,0.0
2019-03-19,新竹市,新竹市東區,21.3,17.6,78,1.6,0.0
2019-03-20,新竹市,新竹市東區,22.5,19.5,85,2.2,0.0
2019-03-21,新竹市,新竹市東區,25.1,22.9,78,3.3,0.0
2019-03-22,新竹市,新竹市東區,20.2,16.8,82,2.3,0.0
2019-03-23,新竹市,新竹市東區,15.5,14.0,79,3.4,4.0
2019-03-24,新竹市,新竹市東區,15.9,13.6,88,1.4,7.0
2019-03-25,新竹市,新竹市東區,17.8,15.9,94,1.0,27.5
2019-03-26,新竹市,新竹市東區,20.1,16.9,76,1.8,0.0
2019-03-27,新竹市,新竹市東區,21.6,17.8,78,1.5,0.0
2019-03-28,新竹市,新竹市東區,24.6,20.3,77,3.3,0.0
2019-03-29,新竹市,新竹市東區,22.8,17.5,83,1.8,7.0
2019-03-30,新竹市,新竹市東區,20.9,17.2,77,2.1,1.0
2019-03-31,新竹市,新竹市東區,19.8,17.2,67,3.2,0.0
2019-04-1,新竹市,新竹市東區,16.7,15.0,77,2.9,3.5
2019-04-2,新竹市,新竹市東區,19.8,17.1,78,1.3,0.0
2019-04-3,新竹市,新竹市東區,19.8,18.1,88,0.8,0.5
2019-04-4,新竹市,新竹市東區,21.2,18.9,86,1.1,0.0
2019-04-5,新竹市,新竹市東區,21.5,19.5,81,1.2,0.0
2019-04-6,新竹市,新竹市東區,21.8,18.7,78,1.2,0.0
2019-04-7,新竹市,新竹市東區,23.9,20.3,79,2.4,0.0
2019-04-8,新竹市,新竹市東區,25.0,21.0,76,1.2,0.0
2019-04-9,新竹市,新竹市東區,25.5,22.7,81,3.4,0.0
2019-04-10,新竹市,新竹市東區,24.5,21.3,80,3.5,0.0
2019-04-11,新竹市,新竹市東區,20.7,17.3,83,2.1,21.5
2019-04-12,新竹市,新竹市東區,19.3,17.5,74,2.6,0.5
2019-04-13,新竹市,新竹市東區,20.8,18.1,87,1.3,5.5
2019-04-14,新竹市,新竹市東區,22.3,20.0,82,2.0,2.5
2019-04-15,新竹市,新竹市東區,19.9,18.7,72,2.6,1.5
2019-04-16,新竹市,新竹市東區,18.9,17.6,92,0.7,42.0
2019-04-17,新竹市,新竹市東區,21.9,19.2,71,1.9,0.0
2019-04-18,新竹市,新竹市東區,23.9,20.0,74,0.8,0.0
2019-04-19,新竹市,新竹市東區,23.2,21.7,86,1.4,9.5
2019-04-20,新竹市,新竹市東區,23.5,21.8,89,1.1,23.0
2019-04-21,新竹市,新竹市東區,24.4,21.2,85,1.6,115.0
2019-04-22,新竹市,新竹市東區,26.0,21.9,83,2.0,0.0
2019-04-23,新竹市,新竹市東區,27.4,24.7,75,2.6,0.0
2019-04-24,新竹市,新竹市東區,26.7,24.3,79,2.9,0.0
2019-04-25,新竹市,新竹市東區,27.5,23.7,72,3.4,0.0
2019-04-26,新竹市,新竹市東區,26.3,24.2,77,1.9,0.0
2019-04-27,新竹市,新竹市東區,24.8,22.9,75,2.5,0.0
2019-04-28,新竹市,新竹市東區,24.4,22.1,81,1.2,0.0
2019-04-29,新竹市,新竹市東區,26.0,22.8,75,1.4,0.0
2019-04-30,新竹市,新竹市東區,26.7,23.1,75,3.1,0.5
2019-05-1,新竹市,新竹市東區,20.6,18.8,88,2.1,92.0
2019-05-2,新竹市,新竹市東區,20.0,17.7,74,2.5,5.5
2019-05-3,新竹市,新竹市東區,22.0,18.4,61,2.9,2.5
2019-05-4,新竹市,新竹市東區,21.8,18.6,77,2.1,5.5
2019-05-5,新竹市,新竹市東區,24.1,19.8,69,1.6,0.5
2019-05-6,新竹市,新竹市東區,20.6,19.0,84,2.5,8.0
2019-05-7,新竹市,新竹市東區,19.0,17.4,79,3.1,4.5
