時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,新竹縣,寶山,17.3,15.7,79,0.2,0.0
2019-01-2,新竹縣,寶山,17.3,16.0,84,0.1,0.5
2019-01-3,新竹縣,寶山,17.9,15.5,90,0.1,1.5
2019-01-4,新竹縣,寶山,17.4,14.1,94,0.1,0.5
2019-01-5,新竹縣,寶山,18.6,17.1,93,0.0,3.5
2019-01-6,新竹縣,寶山,16.7,14.8,93,0.0,9.5
2019-01-7,新竹縣,寶山,18.6,15.0,90,0.1,0.0
2019-01-8,新竹縣,寶山,18.9,17.6,90,0.0,0.5
2019-01-9,新竹縣,寶山,19.0,15.9,81,0.0,0.0
2019-01-10,新竹縣,寶山,18.9,15.0,91,0.0,0.0
2019-01-11,新竹縣,寶山,20.0,18.6,92,0.1,0.0
2019-01-12,新竹縣,寶山,18.8,16.9,90,0.0,0.0
2019-01-13,新竹縣,寶山,17.8,16.9,85,0.0,0.0
2019-01-14,新竹縣,寶山,19.0,16.3,77,0.0,0.0
2019-01-15,新竹縣,寶山,18.6,16.0,88,0.0,0.0
2019-01-16,新竹縣,寶山,15.4,14.1,94,0.1,15.0
2019-01-17,新竹縣,寶山,13.8,13.0,92,0.1,8.0
2019-01-18,新竹縣,寶山,15.4,10.0,77,0.1,0.0
2019-01-19,新竹縣,寶山,16.9,11.0,86,0.0,0.0
2019-01-20,新竹縣,寶山,17.0,14.0,88,0.0,0.0
2019-01-21,新竹縣,寶山,14.1,12.2,88,0.0,1.0
2019-01-22,新竹縣,寶山,12.6,10.4,81,0.0,0.0
2019-01-23,新竹縣,寶山,13.7,7.0,75,0.0,0.0
2019-01-24,新竹縣,寶山,14.5,8.5,80,0.0,0.0
2019-01-25,新竹縣,寶山,15.0,8.7,83,0.0,0.5
2019-01-26,新竹縣,寶山,14.1,12.4,68,0.2,0.0
2019-01-27,新竹縣,寶山,13.9,8.2,70,0.1,0.0
2019-01-28,新竹縣,寶山,13.9,6.7,82,0.0,0.0
2019-01-29,新竹縣,寶山,16.3,8.8,81,0.0,0.0
2019-01-30,新竹縣,寶山,16.2,12.7,88,0.1,0.0
2019-01-31,新竹縣,寶山,17.6,12.0,77,0.2,0.0
2019-02-1,新竹縣,寶山,13.5,12.1,81,0.1,0.0
2019-02-2,新竹縣,寶山,15.3,10.1,86,0.1,0.0
2019-02-3,新竹縣,寶山,18.6,11.8,85,0.1,1.0
2019-02-4,新竹縣,寶山,17.4,16.0,87,0.1,0.0
2019-02-5,新竹縣,寶山,16.4,15.2,91,0.0,0.0
2019-02-6,新竹縣,寶山,18.6,13.1,85,0.1,0.5
2019-02-7,新竹縣,寶山,20.8,15.1,77,0.2,0.0
2019-02-8,新竹縣,寶山,15.9,14.9,86,0.0,0.0
2019-02-9,新竹縣,寶山,15.4,13.6,90,0.0,0.0
2019-02-10,新竹縣,寶山,16.0,14.4,87,0.0,0.0
2019-02-11,新竹縣,寶山,15.4,13.9,88,0.0,0.5
2019-02-12,新竹縣,寶山,18.1,14.8,89,0.0,0.0
2019-02-13,新竹縣,寶山,18.1,16.9,89,0.0,0.5
2019-02-14,新竹縣,寶山,17.8,16.7,90,0.0,0.0
2019-02-15,新竹縣,寶山,20.2,16.9,83,0.2,0.0
2019-02-16,新竹縣,寶山,17.4,15.4,90,0.0,0.0
2019-02-17,新竹縣,寶山,16.5,14.3,83,0.0,0.0
2019-02-18,新竹縣,寶山,17.5,15.4,93,0.0,0.5
2019-02-19,新竹縣,寶山,19.5,14.4,89,0.0,2.0
2019-02-20,新竹縣,寶山,20.6,18.0,90,0.0,0.0
2019-02-21,新竹縣,寶山,20.2,16.9,89,0.0,0.5
2019-02-22,新竹縣,寶山,16.2,14.0,96,0.0,2.5
2019-02-23,新竹縣,寶山,13.4,12.4,86,0.1,3.5
2019-02-24,新竹縣,寶山,14.1,12.7,98,0.0,62.0
2019-02-25,新竹縣,寶山,16.6,14.1,89,0.0,0.0
2019-02-26,新竹縣,寶山,17.6,15.5,83,0.0,0.0
2019-02-27,新竹縣,寶山,18.3,16.2,89,0.0,0.5
2019-02-28,新竹縣,寶山,17.5,16.0,91,0.0,0.0
2019-03-1,新竹縣,寶山,18.4,14.6,87,0.0,0.0
2019-03-2,新竹縣,寶山,18.5,16.4,91,0.1,0.0
2019-03-3,新竹縣,寶山,16.5,14.7,97,0.0,31.5
2019-03-4,新竹縣,寶山,17.4,13.9,83,0.0,0.0
2019-03-5,新竹縣,寶山,17.3,13.3,86,0.1,10.5
2019-03-6,新竹縣,寶山,16.1,13.5,98,0.0,21.0
2019-03-7,新竹縣,寶山,11.9,10.5,97,0.1,39.5
2019-03-8,新竹縣,寶山,13.5,10.4,98,0.0,20.5
2019-03-9,新竹縣,寶山,16.4,14.8,98,0.0,105.0
2019-03-10,新竹縣,寶山,15.6,13.8,98,0.0,33.0
2019-03-11,新竹縣,寶山,15.0,12.9,85,0.0,0.5
2019-03-12,新竹縣,寶山,17.1,10.7,74,0.0,0.0
2019-03-13,新竹縣,寶山,18.2,12.5,81,0.0,0.0
2019-03-14,新竹縣,寶山,17.2,13.4,88,0.1,0.0
2019-03-15,新竹縣,寶山,16.3,13.5,68,0.1,5.5
2019-03-16,新竹縣,寶山,17.2,15.6,64,0.0,0.0
2019-03-17,新竹縣,寶山,18.3,15.5,87,0.0,0.5
2019-03-18,新竹縣,寶山,17.8,15.6,95,0.0,1.0
2019-03-19,新竹縣,寶山,20.2,15.3,84,0.0,0.0
2019-03-20,新竹縣,寶山,21.3,15.9,89,0.1,0.0
2019-03-21,新竹縣,寶山,24.0,19.2,81,0.3,0.0
2019-03-22,新竹縣,寶山,20.2,17.1,86,0.1,0.0
2019-03-23,新竹縣,寶山,15.0,13.8,86,0.2,9.0
2019-03-24,新竹縣,寶山,14.8,12.7,97,0.0,9.5
2019-03-25,新竹縣,寶山,17.0,15.8,98,0.0,26.5
2019-03-26,新竹縣,寶山,19.2,15.2,85,0.0,0.0
2019-03-27,新竹縣,寶山,19.6,14.8,87,0.2,0.0
