時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,桃園市,中壢,15.3,14.7,86,4.2,0.0
2019-01-2,桃園市,中壢,16.0,14.7,88,3.7,2.0
2019-01-3,桃園市,中壢,17.4,15.5,89,3.2,6.0
2019-01-4,桃園市,中壢,19.1,16.7,89,1.7,0.0
2019-01-5,桃園市,中壢,17.6,16.7,94,1.1,7.5
2019-01-6,桃園市,中壢,16.3,14.4,90,2.8,7.0
2019-01-7,桃園市,中壢,19.6,16.7,82,2.4,0.0
2019-01-8,桃園市,中壢,18.1,17.1,89,2.6,0.5
2019-01-9,桃園市,中壢,17.9,15.8,81,4.0,0.0
2019-01-10,桃園市,中壢,19.7,18.8,88,1.1,0.0
2019-01-11,桃園市,中壢,18.9,17.4,96,0.8,0.0
2019-01-12,桃園市,中壢,17.4,16.6,91,1.7,0.0
2019-01-13,桃園市,中壢,16.9,16.3,85,2.4,0.0
2019-01-14,桃園市,中壢,18.3,16.1,74,3.5,0.0
2019-01-15,桃園市,中壢,18.3,15.8,87,1.8,1.5
2019-01-16,桃園市,中壢,15.0,13.7,91,2.5,15.5
2019-01-17,桃園市,中壢,13.5,12.7,85,2.7,8.5
2019-01-18,桃園市,中壢,16.5,13.3,58,3.8,0.0
2019-01-19,桃園市,中壢,17.3,14.1,76,0.9,0.0
2019-01-20,桃園市,中壢,16.4,12.8,86,2.0,1.5
2019-01-21,桃園市,中壢,13.4,12.1,86,2.2,2.5
2019-01-22,桃園市,中壢,12.6,11.7,73,2.3,0.0
2019-01-23,桃園市,中壢,14.6,11.6,63,2.9,0.0
2019-01-24,桃園市,中壢,16.1,14.1,67,3.1,0.0
2019-01-25,桃園市,中壢,16.9,14.9,76,1.8,0.0
2019-01-26,桃園市,中壢,13.4,12.2,64,3.0,0.0
2019-01-27,桃園市,中壢,14.0,12.7,65,2.9,0.0
2019-01-28,桃園市,中壢,16.0,12.4,71,1.4,0.0
2019-01-29,桃園市,中壢,18.3,15.5,68,2.8,0.0
2019-01-30,桃園市,中壢,19.3,16.7,65,1.0,0.0
2019-01-31,桃園市,中壢,18.7,13.2,65,2.0,0.0
2019-02-1,桃園市,中壢,13.3,12.1,77,2.7,0.0
2019-02-2,桃園市,中壢,16.8,13.8,79,0.9,0.0
2019-02-3,桃園市,中壢,19.4,14.8,78,1.3,0.5
2019-02-4,桃園市,中壢,16.2,14.8,88,2.0,1.5
2019-02-5,桃園市,中壢,15.6,14.4,90,1.5,0.0
2019-02-6,桃園市,中壢,18.3,15.5,84,1.1,0.0
2019-02-7,桃園市,中壢,20.6,15.3,75,1.8,0.0
2019-02-8,桃園市,中壢,14.6,13.8,88,2.1,0.0
2019-02-9,桃園市,中壢,14.5,13.6,91,1.7,0.5
2019-02-10,桃園市,中壢,14.9,13.4,88,1.9,0.0
2019-02-11,桃園市,中壢,14.7,13.3,87,2.5,0.0
2019-02-12,桃園市,中壢,18.4,15.6,87,1.9,0.0
2019-02-13,桃園市,中壢,17.1,16.0,89,1.7,0.5
2019-02-14,桃園市,中壢,17.0,16.1,92,1.4,0.0
2019-02-15,桃園市,中壢,19.3,17.0,86,0.7,0.0
2019-02-16,桃園市,中壢,16.1,14.7,89,1.8,0.5
2019-02-17,桃園市,中壢,15.8,13.6,81,2.9,0.0
2019-02-18,桃園市,中壢,17.8,16.3,92,1.5,0.0
2019-02-19,桃園市,中壢,19.3,13.9,84,1.3,0.5
2019-02-20,桃園市,中壢,20.6,18.7,87,0.9,0.0
2019-02-21,桃園市,中壢,19.6,16.1,88,1.3,1.0
2019-02-22,桃園市,中壢,15.7,14.1,92,1.7,2.0
2019-02-23,桃園市,中壢,13.1,11.9,82,2.8,6.0
2019-02-24,桃園市,中壢,13.9,13.0,94,1.8,67.0
2019-02-25,桃園市,中壢,15.9,14.4,87,1.5,0.5
2019-02-26,桃園市,中壢,16.7,15.4,80,2.2,0.0
2019-02-27,桃園市,中壢,19.1,16.4,81,0.5,0.0
2019-02-28,桃園市,中壢,16.9,15.5,89,1.9,0.0
2019-03-1,桃園市,中壢,18.2,15.8,85,1.6,0.0
2019-03-2,桃園市,中壢,19.3,17.2,86,1.0,0.0
2019-03-3,桃園市,中壢,17.1,14.8,92,1.0,18.5
2019-03-4,桃園市,中壢,16.9,15.4,76,2.5,0.0
2019-03-5,桃園市,中壢,17.9,13.9,77,2.9,7.5
