時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,臺中市,中坑,16.2,12.8,76,0.7,0.0
2019-01-2,臺中市,中坑,16.0,14.1,90,0.7,0.5
2019-01-3,臺中市,中坑,16.7,14.2,92,0.9,1.5
2019-01-4,臺中市,中坑,18.2,15.2,86,0.8,0.0
2019-01-5,臺中市,中坑,18.0,15.9,93,0.8,0.0
2019-01-6,臺中市,中坑,18.0,15.2,93,0.6,3.5
2019-01-7,臺中市,中坑,18.2,15.2,87,0.6,0.0
2019-01-8,臺中市,中坑,18.5,15.5,81,0.9,0.0
2019-01-9,臺中市,中坑,17.5,14.9,84,0.5,0.0
2019-01-10,臺中市,中坑,18.9,16.2,77,0.7,0.0
2019-01-11,臺中市,中坑,18.4,15.6,82,0.6,0.0
2019-01-12,臺中市,中坑,17.6,15.4,90,0.6,0.0
2019-01-13,臺中市,中坑,17.6,15.1,78,0.6,0.0
2019-01-14,臺中市,中坑,17.6,15.1,75,0.7,0.0
2019-01-15,臺中市,中坑,17.5,14.2,77,0.9,0.0
2019-01-16,臺中市,中坑,14.3,12.4,98,1.2,13.0
2019-01-17,臺中市,中坑,13.3,10.7,93,0.7,4.5
2019-01-18,臺中市,中坑,13.6,10.4,84,0.6,0.0
2019-01-19,臺中市,中坑,14.6,11.7,83,1.1,0.0
2019-01-20,臺中市,中坑,15.7,13.3,88,0.8,0.0
2019-01-21,臺中市,中坑,12.4,9.7,99,0.6,1.0
2019-01-22,臺中市,中坑,10.1,8.2,98,0.7,0.0
2019-01-23,臺中市,中坑,13.4,9.2,82,1.0,0.0
2019-01-24,臺中市,中坑,14.1,10.4,74,0.8,0.0
2019-01-25,臺中市,中坑,14.9,11.8,56,0.8,0.0
2019-01-26,臺中市,中坑,12.9,9.7,64,0.4,0.0
2019-01-27,臺中市,中坑,12.6,9.3,86,0.7,0.0
2019-01-28,臺中市,中坑,13.4,9.3,73,0.6,0.0
2019-01-29,臺中市,中坑,15.4,9.8,64,0.8,0.0
2019-01-30,臺中市,中坑,15.7,13.3,66,0.8,0.0
2019-01-31,臺中市,中坑,16.6,13.1,72,1.2,0.0
2019-02-1,臺中市,中坑,15.2,12.8,80,0.5,0.0
2019-02-2,臺中市,中坑,16.8,12.0,77,0.9,0.0
2019-02-3,臺中市,中坑,18.4,12.9,76,1.8,0.0
2019-02-4,臺中市,中坑,17.5,14.4,92,0.9,0.0
2019-02-5,臺中市,中坑,16.6,13.3,91,1.3,0.0
2019-02-6,臺中市,中坑,18.0,12.6,70,0.9,0.0
2019-02-7,臺中市,中坑,18.0,13.9,64,1.4,0.0
2019-02-8,臺中市,中坑,16.3,12.7,78,1.1,0.0
2019-02-9,臺中市,中坑,16.5,12.9,83,1.1,0.0
2019-02-10,臺中市,中坑,17.0,13.6,79,0.9,0.0
2019-02-11,臺中市,中坑,18.7,15.8,60,0.7,0.0
2019-02-12,臺中市,中坑,18.5,14.2,69,0.8,0.0
2019-02-13,臺中市,中坑,18.0,14.7,80,0.7,0.0
2019-02-14,臺中市,中坑,17.8,14.9,86,0.7,0.0
2019-02-15,臺中市,中坑,18.1,13.7,81,0.8,0.0
2019-02-16,臺中市,中坑,16.4,13.4,91,0.7,0.0
2019-02-17,臺中市,中坑,16.5,12.9,88,0.9,0.0
2019-02-18,臺中市,中坑,17.4,13.0,86,1.2,0.0
2019-02-19,臺中市,中坑,19.5,14.1,74,2.0,0.0
2019-02-20,臺中市,中坑,19.0,16.1,87,0.9,0.0
2019-02-21,臺中市,中坑,17.1,14.6,96,0.6,0.0
2019-02-22,臺中市,中坑,16.8,14.4,91,0.8,0.0
2019-02-23,臺中市,中坑,15.4,11.4,91,1.2,0.0
2019-02-24,臺中市,中坑,14.0,12.4,99,1.2,21.0
2019-02-25,臺中市,中坑,16.1,13.2,93,0.8,0.0
2019-02-26,臺中市,中坑,16.4,12.3,91,1.0,0.0
2019-02-27,臺中市,中坑,16.5,12.2,91,0.9,0.0
2019-02-28,臺中市,中坑,17.7,14.9,91,0.7,0.0
2019-03-1,臺中市,中坑,18.2,15.3,90,0.8,0.0
2019-03-2,臺中市,中坑,18.4,15.2,86,1.0,0.0
2019-03-3,臺中市,中坑,15.1,12.7,92,1.2,18.5
2019-03-4,臺中市,中坑,16.5,11.8,80,0.9,0.0
2019-03-5,臺中市,中坑,15.7,11.8,89,1.0,4.5
2019-03-6,臺中市,中坑,15.4,13.0,97,0.8,14.5
2019-03-7,臺中市,中坑,13.2,11.2,99,0.7,52.0
2019-03-8,臺中市,中坑,13.5,11.6,99,0.8,21.0
2019-03-9,臺中市,中坑,14.8,12.7,99,1.4,73.5
2019-03-10,臺中市,中坑,14.7,12.2,94,1.5,34.5
