時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,臺北市,信義,15.3,15.0,96,2.4,8.0
2019-01-2,臺北市,信義,16.3,14.9,96,2.2,7.5
2019-01-3,臺北市,信義,17.6,16.5,96,2.0,9.0
2019-01-4,臺北市,信義,21.5,18.5,86,1.2,0.0
2019-01-5,臺北市,信義,19.3,18.3,91,0.6,3.0
2019-01-6,臺北市,信義,17.3,16.3,95,1.3,10.5
2019-01-7,臺北市,信義,19.8,16.7,88,1.4,0.0
2019-01-8,臺北市,信義,19.0,16.8,91,1.4,0.5
2019-01-9,臺北市,信義,17.6,15.7,92,2.2,0.0
2019-01-10,臺北市,信義,22.7,19.3,81,0.5,0.0
2019-01-11,臺北市,信義,21.8,20.1,85,0.3,0.0
2019-01-12,臺北市,信義,18.7,16.9,91,1.2,0.0
2019-01-13,臺北市,信義,17.5,16.8,91,1.9,0.0
2019-01-14,臺北市,信義,18.9,16.3,79,1.7,0.0
2019-01-15,臺北市,信義,20.1,17.0,84,0.7,0.0
2019-01-16,臺北市,信義,15.9,14.6,95,1.5,20.0
2019-01-17,臺北市,信義,14.9,14.1,88,1.2,6.5
2019-01-18,臺北市,信義,17.6,14.6,59,2.0,0.0
2019-01-19,臺北市,信義,19.1,15.0,69,0.3,0.0
2019-01-20,臺北市,信義,17.7,14.5,84,0.7,1.0
2019-01-21,臺北市,信義,14.4,13.5,92,1.2,5.0
2019-01-22,臺北市,信義,14.0,13.4,75,0.5,0.0
2019-01-23,臺北市,信義,15.5,12.6,63,1.6,0.0
2019-01-24,臺北市,信義,17.0,15.6,66,1.8,0.0
2019-01-25,臺北市,信義,18.4,16.4,74,1.3,0.0
2019-01-26,臺北市,信義,14.7,13.2,61,0.9,0.0
2019-01-27,臺北市,信義,14.7,13.9,66,1.4,0.0
2019-01-28,臺北市,信義,17.4,13.9,70,1.3,0.0
2019-01-29,臺北市,信義,19.2,16.5,70,1.6,0.0
2019-01-30,臺北市,信義,20.6,16.4,65,0.3,0.0
2019-01-31,臺北市,信義,19.0,13.9,73,1.0,0.0
2019-02-1,臺北市,信義,13.9,12.5,86,1.6,0.0
2019-02-2,臺北市,信義,20.0,15.3,71,0.8,0.0
2019-02-3,臺北市,信義,21.6,16.5,73,0.3,0.0
2019-02-4,臺北市,信義,16.9,15.4,92,1.5,0.0
2019-02-5,臺北市,信義,17.7,16.2,87,0.9,0.0
2019-02-6,臺北市,信義,20.2,16.4,82,0.6,0.0
2019-02-7,臺北市,信義,21.1,16.1,76,1.1,0.0
2019-02-8,臺北市,信義,15.6,15.0,89,1.5,0.0
2019-02-9,臺北市,信義,15.3,13.6,93,1.4,0.5
2019-02-10,臺北市,信義,15.4,13.8,96,1.8,0.0
2019-02-11,臺北市,信義,15.3,14.3,92,2.4,0.0
2019-02-12,臺北市,信義,19.5,15.8,91,1.6,0.5
2019-02-13,臺北市,信義,17.9,16.5,92,1.3,0.0
2019-02-14,臺北市,信義,18.0,17.0,93,1.3,0.0
2019-02-15,臺北市,信義,20.1,17.8,87,0.7,0.0
2019-02-16,臺北市,信義,16.7,14.8,92,1.7,0.0
2019-02-17,臺北市,信義,15.4,13.8,94,2.2,0.0
2019-02-18,臺北市,信義,19.6,16.3,92,0.9,1.5
2019-02-19,臺北市,信義,20.2,15.8,85,0.9,1.0
2019-02-20,臺北市,信義,22.2,18.7,87,0.6,0.0
2019-02-21,臺北市,信義,20.1,18.4,91,1.4,0.0
2019-02-22,臺北市,信義,17.0,14.4,93,1.2,3.0
2019-02-23,臺北市,信義,13.5,12.4,89,1.8,2.5
2019-02-24,臺北市,信義,14.8,14.0,97,1.6,60.0
