時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,花蓮縣,佳心,13.1,12.3,98,0.0,2.0
2019-01-2,花蓮縣,佳心,13.2,12.2,100,0.1,14.5
2019-01-3,花蓮縣,佳心,14.7,13.7,100,0.1,2.0
2019-01-4,花蓮縣,佳心,16.8,13.7,95,0.4,0.0
2019-01-5,花蓮縣,佳心,17.9,14.8,91,0.3,0.5
2019-01-6,花蓮縣,佳心,15.3,13.9,100,0.1,0.5
2019-01-7,花蓮縣,佳心,15.5,13.0,95,0.2,0.0
2019-01-8,花蓮縣,佳心,16.4,14.4,88,0.3,0.0
2019-01-9,花蓮縣,佳心,14.9,13.8,98,0.1,1.5
2019-01-10,花蓮縣,佳心,16.5,13.1,90,0.4,0.0
2019-01-11,花蓮縣,佳心,17.4,14.6,84,0.4,0.0
2019-01-12,花蓮縣,佳心,16.9,13.7,85,0.3,4.5
2019-01-13,花蓮縣,佳心,14.6,13.9,100,0.0,7.0
2019-01-14,花蓮縣,佳心,14.0,13.2,100,0.0,3.0
2019-01-15,花蓮縣,佳心,15.0,12.3,95,0.3,0.5
2019-01-16,花蓮縣,佳心,13.5,12.6,100,0.0,7.0
2019-01-17,花蓮縣,佳心,12.2,10.8,100,0.1,0.0
2019-01-18,花蓮縣,佳心,11.4,9.9,92,0.2,2.0
2019-01-19,花蓮縣,佳心,12.8,10.5,87,0.2,0.0
2019-01-20,花蓮縣,佳心,14.1,12.3,98,0.1,8.0
2019-01-21,花蓮縣,佳心,11.5,10.9,100,0.0,4.0
2019-01-22,花蓮縣,佳心,11.1,9.4,99,0.1,2.5
2019-01-23,花蓮縣,佳心,10.7,9.0,96,0.0,0.0
2019-01-24,花蓮縣,佳心,12.1,9.0,90,0.4,0.0
2019-01-25,花蓮縣,佳心,13.3,9.9,84,0.4,0.0
2019-01-26,花蓮縣,佳心,10.1,7.9,96,0.1,0.5
2019-01-27,花蓮縣,佳心,9.4,7.8,96,0.1,0.0
2019-01-28,花蓮縣,佳心,11.9,8.3,88,0.3,0.0
2019-01-29,花蓮縣,佳心,12.8,11.2,93,0.2,0.0
2019-01-30,花蓮縣,佳心,14.6,11.4,82,0.5,0.0
2019-01-31,花蓮縣,佳心,15.6,11.3,79,0.4,0.0
2019-02-1,花蓮縣,佳心,11.6,10.8,99,0.0,0.5
2019-02-2,花蓮縣,佳心,13.7,10.5,89,0.3,0.0
2019-02-3,花蓮縣,佳心,16.2,12.2,79,0.4,0.0
2019-02-4,花蓮縣,佳心,15.1,14.1,89,0.3,0.0
2019-02-5,花蓮縣,佳心,15.6,14.2,97,0.1,0.0
2019-02-6,花蓮縣,佳心,16.8,13.2,81,0.5,0.0
2019-02-7,花蓮縣,佳心,16.8,11.8,77,0.6,0.0
2019-02-8,花蓮縣,佳心,15.0,13.5,89,0.2,0.5
2019-02-9,花蓮縣,佳心,15.2,11.6,92,0.2,0.5
2019-02-10,花蓮縣,佳心,15.0,13.0,97,0.0,0.0
2019-02-11,花蓮縣,佳心,14.8,12.7,93,0.2,1.0
2019-02-12,花蓮縣,佳心,15.7,12.2,94,0.2,0.5
2019-02-13,花蓮縣,佳心,16.0,13.0,87,0.4,0.5
2019-02-14,花蓮縣,佳心,16.9,13.4,92,0.2,0.0
2019-02-15,花蓮縣,佳心,16.7,13.4,81,0.4,0.0
2019-02-16,花蓮縣,佳心,16.3,13.9,87,0.2,3.0
2019-02-17,花蓮縣,佳心,14.5,13.6,99,0.1,0.0
2019-02-18,花蓮縣,佳心,16.9,13.9,88,0.3,0.0
2019-02-19,花蓮縣,佳心,19.5,15.5,74,0.3,0.0
2019-02-20,花蓮縣,佳心,18.6,15.1,81,0.4,0.0
2019-02-21,花蓮縣,佳心,17.9,15.3,80,0.3,0.5
2019-02-22,花蓮縣,佳心,17.0,14.0,83,0.4,2.0
2019-02-23,花蓮縣,佳心,12.3,11.8,100,0.0,1.0
2019-02-24,花蓮縣,佳心,13.6,11.8,100,0.0,1.5
2019-02-25,花蓮縣,佳心,15.0,13.8,99,0.0,2.0
2019-02-26,花蓮縣,佳心,14.9,12.6,99,0.1,0.5
2019-02-27,花蓮縣,佳心,16.7,12.6,87,0.4,0.0
2019-02-28,花蓮縣,佳心,16.4,13.8,88,0.3,4.0
2019-03-1,花蓮縣,佳心,15.8,12.5,97,0.2,0.0
2019-03-2,花蓮縣,佳心,17.5,14.2,80,0.4,0.0
2019-03-3,花蓮縣,佳心,17.1,13.3,80,0.4,0.0
2019-03-4,花蓮縣,佳心,14.8,13.2,97,0.1,1.5
2019-03-5,花蓮縣,佳心,15.5,13.2,94,0.3,3.5
2019-03-6,花蓮縣,佳心,16.2,12.7,90,0.3,7.5
2019-03-7,花蓮縣,佳心,11.6,9.4,100,0.0,22.0
2019-03-8,花蓮縣,佳心,11.7,9.4,100,0.1,15.0
2019-03-9,花蓮縣,佳心,15.0,12.5,100,0.1,3.0
2019-03-10,花蓮縣,佳心,15.5,12.9,100,0.1,20.0
2019-03-11,花蓮縣,佳心,12.1,11.5,100,0.0,9.5
2019-03-12,花蓮縣,佳心,12.3,11.0,97,0.1,1.5
2019-03-13,花蓮縣,佳心,12.8,11.6,93,0.2,2.0
2019-03-14,花蓮縣,佳心,14.7,11.8,92,0.1,1.5
2019-03-15,花蓮縣,佳心,12.6,8.5,98,0.2,2.5
2019-03-16,花蓮縣,佳心,11.9,8.3,83,0.4,0.0
2019-03-17,花蓮縣,佳心,15.4,12.1,83,0.2,0.0
2019-03-18,花蓮縣,佳心,17.5,13.5,84,0.3,0.0
2019-03-19,花蓮縣,佳心,17.1,15.6,92,0.2,0.5
2019-03-20,花蓮縣,佳心,18.2,13.3,85,0.4,0.0
2019-03-21,花蓮縣,佳心,20.6,17.0,62,0.3,0.0
2019-03-22,花蓮縣,佳心,18.0,15.4,79,0.4,0.0
2019-03-23,花蓮縣,佳心,13.5,10.8,99,0.0,1.5
2019-03-24,花蓮縣,佳心,12.7,10.3,95,0.2,0.0
2019-03-25,花蓮縣,佳心,17.2,12.8,85,0.3,0.0
2019-03-26,花蓮縣,佳心,15.6,13.8,87,0.2,0.0
2019-03-27,花蓮縣,佳心,17.2,12.6,86,0.3,0.0
2019-03-28,花蓮縣,佳心,19.6,14.5,71,0.4,0.0
2019-03-29,花蓮縣,佳心,20.1,17.0,71,0.2,0.0
2019-03-30,花蓮縣,佳心,16.4,15.3,95,0.1,0.5
2019-03-31,花蓮縣,佳心,14.9,13.1,98,0.0,1.5
2019-04-1,花蓮縣,佳心,12.8,12.3,100,0.0,1.0
2019-04-2,花蓮縣,佳心,15.0,12.5,98,0.1,0.0
2019-04-3,花蓮縣,佳心,17.7,14.2,87,0.2,0.0
2019-04-4,花蓮縣,佳心,18.2,14.7,92,0.2,0.0
2019-04-5,花蓮縣,佳心,19.4,16.6,86,0.3,0.0
2019-04-6,花蓮縣,佳心,18.7,14.4,88,0.2,0.0
2019-04-7,花蓮縣,佳心,20.0,14.9,74,0.4,0.0
2019-04-8,花蓮縣,佳心,20.2,16.5,79,0.4,0.0
2019-04-9,花蓮縣,佳心,20.6,16.1,75,0.4,0.0
2019-04-10,花蓮縣,佳心,23.7,18.4,58,0.4,0.0
2019-04-11,花蓮縣,佳心,19.2,17.1,94,0.1,0.0
2019-04-12,花蓮縣,佳心,16.1,14.7,96,0.1,0.0
2019-04-13,花蓮縣,佳心,17.9,14.7,90,0.1,0.0
2019-04-14,花蓮縣,佳心,19.1,16.2,90,0.2,4.0
2019-04-15,花蓮縣,佳心,14.8,13.9,100,0.1,2.5
2019-04-16,花蓮縣,佳心,17.1,14.3,99,0.1,0.5
2019-04-17,花蓮縣,佳心,16.7,15.7,99,0.2,1.0
2019-04-18,花蓮縣,佳心,18.0,12.5,90,0.2,0.5
2019-04-19,花蓮縣,佳心,18.1,15.4,94,0.3,13.0
2019-04-20,花蓮縣,佳心,19.6,16.6,92,0.2,0.5
2019-04-21,花蓮縣,佳心,20.8,18.0,91,0.1,0.0
2019-04-22,花蓮縣,佳心,21.9,18.3,85,0.2,0.0
2019-04-23,花蓮縣,佳心,22.8,19.1,83,0.2,0.0
2019-04-24,花蓮縣,佳心,23.1,19.3,75,0.3,0.0
2019-04-25,花蓮縣,佳心,23.1,18.3,78,0.2,0.0
2019-04-26,花蓮縣,佳心,20.5,17.8,86,0.2,2.0
2019-04-27,花蓮縣,佳心,19.9,17.0,91,0.2,0.5
2019-04-28,花蓮縣,佳心,21.3,17.0,83,0.1,0.0
2019-04-29,花蓮縣,佳心,21.6,17.5,79,0.2,0.0
2019-04-30,花蓮縣,佳心,22.8,18.0,75,0.4,0.0
2019-05-1,花蓮縣,佳心,19.0,14.9,98,0.1,4.0
2019-05-2,花蓮縣,佳心,15.1,13.9,99,0.1,19.0
2019-05-3,花蓮縣,佳心,14.8,13.6,100,0.1,5.5
2019-05-4,花蓮縣,佳心,15.7,14.1,99,0.1,2.5
2019-05-5,花蓮縣,佳心,16.6,15.1,98,0.0,5.0
2019-05-6,花蓮縣,佳心,16.2,15.2,100,0.0,21.0
2019-05-7,花蓮縣,佳心,15.2,14.3,100,0.1,6.0
2019-05-8,花蓮縣,佳心,17.2,14.3,96,0.1,0.0
2019-05-9,花蓮縣,佳心,18.5,16.9,97,0.1,4.5
2019-05-10,花蓮縣,佳心,18.6,17.8,99,0.0,3.0
2019-05-11,花蓮縣,佳心,20.0,16.6,96,0.1,3.0
2019-05-12,花蓮縣,佳心,21.0,16.3,92,0.2,0.0
