時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,連江縣,東引,10.2,9.2,85,8.9,0.0
2019-01-2,連江縣,東引,9.3,8.4,87,8.9,0.0
2019-01-3,連江縣,東引,10.8,9.4,91,7.6,0.0
2019-01-4,連江縣,東引,13.0,11.1,94,6.2,0.0
2019-01-5,連江縣,東引,13.1,11.4,95,5.9,4.5
2019-01-6,連江縣,東引,12.2,11.4,81,7.9,0.5
2019-01-7,連江縣,東引,11.3,10.3,92,6.9,0.0
2019-01-8,連江縣,東引,11.5,10.3,91,9.1,1.0
2019-01-9,連江縣,東引,9.8,9.1,90,8.4,0.0
2019-01-10,連江縣,東引,11.7,10.3,96,6.9,0.0
2019-01-11,連江縣,東引,12.5,11.2,96,6.2,0.0
2019-01-12,連江縣,東引,13.5,12.5,87,5.3,0.0
2019-01-13,連江縣,東引,11.2,10.6,81,7.2,0.0
2019-01-14,連江縣,東引,11.1,10.3,83,7.2,0.0
2019-01-15,連江縣,東引,11.7,10.2,89,8.4,0.5
2019-01-16,連江縣,東引,9.0,7.9,81,8.9,2.5
2019-01-17,連江縣,東引,9.9,8.6,68,6.2,0.0
2019-01-18,連江縣,東引,10.9,9.5,73,6.6,0.0
2019-01-19,連江縣,東引,13.5,11.5,75,4.1,0.0
2019-01-20,連江縣,東引,12.6,10.7,76,6.8,0.0
2019-01-21,連江縣,東引,9.6,8.2,56,6.8,0.0
2019-01-22,連江縣,東引,10.9,9.3,56,4.4,0.0
2019-01-23,連江縣,東引,11.2,9.6,69,4.9,0.0
2019-01-24,連江縣,東引,11.4,9.8,70,5.3,0.0
2019-01-25,連江縣,東引,11.9,10.5,72,5.8,0.0
2019-01-26,連江縣,東引,10.1,8.7,65,7.0,0.0
2019-01-27,連江縣,東引,9.1,6.8,76,6.5,0.0
2019-01-28,連江縣,東引,11.4,9.4,81,4.9,0.0
2019-01-29,連江縣,東引,11.5,10.4,85,6.8,0.0
2019-01-30,連江縣,東引,14.2,11.6,85,3.8,0.0
2019-01-31,連江縣,東引,13.9,10.5,83,4.8,0.0
2019-02-1,連江縣,東引,9.8,9.3,69,6.5,0.0
2019-02-2,連江縣,東引,11.8,9.5,82,3.5,0.0
2019-02-3,連江縣,東引,13.7,12.3,95,2.4,1.0
2019-02-4,連江縣,東引,11.2,...,86,8.6,0.0
2019-02-5,連江縣,東引,13.3,11.0,83,2.0,0.5
2019-02-6,連江縣,東引,13.4,11.7,92,1.8,0.5
2019-02-7,連江縣,東引,12.6,10.7,92,5.0,0.0
2019-02-8,連江縣,東引,8.9,8.0,88,8.1,1.0
2019-02-9,連江縣,東引,8.6,7.8,91,8.8,4.0
2019-02-10,連江縣,東引,7.9,7.3,92,8.0,0.0
2019-02-11,連江縣,東引,8.2,7.5,88,8.2,0.0
2019-02-12,連江縣,東引,9.7,7.3,95,5.7,0.0
2019-02-13,連江縣,東引,11.2,10.0,94,6.5,0.0
2019-02-14,連江縣,東引,10.2,9.8,95,7.9,0.0
2019-02-15,連江縣,東引,12.7,10.7,95,3.2,0.0
2019-02-16,連江縣,東引,8.8,7.2,95,8.9,1.5
2019-02-17,連江縣,東引,7.6,7.0,89,8.1,0.0
2019-02-18,連江縣,東引,9.8,7.6,95,5.5,3.0
2019-02-19,連江縣,東引,12.8,10.8,96,3.4,8.0
2019-02-20,連江縣,東引,10.4,9.8,98,8.4,1.0
2019-02-21,連江縣,東引,10.1,9.1,96,8.6,10.5
2019-02-22,連江縣,東引,10.8,8.5,86,6.1,17.5
2019-02-23,連江縣,東引,9.3,7.6,78,6.6,5.0
