時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,金門縣,烏坵,11.1,10.2,86,22.2,0.0
2019-01-2,金門縣,烏坵,10.6,9.8,90,20.8,0.0
2019-01-3,金門縣,烏坵,11.8,10.6,93,18.3,0.0
2019-01-4,金門縣,烏坵,14.0,12.3,92,10.5,0.0
2019-01-5,金門縣,烏坵,13.8,12.7,97,9.3,0.0
2019-01-6,金門縣,烏坵,12.8,12.2,91,15.8,0.0
2019-01-7,金門縣,烏坵,12.5,11.6,91,14.1,0.0
2019-01-8,金門縣,烏坵,12.9,11.5,92,16.4,0.0
2019-01-9,金門縣,烏坵,11.2,10.8,91,18.7,0.0
2019-01-10,金門縣,烏坵,13.3,11.5,94,9.9,0.0
2019-01-11,金門縣,烏坵,13.6,13.0,97,6.2,0.0
2019-01-12,金門縣,烏坵,13.7,12.6,96,10.1,0.5
2019-01-13,金門縣,烏坵,12.4,11.5,88,15.3,0.0
2019-01-14,金門縣,烏坵,12.6,11.3,86,15.2,0.0
2019-01-15,金門縣,烏坵,13.5,11.8,89,13.3,0.0
2019-01-16,金門縣,烏坵,10.7,...,87,20.5,0.0
2019-01-17,金門縣,烏坵,10.9,9.8,77,17.7,0.0
2019-01-18,金門縣,烏坵,11.9,10.5,75,16.2,0.0
2019-01-19,金門縣,烏坵,13.5,12.3,83,5.5,0.0
2019-01-20,金門縣,烏坵,13.6,12.3,85,13.2,0.0
2019-01-21,金門縣,烏坵,10.8,10.1,70,18.2,0.0
2019-01-22,金門縣,烏坵,11.3,10.2,66,13.0,0.0
2019-01-23,金門縣,烏坵,11.6,9.9,71,12.9,0.0
2019-01-24,金門縣,烏坵,12.1,10.8,76,13.5,0.0
2019-01-25,金門縣,烏坵,12.8,11.5,77,10.8,0.0
2019-01-26,金門縣,烏坵,11.5,10.3,71,19.7,0.0
2019-01-27,金門縣,烏坵,10.1,8.5,80,16.5,0.0
2019-01-28,金門縣,烏坵,12.2,10.2,80,8.6,0.0
2019-01-29,金門縣,烏坵,12.9,11.4,86,10.8,0.0
2019-01-30,金門縣,烏坵,14.9,12.8,85,5.4,0.0
2019-01-31,金門縣,烏坵,15.9,12.5,85,8.2,0.0
2019-02-1,金門縣,烏坵,11.5,10.6,79,17.3,0.0
2019-02-2,金門縣,烏坵,12.9,10.4,80,6.2,0.0
2019-02-3,金門縣,烏坵,17.4,14.7,92,2.7,5.0
2019-02-4,金門縣,烏坵,13.3,...,90,15.1,0.0
2019-02-5,金門縣,烏坵,13.6,12.0,83,5.7,0.0
2019-02-6,金門縣,烏坵,14.6,13.2,92,3.3,0.0
2019-02-7,金門縣,烏坵,16.1,12.7,93,6.9,0.0
2019-02-8,金門縣,烏坵,11.1,9.9,92,17.6,0.0
2019-02-9,金門縣,烏坵,10.7,9.8,92,16.5,0.0
2019-02-10,金門縣,烏坵,10.2,9.5,91,16.6,0.0
2019-02-11,金門縣,烏坵,10.0,9.3,92,18.4,0.0
2019-02-12,金門縣,烏坵,11.5,9.1,93,11.8,0.0
2019-02-13,金門縣,烏坵,12.8,11.6,95,11.9,0.0
2019-02-14,金門縣,烏坵,11.9,11.4,94,12.9,0.0
2019-02-15,金門縣,烏坵,14.5,11.9,91,5.1,0.0
2019-02-16,金門縣,烏坵,11.2,9.7,95,16.7,0.0
2019-02-17,金門縣,烏坵,9.5,8.8,90,18.6,0.0
2019-02-18,金門縣,烏坵,11.5,9.7,93,10.7,11.5
2019-02-19,金門縣,烏坵,14.8,12.6,94,4.2,1.5
2019-02-20,金門縣,烏坵,12.7,11.4,97,9.6,0.0
2019-02-21,金門縣,烏坵,12.1,...,96,12.0,0.0
2019-02-22,金門縣,烏坵,11.8,10.8,91,12.5,0.0
2019-02-23,金門縣,烏坵,10.7,8.7,84,17.7,3.5
2019-02-24,金門縣,烏坵,9.6,8.3,90,16.4,8.5
2019-02-25,金門縣,烏坵,11.9,10.8,89,12.6,0.0
2019-02-26,金門縣,烏坵,12.3,11.7,85,12.4,0.0
2019-02-27,金門縣,烏坵,13.0,12.3,89,5.3,0.5
2019-02-28,金門縣,烏坵,11.8,10.9,93,13.0,0.0
2019-03-1,金門縣,烏坵,11.6,10.9,93,11.7,0.0
2019-03-2,金門縣,烏坵,13.0,11.4,93,5.9,0.0
2019-03-3,金門縣,烏坵,12.5,11.7,99,7.1,11.5
2019-03-4,金門縣,烏坵,12.8,11.0,88,12.7,0.0
2019-03-5,金門縣,烏坵,12.6,12.2,90,10.5,15.0
2019-03-6,金門縣,烏坵,13.3,12.4,95,7.4,2.5
2019-03-7,金門縣,烏坵,11.7,8.7,79,19.4,1.5
2019-03-8,金門縣,烏坵,10.0,8.4,84,17.9,3.0
2019-03-9,金門縣,烏坵,11.8,10.0,97,8.8,30.5
2019-03-10,金門縣,烏坵,13.1,12.3,97,6.5,3.0
