時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2019-01-1,雲林縣,二崙,17.4,15.0,81,4.3,0.0
2019-01-2,雲林縣,二崙,18.0,16.1,82,3.5,0.0
2019-01-3,雲林縣,二崙,18.9,16.9,88,3.7,0.0
2019-01-4,雲林縣,二崙,19.4,16.8,88,1.3,0.0
2019-01-5,雲林縣,二崙,20.5,17.5,87,2.5,1.0
2019-01-6,雲林縣,二崙,19.0,16.9,84,5.1,0.0
2019-01-7,雲林縣,二崙,19.6,16.6,85,3.3,0.0
2019-01-8,雲林縣,二崙,19.8,18.6,87,4.9,0.0
2019-01-9,雲林縣,二崙,19.3,16.9,83,4.1,0.0
2019-01-10,雲林縣,二崙,19.4,18.2,91,3.0,0.0
2019-01-11,雲林縣,二崙,20.1,17.9,89,1.7,0.0
2019-01-12,雲林縣,二崙,19.7,17.1,87,3.0,0.0
2019-01-13,雲林縣,二崙,18.9,17.2,82,5.1,0.0
2019-01-14,雲林縣,二崙,18.9,16.9,79,4.0,0.0
2019-01-15,雲林縣,二崙,18.6,17.0,87,4.7,0.0
2019-01-16,雲林縣,二崙,16.4,15.4,91,5.3,2.5
2019-01-17,雲林縣,二崙,15.3,13.9,85,6.4,1.0
2019-01-18,雲林縣,二崙,16.7,13.6,79,2.1,0.0
2019-01-19,雲林縣,二崙,17.5,14.3,83,2.2,0.0
2019-01-20,雲林縣,二崙,18.2,16.5,84,3.8,0.0
2019-01-21,雲林縣,二崙,15.3,13.7,82,6.6,0.0
2019-01-22,雲林縣,二崙,14.3,11.5,73,5.9,0.0
2019-01-23,雲林縣,二崙,14.8,10.7,71,3.4,0.0
2019-01-24,雲林縣,二崙,16.0,12.0,77,2.8,0.0
2019-01-25,雲林縣,二崙,16.2,12.1,83,2.9,0.0
2019-01-26,雲林縣,二崙,15.3,13.4,68,6.9,0.0
2019-01-27,雲林縣,二崙,15.2,13.0,69,4.2,0.0
2019-01-28,雲林縣,二崙,15.7,10.9,78,1.9,0.0
2019-01-29,雲林縣,二崙,16.3,12.5,85,2.3,0.0
2019-01-30,雲林縣,二崙,18.4,14.3,81,1.7,0.0
2019-01-31,雲林縣,二崙,21.3,16.6,66,2.3,0.0
2019-02-1,雲林縣,二崙,15.6,14.0,74,5.2,0.0
2019-02-2,雲林縣,二崙,17.5,13.5,80,2.0,0.0
2019-02-3,雲林縣,二崙,21.4,15.9,81,1.5,1.0
2019-02-4,雲林縣,二崙,20.1,17.4,85,3.4,1.0
2019-02-5,雲林縣,二崙,19.2,16.6,82,2.5,0.0
2019-02-6,雲林縣,二崙,20.9,16.9,81,1.8,0.0
2019-02-7,雲林縣,二崙,22.8,17.7,73,1.3,0.0
2019-02-8,雲林縣,二崙,18.8,16.2,78,4.7,0.0
2019-02-9,雲林縣,二崙,18.7,16.3,79,4.1,0.0
2019-02-10,雲林縣,二崙,18.3,15.1,79,4.2,0.0
2019-02-11,雲林縣,二崙,18.0,16.1,79,5.8,0.0
2019-02-12,雲林縣,二崙,19.5,15.0,82,3.9,0.0
2019-02-13,雲林縣,二崙,20.6,18.1,82,4.2,0.0
2019-02-14,雲林縣,二崙,20.6,18.0,80,4.4,0.0
2019-02-15,雲林縣,二崙,21.0,17.4,82,2.0,0.0
2019-02-16,雲林縣,二崙,20.3,16.8,83,3.3,0.0
2019-02-17,雲林縣,二崙,18.3,15.6,80,4.4,0.0
2019-02-18,雲林縣,二崙,19.5,16.8,84,2.1,0.0
2019-02-19,雲林縣,二崙,21.7,16.4,86,1.1,4.5
2019-02-20,雲林縣,二崙,21.9,19.5,89,1.9,0.0
2019-02-21,雲林縣,二崙,20.5,17.2,90,2.6,0.0
2019-02-22,雲林縣,二崙,18.7,16.0,87,4.3,0.0
2019-02-23,雲林縣,二崙,16.7,15.0,76,4.8,0.0
2019-02-24,雲林縣,二崙,15.9,14.8,90,3.7,8.0
2019-02-25,雲林縣,二崙,18.6,15.9,81,4.7,0.0
2019-02-26,雲林縣,二崙,19.3,16.0,81,2.7,0.0
2019-02-27,雲林縣,二崙,20.7,17.3,80,2.6,0.0
2019-02-28,雲林縣,二崙,20.6,18.1,84,3.6,0.0
2019-03-1,雲林縣,二崙,19.8,17.5,84,3.5,0.0
2019-03-2,雲林縣,二崙,21.3,18.9,84,1.4,0.0
2019-03-3,雲林縣,二崙,20.4,17.6,85,2.3,5.5
2019-03-4,雲林縣,二崙,19.5,16.2,79,3.3,0.0
2019-03-5,雲林縣,二崙,19.9,15.7,82,2.6,8.0
2019-03-6,雲林縣,二崙,19.9,16.8,85,3.3,13.0
2019-03-7,雲林縣,二崙,14.0,11.9,94,4.6,23.0
2019-03-8,雲林縣,二崙,14.9,11.7,92,3.2,19.5
2019-03-9,雲林縣,二崙,18.1,15.9,96,1.7,8.5
2019-03-10,雲林縣,二崙,18.9,16.8,88,2.6,20.5
2019-03-11,雲林縣,二崙,17.5,16.6,81,1.8,0.5
2019-03-12,雲林縣,二崙,20.0,15.1,71,1.9,0.0
2019-03-13,雲林縣,二崙,21.6,18.3,73,1.2,0.0
2019-03-14,雲林縣,二崙,20.6,18.4,81,2.8,0.0
2019-03-15,雲林縣,二崙,17.8,16.0,68,5.0,0.0
2019-03-16,雲林縣,二崙,20.1,16.0,70,1.0,0.0
2019-03-17,雲林縣,二崙,20.7,18.8,81,2.5,0.0
2019-03-18,雲林縣,二崙,20.9,18.4,87,1.4,0.0
2019-03-19,雲林縣,二崙,22.3,18.5,82,2.3,0.0
2019-03-20,雲林縣,二崙,23.9,20.1,84,1.4,0.0
2019-03-21,雲林縣,二崙,25.0,21.5,81,2.1,0.0
2019-03-22,雲林縣,二崙,22.3,18.4,86,3.2,0.0
2019-03-23,雲林縣,二崙,17.2,15.7,81,4.7,0.0
2019-03-24,雲林縣,二崙,16.5,14.8,90,1.1,8.5
2019-03-25,雲林縣,二崙,19.0,16.6,93,1.9,0.5
2019-03-26,雲林縣,二崙,20.7,16.8,83,2.8,0.0
2019-03-27,雲林縣,二崙,23.0,21.9,79,1.2,0.0
2019-03-28,雲林縣,二崙,24.8,20.4,81,1.8,0.0
2019-03-29,雲林縣,二崙,24.4,18.1,82,2.0,3.5
2019-03-30,雲林縣,二崙,22.2,18.8,82,2.4,1.0
2019-03-31,雲林縣,二崙,21.8,18.3,77,3.2,0.0
2019-04-1,雲林縣,二崙,17.2,15.8,85,3.6,0.0
2019-04-2,雲林縣,二崙,20.0,16.2,85,1.8,0.0
2019-04-3,雲林縣,二崙,20.7,19.0,88,4.4,0.0
2019-04-4,雲林縣,二崙,20.7,18.8,89,2.5,0.0
2019-04-5,雲林縣,二崙,21.6,19.5,87,2.2,0.0
2019-04-6,雲林縣,二崙,23.3,19.6,82,1.4,0.0
2019-04-7,雲林縣,二崙,24.7,20.9,79,1.3,0.0
2019-04-8,雲林縣,二崙,25.6,21.5,77,1.1,0.0
2019-04-9,雲林縣,二崙,26.2,22.5,80,2.3,0.0
2019-04-10,雲林縣,二崙,25.9,23.5,82,2.0,0.0
2019-04-11,雲林縣,二崙,23.8,20.0,82,2.8,0.0
2019-04-12,雲林縣,二崙,21.0,18.3,79,4.1,3.0
2019-04-13,雲林縣,二崙,22.1,19.0,86,2.6,0.0
2019-04-14,雲林縣,二崙,23.5,20.8,83,3.9,0.0
2019-04-15,雲林縣,二崙,21.1,19.3,78,3.3,2.0
2019-04-16,雲林縣,二崙,20.2,19.0,93,1.9,2.5
2019-04-17,雲林縣,二崙,22.8,19.4,80,2.8,0.0
2019-04-18,雲林縣,二崙,24.7,21.0,76,1.1,0.0
2019-04-19,雲林縣,二崙,23.3,20.9,88,1.6,45.5
2019-04-20,雲林縣,二崙,25.0,21.7,83,0.7,1.5
2019-04-21,雲林縣,二崙,25.3,22.1,88,1.8,17.5
2019-04-22,雲林縣,二崙,26.9,23.4,83,1.6,0.0
2019-04-23,雲林縣,二崙,27.3,24.6,78,1.9,0.0
2019-04-24,雲林縣,二崙,26.8,23.9,80,1.8,0.0
2019-04-25,雲林縣,二崙,27.0,23.9,76,2.8,0.0
2019-04-26,雲林縣,二崙,26.6,23.3,76,1.9,1.5
2019-04-27,雲林縣,二崙,25.3,23.1,85,2.5,0.0
2019-04-28,雲林縣,二崙,25.2,22.2,86,1.7,0.0
2019-04-29,雲林縣,二崙,27.3,24.0,78,0.8,0.0
2019-04-30,雲林縣,二崙,27.4,24.9,78,2.7,0.0
2019-05-1,雲林縣,二崙,22.8,20.0,85,3.8,26.0
