station_id,station_name
467550,玉山 (YUSHAN)
467650,日月潭 (SUN MOON LAKE)
C0H890,埔里 (Puli)
C0H950,中寮 (Zhongliao)
C0H960,草屯 (Caotun)
C0H990,昆陽 (Kunyang)
C0H9A0,神木村 (Shenmu Village)
C0H9C0,合歡山 (Hehuan Mountain)
C0I010,廬山 (Lushan)
C0I080,信義 (Xinyi)
C0I090,鳳凰 (Fonghuang)
C0I110,竹山 (Zhushan)
C0I360,水里 (Shuili)
C0I370,魚池 (Yuchi)
C0I380,集集 (Jiji)
C0I390,仁愛 (Ren'ai)
C0I410,名間 (Mingjian)
C0I420,國姓 (Guoxing)
C0I460,南投 (Nantou)
C0I480,梅峰 (Meifeng)
C0I490,萬大林道 (Wandalindao)
C0I520,玉山風口 (Yushanfengkou)
C0I530,小奇萊 (Xiaoqilai)
C0I540,奇萊稜線 (Qilailengxian)
