station_id,station_name
467530,阿里山 (ALISHAN)
C0M410,馬頭山 (Matoushan)
C0M520,東後寮 (Donghouliao)
C0M530,奮起湖 (Fenqihu)
C0M640,中埔 (Zhongpu)
C0M650,朴子 (Puzi)
C0M660,溪口 (Xikou)
C0M670,大林 (Dalin)
C0M680,太保 (Taibao)
C0M690,水上 (Shuishang)
C0M700,竹崎 (Zhuqi)
C0M710,東石 (Dongshi)
C0M720,番路 (Fanlu)
C0M740,六腳 (Liujiao)
C0M750,布袋 (Budai)
C0M760,民雄 (Minxiong)
C0M770,嘉義梅山 (Meishan Chiayi County)
C0M780,鹿草 (Lucao)
C0M790,新港 (Xingang)
C0M800,茶山 (Chashan)
C0M810,里佳 (Lijia)
C0M820,達邦 (Dabang)
C0M850,表湖 (Biaohu)
C0M860,新美 (Shinmei)
