station_id,station_name
467590,恆春 (HENGCHUN)
C0R100,尾寮山 (Weiliaoshan)
C0R130,阿禮 (Ali)
C0R140,瑪家 (Majia)
C0R150,三地門 (Sandimen)
C0R160,鹽埔新圍 (yanpuxinwei)
C0R170,屏東 (Pingdong)
C0R190,赤山 (Chishan)
C0R220,潮州 (Chaojhou)
C0R240,來義 (Laiyi)
C0R260,春日 (Chunri)
C0R270,琉球嶼 (Liouciouyu)
C0R280,檳榔 (Binlang)
C0R320,車城 (Checheng)
C0R341,牡丹 (Mudan)
C0R350,貓鼻頭 (Maobitou)
C0R510,萬丹 (WanDan)
C0R520,崁頂 (Kanding)
C0R530,林邊 (Linbian)
C0R540,佳冬 (Jiadong)
C0R550,新埤 (Xinpi)
C0R560,新園 (Xinyuan)
C0R570,麟洛 (Linluo)
C0R580,南州 (Nanzhou)
C0R590,里港 (Ligang)
C0R600,舊泰武 (Jiutaiwu)
C0R620,墾雷 (Kenlei)
C0R640,東港 (Donggang)
C0R650,竹田 (Zhutian)
C0R660,枋寮 (Fangliao)
C0R670,楓港 (Fenggang)
C0R680,佳樂水 (Jialeshui)
C0R690,墾丁 (Kenting)
C0R700,枋山 (Fangshan)
C0R710,龍磐 (Longpan)
C0R720,旭海 (Xuhai)
C0R730,大坪頂 (Dapingding)
C0R740,獅子 (Shizi)
C0R750,四林格山 (Silingeshan)
C0R760,南仁湖 (Nanrenhu)
C0R770,保力 (Baoli)
C0R780,滿州 (Manzhou)
C0R790,九棚 (Jiupeng)
C0R800,丹路 (Danlu)
C0R810,內獅 (Neishi)
C0R820,白鷺 (Bailu)
C0R830,高士 (Gaoshi)
C0R840,牡丹池山 (Mudanchisahn)
C0R440,大漢山 (Dahanshan)
C0R470,高樹 (Gaoshu)
C0R480,長治 (Changzhi)
C0R490,九如 (Jiuru)
