station_id,station_name
466880,板橋 (BANQIAO)
466900,淡水 (TAMSUI)
C0A520,山佳 (Shanjia)
C0A530,坪林 (Pinglin)
C0A540,四堵 (Sihdu)
C0A550,泰平 (Taiping)
C0A560,福山 (Fushan)
C0A570,桶後 (Tonghou)
C0A640,石碇 (Shihding)
C0A650,火燒寮 (Huoshaoliao)
C0A660,瑞芳 (Rueifang)
C0A860,大坪 (Daping)
C0A870,五指山 (Wujhihshan)
C0A880,福隆 (Fulong)
C0A890,雙溪 (Shuangsi)
C0A920,富貴角 (Fugueijiao)
C0A931,三和 (Sanhe)
C0A940,金山 (Jinshan)
C0A950,鼻頭角 (Bitoujiao)
C0A970,三貂角 (Sandiaojiao)
C0AC60,三峽 (Sanshia)
C0AD30,蘆洲 (Lujhou)
C0AD40,土城 (Tucheng)
C0AD50,鶯歌 (Yingge)
C0AG90,中和 (Zhonghe)
C0AH00,汐止 (Xizhi)
C0AH10,永和 (Yonghe)
C0AH30,五分山 (Wufengshan)
C0AH50,林口 (Linkou)
C0AH80,深坑 (Shenkeng)
C0AH90,福山植物園 (Fushan Botanical Garden)
C0AI00,五股 (Wugu)
C0AI10,屈尺 (Quchi)
C0AI20,白沙灣 (Baishawan)
C0AI30,三重 (Sanchong)
C0ACA0,新莊 (Xinzhuang)
C0AD00,三芝 (Sanzhi)
C0AD10,八里 (Bali)
