station_id,station_name
467490,臺中 (TAICHUNG)
467770,梧棲 (WUQI)
C0F000,大肚 (Dadu)
C0F0A0,雪山圈谷 (Xueshanjuangu)
C0F0B0,石岡 (Shigang)
C0F0C0,中坑 (Zhongkeng)
C0F0D0,審馬陣 (Shenmazhen)
C0F0E0,南湖圈谷 (Nanhuquangu)
C0F850,東勢 (Dongshi)
C0F861,梨山 (Lishan)
C0F9A0,中竹林 (Zhongzhulin)
C0F9I0,神岡 (Shengang)
C0F9K0,大安 (Da-an)
C0F9L0,后里 (Houli)
C0F9M0,豐原 (Fengyuan)
C0F9N0,大里 (Dali)
C0F9O0,潭子 (Tanzi)
C0F9P0,清水 (Qingshui)
C0F9Q0,外埔 (Waipu)
C0F9R0,龍井 (Longjing)
C0F9S0,烏日 (Wuri)
C0F9T0,西屯 (Xitun)
C0F9U0,南屯 (Nantun)
C0F9V0,新社 (Xinshe)
C0F9X0,大雅(中科園區) (Daya)
C0F9Y0,桃山 (Taoshan)
C0F9Z0,雪山東峰 (Xueshandongfeng)
C0F930,大甲 (Dajia)
C0F970,大坑 (Dakeng)
