station_id,station_name
467410,臺南 (TAINAN)
467420,永康 (YONGKANG)
467780,七股 (QIGU) (撤銷站)
C0O930,玉井 (Yujing)
C0O950,安南 (Annan)
C0O960,崎頂 (Qiding)
C0O970,虎頭埤 (Hutoupi)
C0O980,新市 (Xinshi)
C0O990,媽廟 (Mamiao)
C0O810,曾文 (Cengwen)
C0O830,北寮 (Beiliao)
C0O840,王爺宮 (Wangyegong)
C0O860,大內 (Danei)
C0O900,善化 (Shanhua)
C0X050,東河 (Donghe)
C0X060,下營 (Xiaying)
C0X080,佳里 (Jiali)
C0X100,臺南市北區 (Beiqu Tainan City)
C0X110,臺南市南區 (Nanqu Tainan City)
C0X120,麻豆 (Madou)
C0X130,官田 (Guantian)
C0X140,西港 (Xigang)
C0X150,安定 (Anding)
C0X160,仁德 (Rende)
C0X170,關廟 (Guanmiao)
C0X180,山上 (Shanshang)
C0X190,安平 (Anping)
C0X200,左鎮 (Zuozhen)
C0X210,白河 (Baihe)
C0X220,學甲 (Xuejia)
C0X230,鹽水 (Yanshui)
C0X240,關子嶺 (Guanziling)
C0X250,新營 (Xinying)
C0X260,後壁 (Houbi)
C0X280,將軍 (Jiangjun)
C0X290,北門 (Beimen)
C0X300,鹿寮 (Luliao)
C0X310,七股 (Qigu)
C0X320,柳營 (Liuying)
