station_id,station_name
467540,大武 (DAWU)
467610,成功 (CHENGGONG)
467620,蘭嶼 (LANYU)
467660,臺東 (TAITUNG)
C0S660,下馬 (Xiama)
C0S690,太麻里 (Taimali)
C0S700,知本 (Jhihben)
C0S710,鹿野 (Luye)
C0S730,綠島 (Ludao)
C0S740,池上 (Chihshang)
C0S750,向陽 (Siangyang)
C0S760,紅石 (Hongshih)
C0S770,大溪山 (Dasishan)
C0S790,金崙 (Jinlun)
C0S810,東河 (Donghe)
C0S830,長濱 (Changbin)
C0S840,南田 (Nantian)
C0S890,關山 (Guanshan)
C0S900,蘭嶼高中 (Lanyu High School)
C0S910,蘭嶼燈塔 (Lanyu Lighthouse)
C0S920,金峰嘉蘭 (Jialan Jinfeng)
C0S930,延平 (Yanping)
C0S940,石寧山 (Shiningshan)
C0S950,七塊厝 (Qikuaicuo)
C0S960,香蘭 (Xianglan)
C0S970,加津林 (Jiajinlin)
C0S980,勝林山 (Shenglinshan)
C0S990,山豬窟 (Shanzhuku)
C0SA00,歷坵 (Liqiu)
C0SA10,檳榔四格山 (Binlangsigeshan)
C0SA20,金崙山 (Jinlunshan)
C0SA30,都歷 (Duli)
C0SA40,瑞和 (Ruihe)
