station_id,station_name
466990,花蓮 (HUALIEN)
C0T790,大禹嶺 (Dayuling)
C0T820,天祥 (Tianxiang)
C0T9D0,和中 (Hezhong)
C0T9E0,大坑 (Dakeng)
C0T9F0,水璉 (Shuilian)
C0T9G0,鳳林山 (Fenglinshan)
C0T9H0,加路蘭山 (Jialulanshan)
C0T9I0,豐濱 (Fengbin)
C0T9M0,靜浦 (Jingpu)
C0T9N0,富里 (Fuli)
C0T870,鯉魚潭 (Liyutan)
C0T900,西林 (Xilin)
C0T960,光復 (Guangfu)
C0T9A0,月眉山 (Yuemeishan)
C0T9B0,水源 (Shuiyuan)
C0Z020,明里 (Mingli)
C0Z050,佳心 (Jiaxin)
C0Z061,玉里 (Yuli)
C0Z070,舞鶴 (Wuhe)
C0Z080,富源 (Fuyuan)
C0Z100,東華 (Donghwa)
C0Z150,吉安光華 (Guanghua Ji-an)
C0Z160,鳳林 (Fenglin)
C0Z170,卓溪 (Zhuoxi)
C0Z180,新城 (Xincheng)
C0Z190,富世 (Fushi)
C0Z200,萬榮 (Wanrong)
C0Z210,瑞穗 (Ruisui)
C0Z220,和平林道 (Hepinglindao)
C0Z230,和平 (Heping)
C0Z250,瑞穗林道 (Ruisuilindao)
C0Z270,蕃薯寮 (Fanshuliao)
C0Z280,德武 (Dewu)
C0Z290,赤柯山 (Chikeshan)
C0Z300,東里 (Dongli)
C0Z310,清水斷崖 (Qingshui Cliff)
C0Z320,清水林道 (Qingshuilindao)
C0Z330,安通山 (Antongshan)
