station_id,station_name
467440,高雄 (KAOHSIUNG)
C0V210,復興 (Fuxing)
C0V250,甲仙 (Jiasian)
C0V260,月眉 (Yuemei)
C0V310,美濃 (Meinong)
C0V350,溪埔 (XIPU)
C0V360,內門 (Neimen)
C0V370,古亭坑 (Gutingkeng)
C0V400,阿公店 (Agongdian)
C0V440,鳳山 (Fengshan)
C0V450,鳳森 (Fengsen)
C0V490,新興 (Sinsing)
C0V500,旗津 (Cijin)
C0V530,阿蓮 (Alian)
C0V610,梓官 (Ziguan)
C0V620,永安 (Yong'an)
C0V630,茄萣 (Qieding)
C0V640,湖內 (Hunei)
C0V650,彌陀 (Mituo)
C0V660,岡山 (Gangshan)
C0V670,楠梓 (Nanzi)
C0V680,仁武 (Renwu)
C0V690,鼓山 (Gushan)
C0V700,三民 (Sanmin)
C0V710,苓雅 (LingYa)
C0V720,林園 (Linyuan)
C0V730,大寮 (Daliao)
C0V740,旗山 (Qishan)
C0V750,路竹 (Luzhu)
C0V760,橋頭 (Qiaotou)
C0V770,大社 (Dashe)
C0V790,萬山 (Wanshan)
C0V800,六龜 (Liugui)
C0V810,左營 (Zuoying)
C0V820,小林 (Xiaolin)
