時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2005-01-01,宜蘭縣,礁溪,7.8,7.0,nan,0.7,0.0
2005-01-02,宜蘭縣,礁溪,11.1,7.2,nan,0.7,0.0
2005-01-03,宜蘭縣,礁溪,15.3,8.8,nan,0.2,0.0
2005-01-04,宜蘭縣,礁溪,15.6,13.6,nan,0.4,0.0
2005-01-05,宜蘭縣,礁溪,14.9,13.4,nan,0.3,2.5
2005-01-06,宜蘭縣,礁溪,17.9,14.8,nan,1.2,6.0
2005-01-07,宜蘭縣,礁溪,16.3,15.5,nan,0.3,4.5
2005-01-08,宜蘭縣,礁溪,14.9,13.8,nan,0.4,1.0
2005-01-09,宜蘭縣,礁溪,13.5,12.8,nan,0.5,7.5
2005-01-10,宜蘭縣,礁溪,14.5,12.8,nan,0.3,7.0
2005-01-11,宜蘭縣,礁溪,16.0,14.4,nan,0.2,18.0
2005-01-12,宜蘭縣,礁溪,15.7,14.3,nan,0.8,4.5
2005-01-13,宜蘭縣,礁溪,14.9,14.1,nan,0.3,13.0
2005-01-14,宜蘭縣,礁溪,14.5,13.2,nan,0.8,1.0
2005-01-15,宜蘭縣,礁溪,11.2,8.0,nan,2.0,0.0
2005-01-16,宜蘭縣,礁溪,9.9,7.3,nan,0.9,0.0
2005-01-17,宜蘭縣,礁溪,12.2,7.7,nan,0.7,0.0
2005-01-18,宜蘭縣,礁溪,14.6,9.8,nan,0.6,0.0
2005-01-19,宜蘭縣,礁溪,16.0,12.8,nan,0.5,0.0
2005-01-20,宜蘭縣,礁溪,15.1,13.8,nan,0.4,0.5
2005-01-21,宜蘭縣,礁溪,14.6,13.4,nan,0.3,3.5
2005-01-22,宜蘭縣,礁溪,19.4,14.4,nan,0.7,0.0
2005-01-23,宜蘭縣,礁溪,17.0,13.9,nan,1.6,0.0
2005-01-24,宜蘭縣,礁溪,17.5,12.1,nan,0.7,0.0
2005-01-25,宜蘭縣,礁溪,19.3,14.6,nan,0.5,0.0
2005-01-26,宜蘭縣,礁溪,16.5,15.8,nan,0.6,5.0
2005-01-27,宜蘭縣,礁溪,18.9,14.7,nan,0.5,0.0
2005-01-28,宜蘭縣,礁溪,20.0,17.0,nan,0.5,0.0
2005-01-29,宜蘭縣,礁溪,18.8,16.3,nan,0.3,0.5
2005-01-30,宜蘭縣,礁溪,16.4,13.9,nan,0.7,0.5
2005-01-31,宜蘭縣,礁溪,13.2,11.7,nan,0.6,1.0
2005-02-01,宜蘭縣,礁溪,11.1,9.9,nan,0.7,0.5
