時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2005-01-01,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-02,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-03,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-04,新北市,石碇,nan,nan,nan,nan,3.0
2005-01-05,新北市,石碇,nan,nan,nan,nan,1.5
2005-01-06,新北市,石碇,nan,nan,nan,nan,0.5
2005-01-07,新北市,石碇,nan,nan,nan,nan,2.0
2005-01-08,新北市,石碇,nan,nan,nan,nan,2.0
2005-01-09,新北市,石碇,nan,nan,nan,nan,1.0
2005-01-10,新北市,石碇,nan,nan,nan,nan,2.0
2005-01-11,新北市,石碇,nan,nan,nan,nan,2.0
2005-01-12,新北市,石碇,nan,nan,nan,nan,1.0
2005-01-13,新北市,石碇,nan,nan,nan,nan,1.8
2005-01-14,新北市,石碇,nan,nan,nan,nan,5.5
2005-01-15,新北市,石碇,nan,nan,nan,nan,0.5
2005-01-16,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-17,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-18,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-19,新北市,石碇,nan,nan,nan,nan,0.5
2005-01-20,新北市,石碇,nan,nan,nan,nan,3.0
2005-01-21,新北市,石碇,nan,nan,nan,nan,0.5
2005-01-22,新北市,石碇,nan,nan,nan,nan,3.0
2005-01-23,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-24,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-25,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-26,新北市,石碇,nan,nan,nan,nan,2.5
2005-01-27,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-28,新北市,石碇,nan,nan,nan,nan,0.5
2005-01-29,新北市,石碇,nan,nan,nan,nan,0.0
2005-01-30,新北市,石碇,nan,nan,nan,nan,8.0
2005-01-31,新北市,石碇,nan,nan,nan,nan,9.5
2005-02-01,新北市,石碇,nan,nan,nan,nan,1.0
2005-02-02,新北市,石碇,nan,nan,nan,nan,7.0
2005-02-03,新北市,石碇,nan,nan,nan,nan,6.0
2005-02-04,新北市,石碇,nan,nan,nan,nan,10.0
2005-02-05,新北市,石碇,nan,nan,nan,nan,0.0
2005-02-06,新北市,石碇,nan,nan,nan,nan,1.0
2005-02-07,新北市,石碇,nan,nan,nan,nan,0.0
2005-02-08,新北市,石碇,nan,nan,nan,nan,0.0
2005-02-09,新北市,石碇,nan,nan,nan,nan,0.0
2005-02-10,新北市,石碇,nan,nan,nan,nan,2.0
