時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2005-01-01,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-02,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-03,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-04,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-05,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-06,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-07,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-08,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-09,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-10,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-11,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-12,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-13,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-14,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-15,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-16,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-17,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-18,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-19,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-20,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-21,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-22,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-23,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-24,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-25,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-26,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-27,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-28,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-29,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-30,新竹縣,湖口,nan,nan,nan,nan,nan
2005-01-31,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-01,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-02,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-03,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-04,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-05,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-06,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-07,新竹縣,湖口,nan,nan,nan,nan,nan
2005-02-08,新竹縣,湖口,nan,nan,nan,nan,nan
