時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2005-01-01,澎湖縣,澎湖,11.0,9.4,62.0,7.2,0.0
2005-01-02,澎湖縣,澎湖,14.5,12.2,68.0,4.3,0.0
2005-01-03,澎湖縣,澎湖,16.8,14.2,77.0,3.4,0.0
2005-01-04,澎湖縣,澎湖,17.4,16.1,75.0,5.8,0.0
2005-01-05,澎湖縣,澎湖,16.7,15.4,77.0,5.8,0.0
2005-01-06,澎湖縣,澎湖,17.0,15.5,77.0,5.0,0.0
2005-01-07,澎湖縣,澎湖,17.3,16.4,76.0,6.3,0.0
2005-01-08,澎湖縣,澎湖,16.3,15.7,76.0,7.5,0.0
2005-01-09,澎湖縣,澎湖,15.3,14.4,75.0,6.9,0.0
2005-01-10,澎湖縣,澎湖,15.1,13.6,77.0,6.5,0.0
2005-01-11,澎湖縣,澎湖,15.6,14.4,83.0,5.6,0.0
2005-01-12,澎湖縣,澎湖,15.3,14.6,80.0,6.4,0.0
2005-01-13,澎湖縣,澎湖,13.4,12.2,89.0,6.5,9.4
2005-01-14,澎湖縣,澎湖,12.4,11.6,78.0,6.6,0.0
2005-01-15,澎湖縣,澎湖,12.1,11.4,65.0,6.5,0.0
2005-01-16,澎湖縣,澎湖,12.3,11.1,60.0,6.9,0.0
2005-01-17,澎湖縣,澎湖,13.6,11.4,70.0,5.3,0.0
2005-01-18,澎湖縣,澎湖,14.9,12.8,85.0,3.7,0.0
2005-01-19,澎湖縣,澎湖,15.5,14.2,85.0,4.9,0.0
2005-01-20,澎湖縣,澎湖,14.6,13.3,85.0,6.4,0.0
2005-01-21,澎湖縣,澎湖,13.8,12.6,89.0,6.0,0.0
2005-01-22,澎湖縣,澎湖,15.0,12.8,91.0,2.5,0.4
2005-01-23,澎湖縣,澎湖,16.3,14.7,82.0,4.4,0.0
2005-01-24,澎湖縣,澎湖,17.0,14.1,84.0,2.0,0.0
2005-01-25,澎湖縣,澎湖,19.6,16.2,87.0,0.5,0.0
2005-01-26,澎湖縣,澎湖,16.9,15.2,92.0,4.7,0.0
2005-01-27,澎湖縣,澎湖,17.8,15.5,91.0,2.7,0.0
2005-01-28,澎湖縣,澎湖,17.3,16.1,91.0,2.6,0.0
2005-01-29,澎湖縣,澎湖,18.1,16.3,89.0,2.4,0.0
2005-01-30,澎湖縣,澎湖,15.6,13.6,90.0,5.5,0.0
2005-01-31,澎湖縣,澎湖,13.6,13.0,86.0,5.6,0.0
2005-02-01,澎湖縣,澎湖,13.9,12.8,75.0,6.3,0.0
2005-02-02,澎湖縣,澎湖,14.0,13.1,82.0,6.0,0.0
2005-02-03,澎湖縣,澎湖,15.2,13.3,90.0,4.4,0.0
2005-02-04,澎湖縣,澎湖,17.3,14.8,92.0,2.1,0.0
2005-02-05,澎湖縣,澎湖,17.7,16.7,94.0,2.4,0.0
2005-02-06,澎湖縣,澎湖,18.3,16.8,92.0,3.5,0.0
2005-02-07,澎湖縣,澎湖,20.1,17.5,93.0,2.0,0.0
2005-02-08,澎湖縣,澎湖,18.2,17.0,95.0,5.3,0.0
2005-02-09,澎湖縣,澎湖,17.3,15.9,95.0,3.5,0.0
2005-02-10,澎湖縣,澎湖,16.6,14.4,91.0,6.7,0.0
2005-02-11,澎湖縣,澎湖,15.3,13.8,87.0,7.1,0.0
2005-02-12,澎湖縣,澎湖,15.2,13.3,92.0,5.7,0.0
2005-02-13,澎湖縣,澎湖,15.9,14.4,90.0,5.9,0.0
2005-02-14,澎湖縣,澎湖,15.8,13.9,94.0,3.8,0.0
2005-02-15,澎湖縣,澎湖,20.1,16.0,93.0,1.6,0.8
2005-02-16,澎湖縣,澎湖,22.0,18.8,92.0,1.4,0.0
2005-02-17,澎湖縣,澎湖,18.3,15.2,93.0,4.9,2.0
2005-02-18,澎湖縣,澎湖,15.7,13.3,98.0,5.6,34.0
2005-02-19,澎湖縣,澎湖,12.9,11.6,87.0,7.3,4.5
2005-02-20,澎湖縣,澎湖,10.8,10.0,81.0,7.3,6.9
2005-02-21,澎湖縣,澎湖,12.1,11.3,87.0,5.6,0.7
2005-02-22,澎湖縣,澎湖,14.0,12.2,93.0,3.8,0.0
2005-02-23,澎湖縣,澎湖,18.6,15.0,90.0,2.2,0.0
2005-02-24,澎湖縣,澎湖,21.7,19.2,94.0,2.0,1.4
2005-02-25,澎湖縣,澎湖,16.8,15.6,94.0,5.5,2.5
2005-02-26,澎湖縣,澎湖,14.8,13.6,93.0,7.2,8.7
2005-02-27,澎湖縣,澎湖,13.9,12.3,92.0,6.1,0.2
2005-02-28,澎湖縣,澎湖,13.3,12.3,91.0,6.7,3.5
2005-03-01,澎湖縣,澎湖,13.7,12.7,90.0,6.3,3.4
2005-03-02,澎湖縣,澎湖,13.7,12.7,98.0,5.2,16.3
2005-03-03,澎湖縣,澎湖,12.2,11.4,88.0,7.3,6.5
2005-03-04,澎湖縣,澎湖,12.9,11.5,62.0,6.8,0.1
2005-03-05,澎湖縣,澎湖,12.3,10.8,57.0,4.2,3.9
2005-03-06,澎湖縣,澎湖,12.9,10.4,61.0,4.6,0.0
2005-03-07,澎湖縣,澎湖,14.1,11.5,80.0,2.4,0.0
2005-03-08,澎湖縣,澎湖,16.3,11.0,74.0,1.2,0.2
2005-03-09,澎湖縣,澎湖,19.6,16.0,68.0,1.1,0.0
2005-03-10,澎湖縣,澎湖,21.5,17.3,82.0,1.4,1.0
2005-03-11,澎湖縣,澎湖,21.3,17.6,87.0,1.9,0.0
2005-03-12,澎湖縣,澎湖,12.8,9.0,90.0,8.2,8.5
2005-03-13,澎湖縣,澎湖,10.4,9.6,79.0,7.7,2.4
2005-03-14,澎湖縣,澎湖,13.5,10.9,77.0,4.9,0.0
2005-03-15,澎湖縣,澎湖,16.9,13.7,84.0,2.8,0.0
2005-03-16,澎湖縣,澎湖,19.5,16.6,84.0,2.0,0.0
2005-03-17,澎湖縣,澎湖,21.3,17.5,84.0,1.6,0.0
2005-03-18,澎湖縣,澎湖,17.5,15.5,67.0,9.2,0.0
2005-03-19,澎湖縣,澎湖,17.0,15.2,74.0,6.0,0.0
2005-03-20,澎湖縣,澎湖,18.5,16.3,79.0,3.1,0.0
2005-03-21,澎湖縣,澎湖,19.5,17.2,82.0,3.2,0.0
2005-03-22,澎湖縣,澎湖,22.6,19.7,82.0,1.3,0.0
2005-03-23,澎湖縣,澎湖,18.7,16.5,79.0,6.4,0.0
2005-03-24,澎湖縣,澎湖,18.6,16.6,59.0,7.2,0.0
2005-03-25,澎湖縣,澎湖,17.2,15.6,70.0,5.9,0.0
2005-03-26,澎湖縣,澎湖,18.4,15.5,78.0,2.9,0.0
2005-03-27,澎湖縣,澎湖,21.9,19.1,89.0,0.8,6.0
2005-03-28,澎湖縣,澎湖,23.1,20.9,89.0,1.2,3.0
2005-03-29,澎湖縣,澎湖,20.5,17.5,87.0,4.9,13.0
2005-03-30,澎湖縣,澎湖,17.6,15.4,90.0,5.9,48.4
2005-03-31,澎湖縣,澎湖,17.8,16.2,95.0,5.3,40.8
2005-04-01,澎湖縣,澎湖,19.1,17.7,88.0,3.6,nan
2005-04-02,澎湖縣,澎湖,20.4,18.6,82.0,3.8,0.0
