時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2005-01-01,花蓮縣,大禹嶺,1.4,nan,nan,3.2,1.5
2005-01-02,花蓮縣,大禹嶺,-1.4,nan,nan,2.4,0.0
2005-01-03,花蓮縣,大禹嶺,3.4,nan,nan,3.3,2.0
2005-01-04,花蓮縣,大禹嶺,5.1,nan,nan,1.9,3.0
2005-01-05,花蓮縣,大禹嶺,3.8,nan,nan,1.4,0.5
2005-01-06,花蓮縣,大禹嶺,5.6,nan,nan,3.8,0.0
2005-01-07,花蓮縣,大禹嶺,6.3,nan,nan,1.2,0.0
2005-01-08,花蓮縣,大禹嶺,4.8,nan,nan,2.5,0.5
2005-01-09,花蓮縣,大禹嶺,2.2,nan,nan,2.9,7.5
2005-01-10,花蓮縣,大禹嶺,2.7,nan,nan,2.5,14.0
2005-01-11,花蓮縣,大禹嶺,3.5,nan,nan,3.2,4.0
2005-01-12,花蓮縣,大禹嶺,3.7,nan,nan,2.6,0.5
2005-01-13,花蓮縣,大禹嶺,3.0,nan,nan,2.9,22.0
2005-01-14,花蓮縣,大禹嶺,1.4,nan,nan,4.5,2.0
2005-01-15,花蓮縣,大禹嶺,-0.8,nan,nan,4.4,0.0
2005-01-16,花蓮縣,大禹嶺,-1.1,nan,nan,3.8,0.0
2005-01-17,花蓮縣,大禹嶺,0.7,nan,nan,2.2,0.0
2005-01-18,花蓮縣,大禹嶺,0.0,nan,nan,3.1,0.0
2005-01-19,花蓮縣,大禹嶺,0.8,nan,nan,2.0,0.0
2005-01-20,花蓮縣,大禹嶺,3.7,nan,nan,1.8,0.0
2005-01-21,花蓮縣,大禹嶺,5.0,nan,nan,1.4,0.0
2005-01-22,花蓮縣,大禹嶺,4.8,nan,nan,3.5,1.5
2005-01-23,花蓮縣,大禹嶺,6.3,nan,nan,2.2,0.5
2005-01-24,花蓮縣,大禹嶺,9.3,nan,nan,4.7,0.0
2005-01-25,花蓮縣,大禹嶺,6.3,nan,nan,4.9,0.0
2005-01-26,花蓮縣,大禹嶺,5.7,nan,nan,3.8,0.0
2005-01-27,花蓮縣,大禹嶺,6.9,nan,nan,5.2,0.0
2005-01-28,花蓮縣,大禹嶺,4.3,nan,nan,6.1,0.0
2005-01-29,花蓮縣,大禹嶺,6.3,nan,nan,4.7,0.0
2005-01-30,花蓮縣,大禹嶺,4.5,nan,nan,4.2,0.0
2005-01-31,花蓮縣,大禹嶺,3.3,nan,nan,5.1,1.5
2005-02-01,花蓮縣,大禹嶺,0.9,nan,nan,6.3,0.0
2005-02-02,花蓮縣,大禹嶺,2.4,nan,nan,6.3,2.5
2005-02-03,花蓮縣,大禹嶺,4.4,nan,nan,5.1,1.0
2005-02-04,花蓮縣,大禹嶺,6.1,nan,nan,5.0,0.5
2005-02-05,花蓮縣,大禹嶺,7.3,nan,nan,4.0,0.0
2005-02-06,花蓮縣,大禹嶺,8.6,nan,nan,2.9,0.0
2005-02-07,花蓮縣,大禹嶺,9.0,nan,nan,3.5,0.0
2005-02-08,花蓮縣,大禹嶺,9.3,nan,nan,4.5,0.0
2005-02-09,花蓮縣,大禹嶺,10.0,nan,nan,1.8,0.0
2005-02-10,花蓮縣,大禹嶺,7.8,nan,nan,2.2,0.0
2005-02-11,花蓮縣,大禹嶺,7.0,nan,nan,2.6,0.0
2005-02-12,花蓮縣,大禹嶺,5.9,nan,nan,2.8,0.0
2005-02-13,花蓮縣,大禹嶺,6.2,nan,nan,5.9,0.0
2005-02-14,花蓮縣,大禹嶺,8.3,nan,nan,4.0,0.5
2005-02-15,花蓮縣,大禹嶺,10.0,nan,nan,5.1,0.0
2005-02-16,花蓮縣,大禹嶺,10.0,nan,nan,7.2,0.0
2005-02-17,花蓮縣,大禹嶺,7.9,nan,nan,7.9,0.0
2005-02-18,花蓮縣,大禹嶺,5.5,nan,nan,5.4,100.0
2005-02-19,花蓮縣,大禹嶺,4.7,nan,nan,6.0,52.5
2005-02-20,花蓮縣,大禹嶺,1.1,nan,nan,4.7,31.5
2005-02-21,花蓮縣,大禹嶺,0.8,nan,nan,3.2,31.5
2005-02-22,花蓮縣,大禹嶺,2.6,nan,nan,6.0,21.0
2005-02-23,花蓮縣,大禹嶺,5.0,nan,nan,7.1,0.5
2005-02-24,花蓮縣,大禹嶺,4.9,nan,nan,6.3,31.5
2005-02-25,花蓮縣,大禹嶺,4.8,nan,nan,5.0,27.0
2005-02-26,花蓮縣,大禹嶺,4.3,nan,nan,3.9,40.5
2005-02-27,花蓮縣,大禹嶺,4.7,nan,nan,4.6,33.5
2005-02-28,花蓮縣,大禹嶺,3.4,nan,nan,5.6,27.0
2005-03-01,花蓮縣,大禹嶺,3.7,nan,nan,3.9,16.5
2005-03-02,花蓮縣,大禹嶺,3.1,nan,nan,2.6,71.0
2005-03-03,花蓮縣,大禹嶺,3.4,nan,nan,5.1,103.0
2005-03-04,花蓮縣,大禹嶺,-2.1,nan,nan,4.6,2.5
2005-03-05,花蓮縣,大禹嶺,-4.0,nan,nan,3.9,2.0
2005-03-06,花蓮縣,大禹嶺,1.1,nan,nan,3.6,0.0
2005-03-07,花蓮縣,大禹嶺,3.6,nan,nan,1.2,0.0
2005-03-08,花蓮縣,大禹嶺,4.9,nan,nan,1.8,0.0
2005-03-09,花蓮縣,大禹嶺,6.0,nan,nan,3.4,1.0
2005-03-10,花蓮縣,大禹嶺,5.8,nan,nan,6.4,1.5
2005-03-11,花蓮縣,大禹嶺,6.8,nan,nan,5.0,12.0
2005-03-12,花蓮縣,大禹嶺,6.5,nan,nan,6.4,48.5
2005-03-13,花蓮縣,大禹嶺,2.6,nan,nan,5.2,12.0
2005-03-14,花蓮縣,大禹嶺,4.1,nan,nan,3.8,1.0
2005-03-15,花蓮縣,大禹嶺,7.0,nan,nan,1.7,0.5
2005-03-16,花蓮縣,大禹嶺,10.2,nan,nan,1.2,0.0
2005-03-17,花蓮縣,大禹嶺,10.7,nan,nan,3.0,0.0
2005-03-18,花蓮縣,大禹嶺,7.4,nan,nan,3.3,0.0
