時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2005/1/1,臺北市,臺北,9,7.6,62,2.3,0,109
2005/1/2,臺北市,臺北,12.9,9.9,70,1.7,0,109
2005/1/3,臺北市,臺北,15.8,10.2,78,0.9,0,109
2005/1/4,臺北市,臺北,15.9,14.8,83,3,0.1,109
2005/1/5,臺北市,臺北,16.3,14.6,84,3.5,0,109
2005/1/6,臺北市,臺北,17.2,16,83,2.8,0,109
2005/1/7,臺北市,臺北,17.1,16,84,3.7,0.8,109
2005/1/8,臺北市,臺北,15.4,14.6,86,3,0.9,109
2005/1/9,臺北市,臺北,14.3,13.4,87,3.3,3.1,109
2005/1/10,臺北市,臺北,15.1,13.4,88,3.7,0.9,109
2005/1/11,臺北市,臺北,17,15.4,88,3,6.2,109
2005/1/12,臺北市,臺北,16.4,15,85,3.8,9,109
2005/1/13,臺北市,臺北,15.2,14.7,93,1.9,35.2,109
2005/1/14,臺北市,臺北,13.9,12.9,88,2.5,8.6,109
2005/1/15,臺北市,臺北,11.6,9.4,71,1.5,0.2,109
2005/1/16,臺北市,臺北,10.6,8.5,68,1.6,0,109
2005/1/17,臺北市,臺北,13.2,8,64,3,0,109
2005/1/18,臺北市,臺北,15.1,11,74,1.3,0,109
2005/1/19,臺北市,臺北,15.8,14,81,2.3,1.8,109
2005/1/20,臺北市,臺北,15.2,14.4,84,3.7,1,109
2005/1/21,臺北市,臺北,16.1,14.1,84,4.4,0,109
2005/1/22,臺北市,臺北,17.7,14,84,1.6,9.5,109
2005/1/23,臺北市,臺北,16.3,14.3,76,3.6,0,109
2005/1/24,臺北市,臺北,19.1,14.1,74,1,0,109
2005/1/25,臺北市,臺北,20.6,16.4,74,1.5,0,109
2005/1/26,臺北市,臺北,17.3,16.3,85,4.4,T,109
2005/1/27,臺北市,臺北,18.1,17,84,1.7,0,109
2005/1/28,臺北市,臺北,16.9,16.3,89,1.5,0.4,109
2005/1/29,臺北市,臺北,17.4,16.3,85,1.2,nan,109
2005/1/30,臺北市,臺北,15.9,13.2,81,2.4,0.3,109
2005/1/31,臺北市,臺北,12.4,11.1,89,1.5,4.6,109
2005/2/1,臺北市,臺北,11.5,9.9,75,3.1,0.8,109
2005/2/2,臺北市,臺北,10.9,9.6,85,3.9,8,109
2005/2/3,臺北市,臺北,14.1,11.4,91,2.8,4.4,109
2005/2/4,臺北市,臺北,15.6,13.4,88,1.4,3.8,109
2005/2/5,臺北市,臺北,18.1,15.3,85,1.1,0,109
2005/2/6,臺北市,臺北,18.5,16.6,88,0.9,0.7,109
2005/2/7,臺北市,臺北,19.7,16.3,86,1.5,0,109
2005/2/8,臺北市,臺北,19.6,18.2,87,4.1,0,109
2005/2/9,臺北市,臺北,19.6,16.8,85,2.3,0,109
2005/2/10,臺北市,臺北,16.4,13.9,82,4.3,0,109
2005/2/11,臺北市,臺北,14.7,13.7,87,4.9,0.1,109
2005/2/12,臺北市,臺北,16.6,14.8,85,3.1,0.6,109
2005/2/13,臺北市,臺北,16.8,15.8,84,5,0,109
2005/2/14,臺北市,臺北,20.5,16.6,80,2.4,0,109
2005/2/15,臺北市,臺北,22.4,17.1,74,1,0,109
2005/2/16,臺北市,臺北,22.2,18.4,77,1.9,0,109
2005/2/17,臺北市,臺北,18.6,16.5,84,2.8,19,109
2005/2/18,臺北市,臺北,15.3,12.1,88,2.7,29,109
2005/2/19,臺北市,臺北,10.7,9.1,87,1.8,30.8,109
2005/2/20,臺北市,臺北,8.6,7.3,92,2,28.5,109
2005/2/21,臺北市,臺北,11.4,9.2,94,2.5,20.4,109
2005/2/22,臺北市,臺北,14.3,13,95,0.9,7.5,109
2005/2/23,臺北市,臺北,17.5,14,88,0.7,0.5,109
2005/2/24,臺北市,臺北,18.6,16.1,87,2.4,4.9,109
2005/2/25,臺北市,臺北,17.2,16.1,91,4,29,109
2005/2/26,臺北市,臺北,14,12.7,90,4.8,41.6,109
2005/2/27,臺北市,臺北,15.4,13.2,93,3,51.8,109
2005/2/28,臺北市,臺北,14,13,94,0.9,18.5,109
2005/3/1,臺北市,臺北,14.4,12.9,87,3.2,25.4,109
2005/3/2,臺北市,臺北,16.2,15,93,2.5,31.7,109
2005/3/3,臺北市,臺北,13.3,11.9,89,1.6,37.5,109
2005/3/4,臺北市,臺北,13.2,10.6,56,2.7,1,109
2005/3/5,臺北市,臺北,10.5,6.7,64,2.9,2,109
2005/3/6,臺北市,臺北,11.9,5.6,60,3.1,0,109
2005/3/7,臺北市,臺北,16,9.3,60,1.5,0,109
2005/3/8,臺北市,臺北,18.2,13.2,65,0.8,0,109
2005/3/9,臺北市,臺北,20.3,17,68,1,0,109
2005/3/10,臺北市,臺北,21.6,17.1,73,1.2,7,109
2005/3/11,臺北市,臺北,19.7,15.1,83,3.4,1.3,109
2005/3/12,臺北市,臺北,11.7,9,89,4.1,26,109
2005/3/13,臺北市,臺北,9.7,9,76,2.5,15,109
2005/3/14,臺北市,臺北,14.9,10.1,59,3.4,0,109
2005/3/15,臺北市,臺北,18.7,14.5,69,1.1,0,109
2005/3/16,臺北市,臺北,21.3,15.9,71,1,0,109
2005/3/17,臺北市,臺北,21.4,17.9,75,2.9,0,109
2005/3/18,臺北市,臺北,16.2,14.1,60,5,0,109
2005/3/19,臺北市,臺北,16.7,14,63,4.6,0,109
2005/3/20,臺北市,臺北,20.2,15.5,69,2.4,0,109
2005/3/21,臺北市,臺北,22.4,20.2,71,2.4,0,109
2005/3/22,臺北市,臺北,23.7,20.3,76,1.4,16.6,109
2005/3/23,臺北市,臺北,15.9,14,81,2.2,9.5,109
2005/3/24,臺北市,臺北,16.7,14.1,62,4.1,0.5,109
2005/3/25,臺北市,臺北,16.4,13.6,58,4.6,0,109
2005/3/26,臺北市,臺北,19.6,14.6,65,1.5,12.2,109
2005/3/27,臺北市,臺北,22,17.7,71,1.2,0,109
2005/3/28,臺北市,臺北,22.7,20.6,81,2.3,0.7,109
2005/3/29,臺北市,臺北,17.7,15,89,4.9,62.3,109
2005/3/30,臺北市,臺北,15.7,14.7,81,4.9,30.5,109
2005/3/31,臺北市,臺北,18,15.4,91,1.7,8.5,109
2005/4/1,臺北市,臺北,19.3,18.2,91,1.2,1.1,109
2005/4/2,臺北市,臺北,17.9,16.9,90,2,4.7,109
2005/4/3,臺北市,臺北,18.9,14.6,73,3.3,0,109
2005/4/4,臺北市,臺北,18.7,15.9,57,4.6,0,109
2005/4/5,臺北市,臺北,22,17.5,58,2.7,0,109
2005/4/6,臺北市,臺北,23,18.9,63,1.6,0,109
2005/4/7,臺北市,臺北,25.2,21.4,68,1.7,0,109
2005/4/8,臺北市,臺北,25.7,21,72,1.4,0,109
2005/4/9,臺北市,臺北,26.1,22.4,77,1.6,0.9,109
2005/4/10,臺北市,臺北,22.4,18,81,3.5,0,109
2005/4/11,臺北市,臺北,20.6,18.5,83,3.4,0,109
2005/4/12,臺北市,臺北,19.2,15.8,83,3.1,0.3,109
2005/4/13,臺北市,臺北,17.3,14.4,73,2.6,1.7,109
2005/4/14,臺北市,臺北,20.9,18.6,62,4.4,0,109
2005/4/15,臺北市,臺北,22.7,20.6,61,4.2,0,109
2005/4/16,臺北市,臺北,23.3,19.7,59,4.5,0,109
2005/4/17,臺北市,臺北,24.2,22.4,71,2,0.4,109
2005/4/18,臺北市,臺北,25.3,21.3,74,1.9,0,109
2005/4/19,臺北市,臺北,26.4,22.4,71,1.5,0,109
2005/4/20,臺北市,臺北,23.1,20.3,74,2.8,1,109
2005/4/21,臺北市,臺北,25.3,21.5,75,1.5,2.5,109
2005/4/22,臺北市,臺北,25.8,22.5,76,1.5,0,109
2005/4/23,臺北市,臺北,23.4,22.1,85,1.9,8.7,109
2005/4/24,臺北市,臺北,23.9,22.2,85,2.3,8.1,109
2005/4/25,臺北市,臺北,24,22.8,81,3,10,109
2005/4/26,臺北市,臺北,21.9,19.1,80,2.8,30.1,109
2005/4/27,臺北市,臺北,23.9,21.3,76,1.4,1.4,109
2005/4/28,臺北市,臺北,24.4,22.1,83,1,11.5,109
2005/4/29,臺北市,臺北,26.3,22.1,78,1.3,0,109
2005/4/30,臺北市,臺北,28.7,23.2,68,2.2,0,109
2005/5/1,臺北市,臺北,29.5,23.6,62,3.1,3.5,109
2005/5/2,臺北市,臺北,26.8,23.4,79,2.5,29.5,109
2005/5/3,臺北市,臺北,24.6,23.3,84,2.1,35,109
