時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2005/1/1,新北市,板橋,8.4,6.3,61,2.6,0,220
2005/1/2,新北市,板橋,12.3,8.4,67,1.9,0,220
2005/1/3,新北市,板橋,14.5,8.1,78,0.6,0.2,220
2005/1/4,新北市,板橋,15.4,14.6,82,2.5,0.1,220
2005/1/5,新北市,板橋,16.1,14.1,80,3,0.1,220
2005/1/6,新北市,板橋,16.9,15.6,80,2.4,0.8,220
2005/1/7,新北市,板橋,16.8,15.7,81,3.6,0.4,220
2005/1/8,新北市,板橋,15,13.9,84,2.9,1.6,220
2005/1/9,新北市,板橋,14.2,13.1,83,3.6,2.5,220
2005/1/10,新北市,板橋,15.1,13.1,82,3.6,1.2,220
2005/1/11,新北市,板橋,16.7,15.2,84,2.3,3.9,220
2005/1/12,新北市,板橋,16.2,15,81,3.7,11.1,220
2005/1/13,新北市,板橋,14.8,14.2,90,1.5,49.7,220
2005/1/14,新北市,板橋,13.2,12,85,1.9,9.2,220
2005/1/15,新北市,板橋,10.7,6.7,69,1.9,0,220
2005/1/16,新北市,板橋,9.2,5.8,71,1.4,0,220
2005/1/17,新北市,板橋,12.6,5.4,64,2.6,0,220
2005/1/18,新北市,板橋,13.5,8.4,75,0.7,0,220
2005/1/19,新北市,板橋,15.2,12.2,80,2,0.1,220
2005/1/20,新北市,板橋,14.9,14.1,81,3.4,1.8,220
2005/1/21,新北市,板橋,16.1,14.1,79,4,0,220
2005/1/22,新北市,板橋,16.9,12.1,82,1.5,11,220
2005/1/23,新北市,板橋,15.7,12.5,77,2.7,0,220
2005/1/24,新北市,板橋,18.4,12.5,74,0.8,0,220
2005/1/25,新北市,板橋,20.1,15,74,1.4,0,220
2005/1/26,新北市,板橋,17.3,15.9,80,4.1,0,220
2005/1/27,新北市,板橋,17.4,16.1,82,1.1,0,220
2005/1/28,新北市,板橋,16.1,15.5,88,1.2,0.5,220
2005/1/29,新北市,板橋,16.8,15.6,84,1,0,220
2005/1/30,新北市,板橋,15.1,12.4,82,2.1,0.5,220
2005/1/31,新北市,板橋,11.9,11.1,84,1.7,2.3,220
2005/2/1,新北市,板橋,11,9.8,73,3,0.8,220
2005/2/2,新北市,板橋,10.4,9.4,83,3.8,7.2,220
2005/2/3,新北市,板橋,13.6,11.2,88,1.8,4.7,220
2005/2/4,新北市,板橋,15.1,13,85,0.9,2.3,220
2005/2/5,新北市,板橋,17.9,15.1,82,0.7,0,220
2005/2/6,新北市,板橋,18.2,16.2,84,0.6,0.5,220
2005/2/7,新北市,板橋,19.3,15.8,83,0.9,0,220
2005/2/8,新北市,板橋,19.7,18.2,81,2.9,0,220
2005/2/9,新北市,板橋,18.5,16.1,83,1.7,0,220
2005/2/10,新北市,板橋,16.3,13.9,79,3.7,0,220
2005/2/11,新北市,板橋,14.8,13.7,80,4.7,0,220
2005/2/12,新北市,板橋,16.2,14.3,81,2.3,0.3,220
2005/2/13,新北市,板橋,16.7,15.9,79,4.5,0,220
2005/2/14,新北市,板橋,19.4,15.4,79,1.8,0,220
2005/2/15,新北市,板橋,21.3,16,75,1.2,0,220
2005/2/16,新北市,板橋,21.3,17.5,77,1.2,0,220
2005/2/17,新北市,板橋,18.4,15.5,80,2.5,31.2,220
2005/2/18,新北市,板橋,14.9,11.6,85,2.3,41.5,220
2005/2/19,新北市,板橋,10.1,8.7,85,2.1,41.7,220
2005/2/20,新北市,板橋,8,6.4,88,2.5,31.5,220
2005/2/21,新北市,板橋,10.8,8.2,90,2.1,22,220
2005/2/22,新北市,板橋,13.6,12.2,91,0.9,6.4,220
2005/2/23,新北市,板橋,17,13.3,85,0.8,1.8,220
2005/2/24,新北市,板橋,18.5,15.2,83,2.6,9.6,220
2005/2/25,新北市,板橋,17,15.8,86,3,46,220
2005/2/26,新北市,板橋,13.8,12.3,86,4.3,63.9,220
2005/2/27,新北市,板橋,15,12.7,89,2.5,68,220
2005/2/28,新北市,板橋,13.4,12.3,89,1.3,24,220
2005/3/1,新北市,板橋,13.9,12.6,84,3.1,32.5,220
2005/3/2,新北市,板橋,15.7,14.4,89,1.8,45,220
2005/3/3,新北市,板橋,12.4,10.4,87,1.9,47.7,220
2005/3/4,新北市,板橋,12.6,9.6,58,2.5,1.1,220
2005/3/5,新北市,板橋,9.6,5.1,65,2.3,3,220
2005/3/6,新北市,板橋,11.1,2.7,62,2.8,0,220
2005/3/7,新北市,板橋,14.1,6.4,65,1.2,0,220
2005/3/8,新北市,板橋,16.7,10.8,67,0.9,0,220
2005/3/9,新北市,板橋,19,15,71,0.8,0,220
2005/3/10,新北市,板橋,20.5,14.9,75,0.7,0,220
2005/3/11,新北市,板橋,19,14.8,82,2.6,2.6,220
2005/3/12,新北市,板橋,11.3,8.4,86,3.7,47.3,220
2005/3/13,新北市,板橋,9.1,8.4,74,2.6,20,220
2005/3/14,新北市,板橋,14.4,9.6,61,3.4,0,220
2005/3/15,新北市,板橋,17.9,13.7,69,1,0,220
2005/3/16,新北市,板橋,20.2,14,71,1,0,220
2005/3/17,新北市,板橋,20.8,16.1,73,2.5,0,220
2005/3/18,新北市,板橋,15.8,13.6,60,5.3,0,220
2005/3/19,新北市,板橋,16.6,13.4,61,4.6,0,220
2005/3/20,新北市,板橋,19.1,12.9,71,1.6,0,220
2005/3/21,新北市,板橋,20.6,15.4,73,1.1,0,220
2005/3/22,新北市,板橋,23.1,18.1,74,1.2,16.7,220
2005/3/23,新北市,板橋,15.2,13.4,77,2.1,11,220
2005/3/24,新北市,板橋,16.2,13.7,61,4.2,0.3,220
2005/3/25,新北市,板橋,16.1,13.2,56,5.1,0,220
2005/3/26,新北市,板橋,18.3,11.7,68,1.3,0,220
2005/3/27,新北市,板橋,21.4,16.2,70,1.2,0,220
2005/3/28,新北市,板橋,23.1,19.9,74,1.9,0.4,220
2005/3/29,新北市,板橋,17.6,14.8,84,4.1,84.2,220
2005/3/30,新北市,板橋,15.4,14.5,77,4.3,34,220
2005/3/31,新北市,板橋,17.5,15.2,86,0.9,7.8,220
2005/4/1,新北市,板橋,18.7,17.7,86,1.1,1.6,220
2005/4/2,新北市,板橋,17.4,15.5,86,1.4,5.9,220
2005/4/3,新北市,板橋,18.6,13.4,69,3.5,0,220
2005/4/4,新北市,板橋,18.5,15,55,4.3,0,220
2005/4/5,新北市,板橋,21.6,17.2,57,2,0,220
2005/4/6,新北市,板橋,22.2,17,63,1.1,0,220
2005/4/7,新北市,板橋,24,19.9,68,1,0,220
2005/4/8,新北市,板橋,24.4,19,74,1,0,220
2005/4/9,新北市,板橋,25.5,21,74,1,0,220
2005/4/10,新北市,板橋,22.6,17.9,76,2.5,0,220
2005/4/11,新北市,板橋,20.6,18.4,76,1.9,0,220
2005/4/12,新北市,板橋,18.9,15.2,80,1.9,1.5,220
2005/4/13,新北市,板橋,16.5,14.2,71,2.4,2.8,220
2005/4/14,新北市,板橋,20.6,18.1,61,4.3,0,220
2005/4/15,新北市,板橋,22.5,20.2,59,3.7,0,220
2005/4/16,新北市,板橋,23,19.3,57,4.5,0,220
2005/4/17,新北市,板橋,23.5,20.6,69,1.5,1.5,220
2005/4/18,新北市,板橋,24.7,20.2,71,1.5,0,220
2005/4/19,新北市,板橋,25.3,20.9,69,1.3,0,220
2005/4/20,新北市,板橋,22.2,19.8,73,2.3,4.5,220
2005/4/21,新北市,板橋,24,19.2,76,0.8,1.9,220
2005/4/22,新北市,板橋,24.9,21.2,74,0.9,0.2,220
2005/4/23,新北市,板橋,22.6,21.5,81,1.4,13.5,220
2005/4/24,新北市,板橋,23.6,21.9,79,1.7,10.5,220
2005/4/25,新北市,板橋,23.8,22.1,76,2.6,0,220
2005/4/26,新北市,板橋,21.6,18.8,74,2.6,27.2,220
2005/4/27,新北市,板橋,22.8,20.7,77,0.9,2.6,220
