о╔╢б,┐дел,╞[┤·п╕жW,оЁ╖┼(вJ),│╠зCоЁ╖┼(вJ),м█╣я╖├л╫(%),н╖│t(m/s),н░дЇ╢q(mm),жa░╧╜X
2005/1/1,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/2,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/1/3,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/4,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/5,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/6,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/7,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/8,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/1/9,оч╢щел,оч╢щ,nan,nan,nan,nan,1.5,338
2005/1/10,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/1/11,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/1/12,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/13,оч╢щел,оч╢щ,nan,nan,nan,nan,26,338
2005/1/14,оч╢щел,оч╢щ,nan,nan,nan,nan,5.5,338
2005/1/15,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/16,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/17,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/18,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/19,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/20,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/21,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/22,оч╢щел,оч╢щ,nan,nan,nan,nan,7.5,338
2005/1/23,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/24,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/25,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/26,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/27,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/28,оч╢щел,оч╢щ,nan,nan,nan,nan,1,338
2005/1/29,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/30,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/1/31,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/2/1,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/2/2,оч╢щел,оч╢щ,nan,nan,nan,nan,5,338
2005/2/3,оч╢щел,оч╢щ,nan,nan,nan,nan,3,338
2005/2/4,оч╢щел,оч╢щ,nan,nan,nan,nan,2,338
2005/2/5,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/6,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/2/7,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/8,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/9,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/2/10,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/11,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/12,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/13,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/14,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/15,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/16,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/2/17,оч╢щел,оч╢щ,nan,nan,nan,nan,23.5,338
2005/2/18,оч╢щел,оч╢щ,nan,nan,nan,nan,25,338
2005/2/19,оч╢щел,оч╢щ,nan,nan,nan,nan,34,338
2005/2/20,оч╢щел,оч╢щ,nan,nan,nan,nan,27.5,338
2005/2/21,оч╢щел,оч╢щ,nan,nan,nan,nan,19.5,338
2005/2/22,оч╢щел,оч╢щ,nan,nan,nan,nan,7,338
2005/2/23,оч╢щел,оч╢щ,nan,nan,nan,nan,1,338
2005/2/24,оч╢щел,оч╢щ,nan,nan,nan,nan,5.5,338
2005/2/25,оч╢щел,оч╢щ,nan,nan,nan,nan,28.5,338
2005/2/26,оч╢щел,оч╢щ,nan,nan,nan,nan,46,338
2005/2/27,оч╢щел,оч╢щ,nan,nan,nan,nan,52.5,338
2005/2/28,оч╢щел,оч╢щ,nan,nan,nan,nan,16,338
2005/3/1,оч╢щел,оч╢щ,nan,nan,nan,nan,27,338
2005/3/2,оч╢щел,оч╢щ,nan,nan,nan,nan,37.5,338
2005/3/3,оч╢щел,оч╢щ,nan,nan,nan,nan,34.5,338
2005/3/4,оч╢щел,оч╢щ,nan,nan,nan,nan,1.5,338
2005/3/5,оч╢щел,оч╢щ,nan,nan,nan,nan,1.5,338
2005/3/6,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/7,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/8,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/9,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/10,оч╢щел,оч╢щ,nan,nan,nan,nan,0.5,338
2005/3/11,оч╢щел,оч╢щ,nan,nan,nan,nan,2,338
2005/3/12,оч╢щел,оч╢щ,nan,nan,nan,nan,36,338
2005/3/13,оч╢щел,оч╢щ,nan,nan,nan,nan,13,338
2005/3/14,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/15,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/16,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/17,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
2005/3/18,оч╢щел,оч╢щ,nan,nan,nan,nan,0,338
