®É¶¡,¿¤¥«,Æ[´ú¯¸¦W,®ð·Å(¢J),³Ì§C®ð·Å(¢J),¬Û¹ï·Ã«×(%),­·³t(m/s),­°¤ô¶q(mm),¦a°Ï½X
2005/1/1,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/2,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/3,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0.5,514
2005/1/4,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0.5,514
2005/1/5,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/6,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/7,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/8,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/9,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/10,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/11,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/12,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/13,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,11,514
2005/1/14,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/15,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/16,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/17,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/18,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/19,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/20,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/21,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/22,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,2.5,514
2005/1/23,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0.5,514
2005/1/24,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/25,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/26,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/27,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/28,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/29,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/30,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/1/31,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/1,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/2,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/3,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/4,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/5,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/6,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/7,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/8,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/9,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/10,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/11,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/12,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/13,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/14,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/15,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/16,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/17,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/18,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,56,514
2005/2/19,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,13,514
2005/2/20,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,4,514
2005/2/21,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,1,514
2005/2/22,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0,514
2005/2/23,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,0.5,514
2005/2/24,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,2.5,514
2005/2/25,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,24,514
2005/2/26,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,5.5,514
2005/2/27,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,3,514
2005/2/28,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,11,514
2005/3/1,¹ü¤Æ¿¤,·Ë´ò,nan,nan,nan,nan,8.5,514
