時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2005/1/1,花蓮縣,花蓮,10.2,9.6,75,3,nan,950
2005/1/2,花蓮縣,花蓮,12.5,9.5,75,2.6,0,950
2005/1/3,花蓮縣,花蓮,17,12.4,76,3.3,0.1,950
2005/1/4,花蓮縣,花蓮,16.7,15.5,85,2.7,0.5,950
2005/1/5,花蓮縣,花蓮,17.5,15.5,81,1.9,0,950
2005/1/6,花蓮縣,花蓮,18.5,15.4,77,2.3,0,950
2005/1/7,花蓮縣,花蓮,19.5,16.3,76,3.8,0,950
2005/1/8,花蓮縣,花蓮,18.6,17.3,72,5.9,0,950
2005/1/9,花蓮縣,花蓮,17.1,15.5,74,4.3,1.5,950
2005/1/10,花蓮縣,花蓮,17.8,15.5,76,2.5,0,950
2005/1/11,花蓮縣,花蓮,19.1,16.6,77,3.5,0,950
2005/1/12,花蓮縣,花蓮,18.6,16.8,79,4.1,0.9,950
2005/1/13,花蓮縣,花蓮,17.6,16.1,83,3.9,3.5,950
2005/1/14,花蓮縣,花蓮,17.7,16.5,74,3.9,0.5,950
2005/1/15,花蓮縣,花蓮,14.9,12.6,68,4.2,0,950
2005/1/16,花蓮縣,花蓮,13.2,12.1,64,2.9,0,950
2005/1/17,花蓮縣,花蓮,14,11.9,64,1.7,0,950
2005/1/18,花蓮縣,花蓮,16,11.3,69,2.7,0,950
2005/1/19,花蓮縣,花蓮,17.7,13.2,74,3.3,0,950
2005/1/20,花蓮縣,花蓮,18.7,17.2,70,4.3,0,950
2005/1/21,花蓮縣,花蓮,19,16.9,72,2.8,0,950
2005/1/22,花蓮縣,花蓮,20.4,16,78,4.1,0,950
2005/1/23,花蓮縣,花蓮,17.5,15.4,82,3.2,0.5,950
2005/1/24,花蓮縣,花蓮,19,14.7,77,2.8,0,950
2005/1/25,花蓮縣,花蓮,20.4,15.7,77,2.2,0,950
2005/1/26,花蓮縣,花蓮,19.7,18.4,78,3.7,0,950
2005/1/27,花蓮縣,花蓮,20.6,16.3,79,3,0,950
2005/1/28,花蓮縣,花蓮,20.1,19.2,87,1.9,7.5,950
2005/1/29,花蓮縣,花蓮,19.3,18.6,91,2.3,2.5,950
2005/1/30,花蓮縣,花蓮,18.2,16.2,83,4.3,1.5,950
2005/1/31,花蓮縣,花蓮,15.2,14.2,82,3.3,4,950
2005/2/1,花蓮縣,花蓮,13.2,12.1,77,3.3,1,950
2005/2/2,花蓮縣,花蓮,13,12.3,80,2.5,2,950
