時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,臺北市,臺北,16.2,15.7,88,4.2,2,109
2019/2/1,2,臺北市,臺北,15,13.9,73,3.9,0,109
2019/3/1,3,臺北市,臺北,19.5,17.6,79,3.9,0,109
2019/4/1,4,臺北市,臺北,16.5,15.2,80,4.3,5.9,109
2019/5/1,5,臺北市,臺北,21.5,20,95,1.5,56.1,109
2019/6/1,6,臺北市,臺北,27.1,25.6,84,1.3,14.7,109
2019/7/1,7,臺北市,臺北,31,28.4,70,2,0.2,109
2019/8/1,8,臺北市,臺北,31.9,28.7,59,3.1,0,109
2019/9/1,9,臺北市,臺北,31.4,29.1,61,3.5,0,109
2019/10/1,10,臺北市,臺北,27.8,23.8,83,3.1,12.5,109
2019/11/1,11,臺北市,臺北,24.2,23.1,81,4.5,0,109
2019/12/1,12,臺北市,臺北,21.8,17.8,73,1.3,0,109
