時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,嘉義市,嘉義,18.3,13.5,79,1.7,0,600
2019/2/1,2,嘉義市,嘉義,17.7,15,69,2.4,0,600
2019/3/1,3,嘉義市,嘉義,21.3,17.7,76,1.5,0,600
2019/4/1,4,嘉義市,嘉義,18.7,17.4,79,1.8,0,600
2019/5/1,5,嘉義市,嘉義,24.4,21.1,78,1.9,27,600
2019/6/1,6,嘉義市,嘉義,28.2,24.6,77,2.7,18.5,600
2019/7/1,7,嘉義市,嘉義,30.5,26,71,2.6,0,600
2019/8/1,8,嘉義市,嘉義,27.6,25.4,84,1.4,55,600
2019/9/1,9,嘉義市,嘉義,28.5,25.3,79,1.5,3.5,600
2019/10/1,10,嘉義市,嘉義,27.9,24.1,69,2,3,600
2019/11/1,11,嘉義市,嘉義,25.9,21.9,78,1,0,600
2019/12/1,12,嘉義市,嘉義,22.4,18.1,72,2.6,0,600
