時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,宜蘭縣,宜蘭,16.2,15.8,96,2.2,111.5,260
2019/2/1,2,宜蘭縣,宜蘭,15.2,14.7,82,1.5,0.2,260
2019/3/1,3,宜蘭縣,宜蘭,19.7,16.9,85,0.9,0,260
2019/4/1,4,宜蘭縣,宜蘭,15.9,15.4,91,1.7,17.2,260
2019/5/1,5,宜蘭縣,宜蘭,23,20.5,83,2.2,20.2,260
2019/6/1,6,宜蘭縣,宜蘭,26.1,24.4,90,1.3,24.5,260
2019/7/1,7,宜蘭縣,宜蘭,30.1,27,81,2.7,0.1,260
2019/8/1,8,宜蘭縣,宜蘭,30.1,26.8,75,2.9,0,260
2019/9/1,9,宜蘭縣,宜蘭,29.4,25.6,79,3.4,0,260
2019/10/1,10,宜蘭縣,宜蘭,27.8,24.6,74,3,2.1,260
2019/11/1,11,宜蘭縣,宜蘭,23.9,22.1,82,3.5,2.6,260
2019/12/1,12,宜蘭縣,宜蘭,21.5,18.1,79,1.8,0,260
