時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,花蓮縣,花蓮,19.2,18.4,82,5.3,0,950
2019/2/1,2,花蓮縣,花蓮,17.1,16,77,3.2,0,950
2019/3/1,3,花蓮縣,花蓮,21.3,18.7,81,1.9,0.5,950
2019/4/1,4,花蓮縣,花蓮,19.3,18.1,76,3.6,0.5,950
2019/5/1,5,花蓮縣,花蓮,23.7,21.3,80,3.4,16.5,950
2019/6/1,6,花蓮縣,花蓮,26.9,25.5,86,1.6,3.5,950
2019/7/1,7,花蓮縣,花蓮,29.1,25.4,79,2.8,4.5,950
2019/8/1,8,花蓮縣,花蓮,29.2,26,76,2.3,0,950
2019/9/1,9,花蓮縣,花蓮,28.9,26,77,2.5,0.5,950
2019/10/1,10,花蓮縣,花蓮,27.2,24.5,78,2.5,0,950
2019/11/1,11,花蓮縣,花蓮,23.9,22.2,86,3.1,82.5,950
2019/12/1,12,花蓮縣,花蓮,21.8,19,77,2.4,0,950
