時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),西螺
2019/1/1,1,雲林縣,西螺,17.6,15,87,2.4,0,648
2019/2/1,2,雲林縣,西螺,16.1,14.2,75,3.2,0,648
2019/3/1,3,雲林縣,西螺,20.2,17.4,87,2.1,0,648
2019/4/1,4,雲林縣,西螺,17.3,16.1,93,2,1.5,648
2019/5/1,5,雲林縣,西螺,23.1,20.2,90,2.2,40.5,648
2019/6/1,6,雲林縣,西螺,27.8,24.7,87,1.8,7,648
2019/7/1,7,雲林縣,西螺,29.7,26.1,81,1.8,0,648
2019/8/1,8,雲林縣,西螺,28.2,23.1,81,1.3,31.5,648
2019/9/1,9,雲林縣,西螺,27.6,24.1,83,1.1,8,648
2019/10/1,10,雲林縣,西螺,27.2,23.6,73,1.5,1,648
2019/11/1,11,雲林縣,西螺,24.7,22,79,1.5,0,648
2019/12/1,12,雲林縣,西螺,21.3,17.8,77,2,0,648
