時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,臺中市,豐原,16.7,13.6,89,1.4,0,420
2019/2/1,2,臺中市,豐原,14.8,12.8,76,1.7,0,420
2019/3/1,3,臺中市,豐原,19.3,15.8,87,1.2,0,420
2019/4/1,4,臺中市,豐原,16.5,15.4,96,1.3,6.5,420
2019/5/1,5,臺中市,豐原,21.4,,93,1.6,46.5,420
2019/6/1,6,臺中市,豐原,27,24.1,82,1.4,5,420
2019/7/1,7,臺中市,豐原,27.9,24.3,79,1.3,0,420
2019/8/1,8,臺中市,豐原,28.4,24.7,72,1,0,420
2019/9/1,9,臺中市,豐原,27.5,24.4,83,0.9,13,420
2019/10/1,10,臺中市,豐原,25.5,22.4,79,1.4,12.5,420
2019/11/1,11,臺中市,豐原,24.5,21.5,81,1.1,0,420
2019/12/1,12,臺中市,豐原,20.6,12.7,79,1.5,0,420
