丁,る,郡カ,芠代,放(),程放(),癸访(%),硉(m/s),秖(mm),跋
2019/1/1,1,蔼动カ,蔼动,21.3,19,70,1.7,0,800
2019/2/1,2,蔼动カ,蔼动,22.1,18.8,64,2.2,0,800
2019/3/1,3,蔼动カ,蔼动,23.6,21.2,74,2.6,0,800
2019/4/1,4,蔼动カ,蔼动,23.8,21.3,67,2.4,0,800
2019/5/1,5,蔼动カ,蔼动,26,23.9,85,1.5,59,800
2019/6/1,6,蔼动カ,蔼动,29.1,25.7,78,1.5,21.5,800
2019/7/1,7,蔼动カ,蔼动,30.3,28.1,80,2.6,23,800
2019/8/1,8,蔼动カ,蔼动,29.4,26.4,78,1.6,1.5,800
2019/9/1,9,蔼动カ,蔼动,29.5,27.8,81,1.7,1,800
2019/10/1,10,蔼动カ,蔼动,28.9,25.7,73,4.3,0,800
2019/11/1,11,蔼动カ,蔼动,27.5,25.6,73,1.9,0,800
2019/12/1,12,蔼动カ,蔼动,23.5,20.5,74,2.2,0,800
