時間,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm)
2018-01-01,臺北市,竹子湖,12.2,9.8,87.0,3.7,1.2
2018-01-02,臺北市,竹子湖,15.2,13.1,83.0,1.8,0.0
2018-01-03,臺北市,竹子湖,16.1,14.5,81.0,1.7,0.0
2018-01-04,臺北市,竹子湖,16.1,14.6,87.0,0.9,0.0
2018-01-05,臺北市,竹子湖,13.0,11.7,93.0,3.1,6.7
2018-01-06,臺北市,竹子湖,13.4,12.2,91.0,4.5,51.0
2018-01-07,臺北市,竹子湖,14.4,13.2,91.0,1.7,89.3
2018-01-08,臺北市,竹子湖,13.8,8.2,95.0,2.2,103.0
2018-01-09,臺北市,竹子湖,6.5,4.5,87.0,3.3,15.7
2018-01-10,臺北市,竹子湖,6.3,3.9,76.0,1.6,0.0
2018-01-11,臺北市,竹子湖,6.7,4.2,71.0,2.1,0.0
2018-01-12,臺北市,竹子湖,5.6,3.6,71.0,1.5,0.0
2018-01-13,臺北市,竹子湖,7.5,4.6,77.0,2.2,0.8
2018-01-14,臺北市,竹子湖,12.0,8.1,78.0,2.6,0.0
2018-01-15,臺北市,竹子湖,15.1,12.2,73.0,1.1,0.0
2018-01-16,臺北市,竹子湖,15.6,11.1,72.0,0.7,0.0
2018-01-17,臺北市,竹子湖,16.2,14.0,82.0,2.0,0.4
2018-01-18,臺北市,竹子湖,16.6,15.6,90.0,5.2,2.0
2018-01-19,臺北市,竹子湖,14.7,13.8,94.0,3.9,14.9
2018-01-20,臺北市,竹子湖,15.0,13.5,92.0,5.1,9.6
2018-01-21,臺北市,竹子湖,16.0,14.0,90.0,3.3,0.9
2018-01-22,臺北市,竹子湖,13.6,10.7,88.0,2.9,0.3
2018-01-23,臺北市,竹子湖,13.2,11.4,86.0,4.4,1.7
2018-01-24,臺北市,竹子湖,12.0,11.0,89.0,4.5,3.3
2018-01-25,臺北市,竹子湖,12.6,10.8,90.0,4.6,1.3
2018-01-26,臺北市,竹子湖,11.0,9.0,92.0,5.3,26.5
2018-01-27,臺北市,竹子湖,12.6,9.1,88.0,3.1,3.9
2018-01-28,臺北市,竹子湖,11.9,9.3,94.0,2.8,17.8
2018-01-29,臺北市,竹子湖,7.4,6.5,93.0,3.9,50.0
2018-01-30,臺北市,竹子湖,8.7,6.8,93.0,4.1,23.4
2018-01-31,臺北市,竹子湖,11.0,7.5,92.0,4.4,34.2
2018-02-01,臺北市,竹子湖,7.2,5.6,94.0,3.1,22.6
2018-02-02,臺北市,竹子湖,8.1,5.8,94.0,4.0,23.1
2018-02-03,臺北市,竹子湖,5.1,3.5,94.0,2.3,55.4
2018-02-04,臺北市,竹子湖,4.3,3.1,94.0,2.4,108.1
2018-02-05,臺北市,竹子湖,3.3,2.4,92.0,1.7,48.6
2018-02-06,臺北市,竹子湖,5.0,4.0,78.0,3.6,0.0
2018-02-07,臺北市,竹子湖,7.0,5.9,90.0,4.2,16.9
2018-02-08,臺北市,竹子湖,8.3,6.3,89.0,4.8,14.5
2018-02-09,臺北市,竹子湖,13.2,10.5,93.0,0.8,10.3
2018-02-10,臺北市,竹子湖,12.5,8.3,98.0,2.2,10.3
2018-02-11,臺北市,竹子湖,7.5,6.4,92.0,4.1,17.8
2018-02-12,臺北市,竹子湖,8.3,6.3,72.0,4.2,0.0
2018-02-13,臺北市,竹子湖,10.2,7.3,76.0,1.9,0.0
2018-02-14,臺北市,竹子湖,13.8,8.1,71.0,1.1,0.0
2018-02-15,臺北市,竹子湖,17.9,12.8,66.0,1.0,0.0
2018-02-16,臺北市,竹子湖,16.9,13.2,83.0,1.4,0.1
2018-02-17,臺北市,竹子湖,12.3,11.1,90.0,3.6,4.5
2018-02-18,臺北市,竹子湖,16.8,13.1,76.0,1.0,0.0
