日期,產品名,地區碼,市場名,上價,中價,下價,平均價格,交易量
104.01.01,青江白菜,104,台北二,35.2,18.9,7.8,19.9,7816.0
104.01.02,青江白菜,104,台北二,31.2,18.8,7.6,19.0,6908.0
104.01.03,青江白菜,104,台北二,29.7,20.7,12.8,21.0,7188.0
104.01.04,青江白菜,104,台北二,37.6,27.4,17.6,27.5,5573.0
104.01.06,青江白菜,104,台北二,34.5,26.9,14.9,26.0,8516.0
104.01.07,青江白菜,104,台北二,30.6,21.9,13.2,21.9,9828.0
104.01.08,青江白菜,104,台北二,25.4,16.1,7.1,16.1,10308.0
104.01.09,青江白菜,104,台北二,26.0,18.9,6.5,17.8,6808.0
104.01.10,青江白菜,104,台北二,24.8,18.3,10.9,18.1,8100.0
104.01.11,青江白菜,104,台北二,21.5,14.7,7.3,14.6,9605.0
104.01.13,青江白菜,104,台北二,20.4,14.8,8.5,14.7,9667.0
104.01.14,青江白菜,104,台北二,16.8,11.7,6.4,11.7,8338.0
104.01.15,青江白菜,104,台北二,14.3,11.2,8.1,11.2,6102.0
104.01.16,青江白菜,104,台北二,15.4,11.8,5.5,11.2,5029.0
104.01.17,青江白菜,104,台北二,15.0,10.7,6.3,10.7,8116.0
104.01.18,青江白菜,104,台北二,14.1,10.8,7.2,10.7,7718.0
104.01.20,青江白菜,104,台北二,15.7,11.2,6.9,11.3,6736.0
104.01.21,青江白菜,104,台北二,14.6,10.5,6.5,10.5,7256.0
104.01.22,青江白菜,104,台北二,14.0,10.3,5.4,10.0,6288.0
104.01.23,青江白菜,104,台北二,11.6,7.7,5.0,7.9,8036.0
104.01.24,青江白菜,104,台北二,11.2,7.9,5.3,8.1,7917.0
104.01.25,青江白菜,104,台北二,10.7,7.8,4.3,7.7,8406.0
104.01.27,青江白菜,104,台北二,13.3,9.5,6.5,9.7,7893.0
104.01.28,青江白菜,104,台北二,11.0,6.3,3.5,6.7,9036.0
104.01.29,青江白菜,104,台北二,10.6,7.9,4.6,7.8,5405.0
104.01.30,青江白菜,104,台北二,12.9,8.5,4.6,8.6,3944.0
104.01.31,青江白菜,104,台北二,15.4,10.5,7.6,10.9,3927.0
104.02.01,青江白菜,104,台北二,15.2,11.0,7.7,11.2,6585.0
104.02.03,青江白菜,104,台北二,14.8,11.0,7.8,11.1,6346.0
104.02.04,青江白菜,104,台北二,19.2,11.2,8.1,12.2,4977.0
104.02.05,青江白菜,104,台北二,14.7,10.0,5.6,10.1,5688.0
104.02.06,青江白菜,104,台北二,15.7,12.0,7.7,11.9,5022.0
104.02.07,青江白菜,104,台北二,14.8,10.7,6.8,10.8,7161.0
104.02.08,青江白菜,104,台北二,15.0,12.0,8.9,12.0,6611.0
104.02.10,青江白菜,104,台北二,17.4,12.3,6.8,12.2,8473.0
104.02.11,青江白菜,104,台北二,15.2,10.9,6.8,10.9,8422.0
104.02.12,青江白菜,104,台北二,14.2,11.1,6.2,10.7,6776.0
104.02.13,青江白菜,104,台北二,15.0,11.5,7.4,11.4,6242.0
104.02.14,青江白菜,104,台北二,17.9,11.8,5.8,11.8,7049.0
104.02.15,青江白菜,104,台北二,17.3,10.5,4.8,10.7,7406.0
104.02.16,青江白菜,104,台北二,23.6,15.1,10.0,15.8,6795.0
104.02.17,青江白菜,104,台北二,26.0,17.0,10.4,17.5,10023.0
104.02.18,青江白菜,104,台北二,33.0,22.8,13.4,23.0,4721.0
104.02.24,青江白菜,104,台北二,26.8,17.3,12.0,18.2,7280.0
