品名,波動率,平均價格,分群
椰子,131.8,1225.36,0
棗子,135.79,11975.61,0
釋迦,122.19,1337.16,0
梅,143.58,1237.92,0
楊梅,93.35,20.35,3
桑椹,118.11,126.16,4
草莓,63.48,765.63,1
藍莓,114.85,125.39,4
百香果,119.39,2156.73,4
甘蔗,127.38,2742.54,0
小番茄,132.42,2605.42,0
火龍果,136.8,6691.41,0
蜜棗,108.12,577.39,4
櫻桃,131.94,2525.46,0
石榴,87.23,569.76,3
榴槤,113.66,2269.96,4
山竹,111.38,370.35,4
其他,85.14,412.25,3
香蕉,140.12,4344.7,0
鳳梨,110.31,7034.04,4
椪柑,63.34,6498.65,1
茂谷柑,128.53,9703.43,0
虎頭柑,134.83,3208.18,0
紅柑,132.36,1484.59,0
溫州柑,72.65,101.17,3
佛利檬,140.67,1514.49,0
豔陽柑,54.53,228.32,1
桶柑,114.18,14930.99,4
海梨,130.41,2268.16,0
甜橙,118.64,4538.2,4
雜柑,135.7,1331.03,0
其他花類,127.49,41.57,0
康乃馨,67.95,282.56,1
黃秋葵,105.5,952.59,4
樊花,96.22,41.57,4
百果,39.01,38.45,2
小可愛,59.15,67.62,1
美女撫子,98.83,73.1,4
花椰菜,125.86,8132.62,0
火鶴花,99.53,486.04,4
大菊,101.98,371.66,4
胡瓜,123.32,8417.65,0
染大菊,85.76,209.88,3
花胡瓜,126.19,8069.2,0
小菊,108.03,274.01,4
雲南菊,123.31,61.63,0
染小菊,111.71,631.09,4
冬瓜,125.56,4544.47,0
非洲菊,91.26,230.11,3
絲瓜,93.72,5243.66,3
苦瓜,102.91,2730.79,4
劍蘭,63.46,271.45,1
扁蒲,134.01,2818.72,0
其它花卉,105.96,258.6,4
柔麗絲,88.02,45.16,3
八卦草,76.21,53.47,3
金鎚花,112.66,135.8,4
黃梔花,50.39,1116.3,1
松蟲草,102.23,146.72,4
水仙百合,84.22,65.9,3
石蒜,80.3,16.5,3
天堂鳥,92.3,325.57,3
小天堂鳥,76.51,67.97,3
黃金鳥,63.02,39.67,1
翠珠花,93.41,97.69,3
垂焦,70.17,135.38,1
錦鳳垂蕉,11.91,37.79,2
文珠蘭,34.81,17.24,2
鶴焦,91.01,67.02,3
小鶴蕉,83.62,47.83,3
鶴蕉紅美人,116.6,145.15,4
紅娘垂蕉,63.91,32.86,1
觀音蓮,114.35,294.92,4
美人蕉,16.69,32.96,2
石玫瑰,66.37,106.98,1
薑荷花,78.78,76.8,3
野薑花,84.22,74.8,3
紅薑花,90.79,137.67,3
球薑花,35.0,82.85,2
火炬花,61.64,63.27,1
嘉蘭,82.3,162.83,3
玉蘭花,56.9,3.52,1
貓柳,111.91,1993.87,4
夕霧草,48.81,16.39,1
帝王花,18.04,20.79,2
夜來香,95.98,111.48,4
麥桿菊,92.64,50.73,3
初雪草,55.77,35.86,1
秀線,77.52,348.29,3
白秀線,37.8,41.0,2
千日紅,80.4,168.53,3
向日葵,92.1,328.44,3
大理花,110.35,67.51,4
薊花,97.13,32.95,4
雞冠花,112.2,157.75,4
火焰雞冠花,61.86,174.18,1
鳳梨花,79.78,415.51,3
觀果鳳梨花,24.88,480.23,2
觀花鳳梨花,60.02,491.47,1
珊瑚鳳梨,103.23,386.28,4
金魚草,129.2,104.49,0
千鳥草,80.83,60.0,3
大飛燕草,127.4,338.51,0
麒麟草,72.68,1285.84,3
虎尾花,100.51,68.65,4
愛麗絲,100.0,24.0,4
孤挺花,120.54,406.49,4
小蒼蘭,118.41,104.51,4
紫羅蘭,97.69,28.92,4
繡球花,83.15,180.4,3
仙丹花,116.67,86.57,4
白頭翁,69.82,77.34,1
陸蓮花,104.88,71.99,4
風信子,61.96,230.0,1
迥香,87.87,92.18,3
花菖蒲,38.66,5.17,2
鬱金香,73.38,54.51,3
海芋,106.51,107.27,4
睡蓮,97.7,55.27,4
天鵝絨,97.9,80.18,4
伯利恆之星,111.58,238.17,4
茉莉花,115.41,1091.81,4
深山櫻,123.25,268.55,0
貝殼花,72.57,24.8,3
金翠花,72.31,55.66,3
百子蓮,137.75,663.89,0
藍星花,20.0,15.0,2
玫瑰,94.0,112.76,3
茄子,116.22,3092.17,4
蕃茄,123.56,8398.76,0
甜椒,114.71,1919.57,4
葵百合,105.33,90.67,4
姬百合,69.84,37.23,1
豌豆,104.77,621.33,4
LA百合,103.03,60.18,4
菜豆,105.14,1456.1,4
敏豆,105.36,1960.84,4
蘭花,113.52,245.55,4
腎藥蘭,104.52,206.66,4
千代蘭,100.74,515.21,4
嘉德麗蘭,145.96,64.4,0
萬代蘭,108.96,147.99,4
蜘蛛蘭,63.0,30.95,1
拖鞋蘭,54.32,32.22,1
黃后蘭,141.14,315.28,0
樹蘭,108.49,497.74,4
蠶豆,78.28,113.7,3
虎頭蘭,98.53,212.37,4
大文心蘭,68.26,20.51,1
香水文心蘭,65.79,20.52,1
檸檬綠文心蘭,80.49,801.37,3
文心蘭,86.83,34.84,3
石斛蘭,77.91,19.89,3
蝴蝶蘭,83.35,166.77,3
萊豆,115.18,608.17,4
鵲豆,104.28,39.8,4
毛豆,100.08,244.8,4
青花苔,133.56,6201.7,0
越瓜,101.74,118.68,4
香水百合,98.66,127.71,4
水晶香水,133.08,184.86,0
薇薇安娜,99.27,127.17,4
OT曼尼薩,124.49,304.45,0
OT羅賓娜,78.69,85.14,3
OT多娜托,104.25,142.92,4
百合,85.89,34.34,3
南瓜,85.22,1845.02,3
鐵砲百合,100.94,60.43,4
洋桔梗,107.27,110.94,4
隼人瓜,94.62,1915.61,3
石蓮花,170.49,154.85,0
辣椒,114.45,592.39,4
金針花,97.03,85.54,4
星辰花,112.77,104.41,4
補血草,48.17,28.03,1
洛神花,89.35,277.57,3
孔雀混色,48.33,30.0,1
粉孔雀,87.58,251.48,3
白孔雀,71.23,105.29,1
